 ,frequency,word,meanDuration,medianDuration,stDevDuration,n_characters
oan,455,oan,0.2260879120879121,0.20000000000000007,0.09566641385054155,3
'e,487,'e,0.0800205338809035,0.07000000000000028,0.023574581531059888,2
kant,32,kant,0.33499999999999996,0.32000000000000006,0.07139169555031162,4
fan,1215,fan,0.2025267489711934,0.18999999999999995,0.05684847109738958,3
wei,44,wei,0.35545454545454547,0.345,0.09138353995226482,3
sieten,16,sieten,0.49437500000000006,0.4500000000000002,NA,6
twa,106,twa,0.309433962264151,0.29499999999999993,0.08412949416203849,3
knyntsjes,1,knyntsjes,0.6600000000000001,0.6600000000000001,NA,9
en,1002,en,0.15863273453093812,0.15000000000000036,0.049120403421339186,2
in,1856,in,0.12755387931034484,0.11999999999999988,0.06056114333446719,2
stikelbarchje,1,stikelbarchje,0.8299999999999996,0.8299999999999996,NA,13
ik,1107,ik,0.1622583559168925,0.16000000000000003,0.05630864722623208,2
wist,13,wist,0.28230769230769226,0.28,NA,4
net,744,net,0.2556317204301075,0.23999999999999977,0.07820757047718123,3
hoe,89,hoe,0.21112359550561796,0.19999999999999996,0.08183184257764643,3
lyts,25,lyts,0.348,0.34999999999999964,0.09565563234854502,4
my,250,my,0.19612000000000002,0.17000000000000037,0.08862484444109808,2
meitsje,100,meitsje,0.4679,0.45999999999999996,0.08428301289480736,7
moast,36,moast,0.32916666666666655,0.315,0.08862037817890088,5
list,3,list,0.3700000000000001,0.32000000000000006,NA,4
programma,15,programma,0.5846666666666668,0.5700000000000001,NA,9
profeet,1,profeet,0.5399999999999998,0.5399999999999998,NA,7
wurdt,178,wurdt,0.24185393258426965,0.21999999999999997,0.07227099824851764,5
yn,1225,yn,0.15986122448979592,0.15000000000000013,0.05648237338675988,2
eigen,35,eigen,0.40542857142857147,0.3999999999999999,0.0606990094474297,5
lân,27,lân,0.36777777777777776,0.3899999999999997,0.06362953676334562,3
achtenearre,1,achtenearre,0.7700000000000005,0.7700000000000005,NA,11
der,604,der,0.14630794701986755,0.13999999999999968,0.049956311291977945,3
stiet,43,stiet,0.3581395348837209,0.34999999999999964,0.07859649252908013,5
bepaald,4,bepaald,0.55,0.555,NA,7
soarte,9,soarte,0.4055555555555556,0.3899999999999997,NA,6
kranten,8,kranten,0.5587500000000001,0.5049999999999999,NA,7
altyd,98,altyd,0.4060204081632653,0.38999999999999996,0.09702523633792202,5
alles,92,alles,0.37065217391304334,0.3649999999999999,0.08474660805979055,5
oer,224,oer,0.203125,0.18999999999999995,0.075679655878587,3
dy,279,dy,0.16132616487455195,0.1399999999999999,0.11144262192716707,2
dikke,2,dikke,0.29500000000000015,0.29500000000000015,NA,5
skuld,4,skuld,0.5174999999999998,0.5399999999999996,NA,5
achter,6,achter,0.3716666666666666,0.3899999999999998,NA,6
har,237,har,0.20147679324894516,0.1900000000000004,0.06449225161588587,3
heit,29,heit,0.35275862068965513,0.3400000000000001,0.07125891180978891,4
mem,43,mem,0.29069767441860467,0.29000000000000004,0.06659741696825673,3
steane,16,steane,0.450625,0.42499999999999993,NA,6
op,825,op,0.16396363636363637,0.1599999999999997,0.06324112920919438,2
âlde,25,âlde,0.32959999999999995,0.31999999999999995,0.07213875518748576,4
dei,78,dei,0.33089743589743587,0.31000000000000005,0.10418746712070658,3
kjeld,7,kjeld,0.42857142857142844,0.44999999999999996,NA,5
it,2315,it,0.13417278617710582,0.1299999999999999,0.04420961935127463,2
liket,29,liket,0.323103448275862,0.30999999999999983,0.06342056044915349,5
ûnwierskynlik,1,ûnwierskynlik,0.96,0.96,NA,13
dat,810,dat,0.20574074074074075,0.19000000000000006,0.05682803800093135,3
earder,29,earder,0.346896551724138,0.3500000000000001,0.06464758576178689,6
bard,12,bard,0.34416666666666673,0.3300000000000003,NA,4
wêze,88,wêze,0.455,0.46499999999999986,0.08340456725551938,4
soe,90,soe,0.28777777777777774,0.27000000000000024,0.09368579782500311,3
do,55,do,0.2216363636363637,0.19999999999999996,0.09949434445798702,2
moatst,19,moatst,0.31947368421052635,0.30000000000000004,NA,6
seure,1,seure,0.55,0.55,NA,5
want,30,want,0.20166666666666663,0.18499999999999983,0.0671633794580788,4
is,1232,is,0.20545454545454545,0.18000000000000005,0.09217537700245462,2
hjir,119,hjir,0.2368067226890756,0.21999999999999997,0.07740420841172768,4
moai,50,moai,0.3434,0.31000000000000016,0.10377782390614043,4
harren,46,harren,0.3239130434782609,0.31999999999999984,0.06819834670102809,6
leafdeslibben,1,leafdeslibben,0.8099999999999998,0.8099999999999998,NA,13
