frequency,word,meanDuration,medianDuration,stDevDuration,n_characters
28,cuid,0.3021428571428571,0.29499999999999993,0.06273737989411765,4
60,de,0.11566666666666668,0.10999999999999988,0.042480969484718495,2
420,na,0.11176190476190476,0.10999999999999988,0.03515720543807841,2
3,fearaibh,0.6233333333333333,0.6199999999999999,NA,8
12,bean,0.2783333333333333,0.255,NA,4
1782,an,0.13584736251402918,0.1200000000000001,0.06353285471815147,2
6,tí,0.35833333333333317,0.3649999999999999,NA,2
152,ní,0.20394736842105263,0.19500000000000006,0.06464531753438639,2
7,hea,0.2685714285714286,0.25,NA,3
1169,a,0.07216424294268606,0.06000000000000005,0.045218499833447626,1
40,dhuine,0.3055,0.30999999999999994,0.07788716361769928,6
25,uasail,0.46319999999999995,0.44999999999999996,0.09335059364210457,6
14,tréaslaím,0.6742857142857143,0.6699999999999999,NA,9
135,le,0.1080740740740741,0.09999999999999998,0.04409109119573131,2
6,seachtain,0.43833333333333324,0.43999999999999995,NA,9
35,gaeilge,0.4862857142857145,0.47000000000000064,0.10038413614668389,7
150,as,0.21673333333333336,0.20999999999999996,0.07230153735744875,2
3,mana,0.3799999999999999,0.3799999999999999,NA,4
3,tarraingteach,0.7333333333333334,0.7400000000000002,NA,13
7,croí,0.32571428571428573,0.31999999999999995,NA,4
20,teanga,0.45700000000000013,0.4700000000000001,0.09657830201992908,6
3,it's,0.3000000000000001,0.29000000000000004,NA,4
3,you,0.21999999999999945,0.22999999999999954,NA,3
6,thánaiste,0.7133333333333333,0.7,NA,9
6,airí,0.43,0.465,NA,4
7,chomhaltaí,0.5442857142857144,0.5000000000000002,NA,10
5,comhairle,0.394,0.40000000000000013,NA,9
6,stáit,0.6516666666666667,0.66,NA,5
454,agus,0.27757709251101326,0.27,0.06962743492933735,4
46,chairde,0.47347826086956524,0.47499999999999976,0.08340576562282989,7
521,tá,0.18408829174664107,0.16999999999999993,0.08033573707332696,2
380,go,0.10794736842105264,0.10000000000000009,0.03998017144975127,2
16,leor,0.32437499999999997,0.32999999999999985,NA,4
6,dúshlán,0.5383333333333332,0.53,NA,7
11,fós,0.4200000000000001,0.4099999999999999,NA,3
12,romhainn,0.36666666666666675,0.3849999999999998,NA,8
6,maidir,0.30333333333333323,0.305,NA,6
3,caomhnú,0.6,0.6000000000000001,NA,7
3,neartú,0.49333333333333335,0.5000000000000004,NA,6
1,oirircis,0.9799999999999999,0.9799999999999999,NA,8
4,dhéin,0.36,0.3800000000000001,NA,5
1,chóir,0.2999999999999998,0.2999999999999998,NA,5
1,thaidhleoireachta,0.7800000000000002,0.7800000000000002,NA,17
226,bhfuil,0.23163716814159294,0.21000000000000008,0.05795378418428144,6
16,cóta,0.32812499999999994,0.32500000000000007,NA,4
16,bán,0.37,0.3500000000000001,NA,3
35,air,0.3048571428571428,0.30000000000000004,0.09101943646895455,3
410,is,0.18504878048780485,0.18000000000000016,0.051591991199859376,2
11,minic,0.4354545454545456,0.44999999999999996,NA,5
5,cuma,0.30199999999999994,0.28000000000000014,NA,4
3,aingeal,0.56,0.5800000000000001,NA,7
616,ar,0.14441558441558444,0.13000000000000034,0.05836790534717905,2
3,diabhal,0.3633333333333333,0.3599999999999999,NA,7
84,féin,0.3921428571428571,0.3699999999999999,0.10637591253494372,4
4,chomhairleoirí,0.8049999999999999,0.84,NA,14
3,shaoránaigh,0.68,0.68,NA,11
3,dhroichead,0.33000000000000007,0.33000000000000007,NA,10
11,átha,0.2327272727272727,0.16000000000000014,NA,4
289,ag,0.13896193771626297,0.13000000000000034,0.048687231004637,2
51,scoil,0.36901960784313725,0.3599999999999999,0.06711944284514836,5
4,comhartha,0.365,0.35500000000000004,NA,9
9,suntasach,0.7088888888888889,0.7199999999999998,NA,9
58,í,0.1651724137931035,0.13,0.10561833604947984,1
10,dár,0.23700000000000002,0.2400000000000001,NA,3
3,bhféin,0.2933333333333333,0.2799999999999998,NA,6
5,mheas,0.36199999999999993,0.3799999999999999,NA,5
78,mar,0.19166666666666665,0.18499999999999983,0.049501847444644954,3
5,náisiún,0.6319999999999999,0.6699999999999999,NA,7
12,nóra,0.39833333333333326,0.405,NA,4
12,chathaoir,0.4908333333333334,0.4800000000000001,NA,9
16,mhór,0.381875,0.35999999999999993,NA,4
34,doras,0.4894117647058824,0.505,0.09081920690165704,5
11,bheag,0.3818181818181818,0.3899999999999997,NA,5
22,bhfuinneog,0.5177272727272727,0.52,0.10225699734733805,10
18,cé,0.22277777777777777,0.2,NA,2
4,mhéad,0.19500000000000003,0.19,NA,5
81,lá,0.27555555555555555,0.26,0.10316249318429636,2
123,atá,0.28365853658536594,0.2799999999999998,0.07537086766730783,3
204,i,0.06769607843137253,0.06000000000000005,0.03538786890070831,1
19,mí,0.22684210526315793,0.21999999999999997,NA,2
19,nollag,0.4373684210526315,0.43999999999999995,NA,6
4,éadach,0.5275000000000001,0.55,NA,6
3,trua,0.3866666666666667,0.36,NA,4
50,don,0.19120000000000004,0.18500000000000005,0.043922008801315686,3
3,choirpeach,0.7000000000000001,0.75,NA,10
2,airgeadas,0.865,0.865,NA,9
10,fíor,0.32599999999999996,0.31999999999999995,NA,4
177,sin,0.3309604519774011,0.32000000000000006,0.10041778418991691,3
4,díolfaidh,0.4325000000000001,0.41,NA,9
58,mé,0.1696551724137931,0.16000000000000003,0.06912905594817234,2
3,comhar,0.3233333333333333,0.32000000000000006,NA,6
21,leat,0.3466666666666666,0.33999999999999986,0.12705641791477254,4
6,uair,0.25333333333333335,0.21499999999999997,NA,4
3,éigin,0.40666666666666657,0.33999999999999986,NA,5
40,ba,0.11949999999999998,0.09999999999999998,0.0562480768902027,2
2,dhaor,0.445,0.445,NA,5
239,é,0.18364016736401673,0.17000000000000004,0.10967356173896099,1
5,suí,0.348,0.3400000000000001,NA,3
2,fút,0.35999999999999993,0.35999999999999993,NA,3
5,ansin,0.44400000000000006,0.43999999999999995,NA,5
2,chara,0.38,0.38,NA,5
5,tabhair,0.33399999999999996,0.31000000000000005,NA,7
27,bhean,0.2796296296296296,0.26,0.09967182618209086,5
81,áthas,0.3865432098765432,0.3799999999999999,0.08329406482197815,5
96,orm,0.2677083333333333,0.26,0.07324765728844586,3
71,fáilte,0.4902816901408449,0.48,0.10059781069736363,6
1,fhearradh,0.4700000000000002,0.4700000000000002,NA,9
48,romhaibh,0.3812499999999999,0.3799999999999999,0.1035667119772914,8
31,chuig,0.2741935483870968,0.25,0.07667134160594767,5
30,áras,0.3796666666666667,0.3600000000000001,0.08264937713152999,4
59,uachtaráin,0.647457627118644,0.6299999999999994,0.12335249770808891,10
30,tráthnóna,0.5913333333333334,0.5899999999999999,0.08892977986662534,9
138,leabhar,0.3292753623188406,0.31000000000000005,0.06926767798455075,7
23,comhghairdeas,0.6752173913043479,0.67,0.09331615689868457,13
82,libh,0.2574390243902439,0.25,0.07405054956173154,4
29,ucht,0.2575862068965517,0.25,0.07109627137168072,4
29,n,0.09482758620689655,0.09000000000000008,0.03225132219384549,1
3,éachtaí,0.4033333333333333,0.43999999999999995,NA,7
5,bhaint,0.2919999999999999,0.27,NA,6
34,amach,0.4111764705882353,0.385,0.08963781351309391,5
4,saidhbhín,0.6275000000000001,0.59,NA,9
60,sibh,0.3036666666666667,0.28,0.10040539297195697,4
6,inár,0.28333333333333327,0.26500000000000035,NA,4
3,gcomhluadar,0.6699999999999999,0.6700000000000004,NA,11
9,dara,0.36444444444444446,0.33000000000000007,NA,4
63,ceacht,0.48,0.46999999999999975,0.10243802217485835,6
52,déag,0.37826923076923086,0.3700000000000001,0.09717017927622215,4
3,scaip,0.43999999999999995,0.45999999999999985,NA,5
262,sé,0.2283587786259542,0.20500000000000007,0.10008414610691749,2
19,leabhair,0.4426315789473683,0.41999999999999993,NA,8
118,maith,0.2608474576271187,0.25,0.08120435623852686,5
107,bheith,0.23429906542056078,0.21999999999999997,0.05369572115929197,6
29,beo,0.38448275862068965,0.41999999999999993,0.09183005292762088,3
40,mbeidh,0.23975,0.22999999999999998,0.051115128976227865,6
156,anseo,0.40846153846153843,0.3850000000000001,0.12233826107996419,5
27,amárach,0.5707407407407407,0.55,0.09595375191790312,7
63,cá,0.18873015873015875,0.17999999999999994,0.059146948316339085,2
22,dia,0.24545454545454543,0.2550000000000001,0.10742560095368203,3
18,daoibh,0.33722222222222226,0.33499999999999996,NA,6
22,bíonn,0.2454545454545455,0.245,0.049735229702828045,5
3,cluasa,0.6,0.62,NA,6
3,clathacha,0.6233333333333333,0.6299999999999999,NA,9
21,dubh,0.33714285714285713,0.32000000000000006,0.07363035088486658,4
89,ach,0.22707865168539326,0.22999999999999998,0.05324049738495829,3
12,haon,0.3575,0.29500000000000004,NA,4
4,iontas,0.47750000000000015,0.4800000000000001,NA,6
15,méid,0.2973333333333333,0.2699999999999998,NA,4
89,léir,0.3658426966292135,0.3599999999999999,0.08646871463614672,4
31,guím,0.32838709677419353,0.31999999999999995,0.05675072828863365,4
57,gach,0.32052631578947366,0.32000000000000006,0.055401813167581776,4
39,rath,0.3141025641025642,0.30999999999999983,0.08744074531144384,4
30,oraibh,0.3483333333333334,0.3450000000000001,0.07652285362188724,6
84,sa,0.163452380952381,0.16000000000000003,0.03707673734424444,2
2,todhchoí,0.5249999999999999,0.5249999999999999,NA,8
12,conas,0.3241666666666667,0.32500000000000007,NA,5
2,léiriú,0.67,0.67,NA,6
2,eadráin,0.615,0.615,NA,7
27,seán,0.3933333333333334,0.3800000000000001,0.10034555679864837,4
41,bhaile,0.4304878048780487,0.4099999999999999,0.10686325887582208,6
75,inniu,0.35466666666666674,0.3400000000000003,0.08563488385776757,5
5,tar,0.22799999999999992,0.22999999999999998,NA,3
1,fuascail,0.44999999999999996,0.44999999999999996,NA,8
11,súil,0.3845454545454545,0.3500000000000001,NA,4
55,agam,0.31781818181818183,0.32000000000000006,0.0969476932105928,4
13,gur,0.17230769230769233,0.16999999999999993,NA,3
2,torthúil,0.6200000000000001,0.6200000000000001,NA,8
31,bheidh,0.262258064516129,0.24,0.05903161172453026,6
55,ann,0.2983636363636364,0.2999999999999998,0.09320951382779263,3
11,deis,0.3663636363636363,0.3599999999999999,NA,4
144,seo,0.3252777777777778,0.3100000000000003,0.09582869655348072,3
5,bualadh,0.3540000000000001,0.34999999999999964,NA,7
138,bhí,0.19521739130434781,0.1800000000000001,0.06620271226613912,3
3,poill,0.40333333333333327,0.3899999999999999,NA,5
3,ngach,0.36000000000000004,0.32999999999999996,NA,5
3,orlach,0.43,0.42999999999999994,NA,6
47,den,0.19744680851063828,0.18000000000000016,0.05143455466421395,3
3,chóta,0.4266666666666667,0.43000000000000016,NA,5
2,páistí,0.55,0.55,NA,6
11,óga,0.3654545454545454,0.38,NA,3
30,iad,0.25766666666666665,0.23500000000000004,0.09579731956992123,3
13,fréamh,0.4076923076923077,0.41000000000000003,NA,6
13,chearnach,0.5723076923076923,0.56,NA,9
20,trí,0.369,0.31499999999999995,0.16228305356285425,3
21,mhíle,0.29380952380952374,0.28,0.09167748853869147,5
14,chéad,0.4000000000000001,0.40000000000000013,NA,5
2,seasca,0.6750000000000005,0.6750000000000005,NA,6
92,níl,0.3234782608695652,0.29999999999999993,0.11612265950144889,3
47,mbord,0.4440425531914894,0.44000000000000017,0.07204043473506913,5
22,fíorchaoin,0.6886363636363636,0.665,0.14250465170504353,10
48,fad,0.3854166666666667,0.3799999999999999,0.0896080907567951,3
18,dúirt,0.3161111111111112,0.31500000000000006,NA,5
3,pádraig,0.5266666666666667,0.54,NA,7
73,ó,0.10712328767123287,0.09000000000000008,0.05820174329325909,1
3,dálaigh,0.5833333333333334,0.6000000000000001,NA,7
169,raibh,0.23041420118343198,0.20000000000000007,0.09336535396460229,5
31,dá,0.2264516129032258,0.22999999999999998,0.07236704531284818,2
34,aige,0.33352941176470585,0.32500000000000007,0.06641843267981785,4
24,inné,0.45916666666666667,0.42499999999999993,0.10862446944551134,4
17,dheis,0.3847058823529411,0.3900000000000001,NA,5
34,dé,0.2605882352941177,0.2300000000000001,0.1093213549370675,2
12,anam,0.3316666666666666,0.33499999999999974,NA,4
3,ghréig,0.84,0.81,NA,6
3,rabhadar,0.45999999999999996,0.4800000000000001,NA,8
43,obair,0.2844186046511628,0.2799999999999998,0.07391443977688297,5
59,bhur,0.19084745762711863,0.16999999999999993,0.06363387017210308,4
3,gcomhdháil,0.5599999999999999,0.5800000000000001,NA,10
9,thábhachtach,0.661111111111111,0.6400000000000001,NA,12
16,níor,0.2875,0.275,NA,4
6,bhris,0.40666666666666673,0.3699999999999999,NA,5
5,focal,0.32199999999999995,0.29999999999999993,NA,5
3,fiacail,0.4066666666666665,0.43999999999999995,NA,7
3,riamh,0.38666666666666677,0.4500000000000002,NA,5
19,bhfear,0.4052631578947368,0.41000000000000003,NA,6
124,mór,0.31508064516129025,0.29000000000000004,0.09943332094122935,3
13,gabhaim,0.3261538461538462,0.31000000000000005,NA,7
27,buíochas,0.47888888888888886,0.4800000000000001,0.08666173555991369,8
4,libhse,0.44,0.43999999999999995,NA,6
11,bhfíorchaoin,0.6281818181818182,0.6000000000000001,NA,12
7,éadaí,0.4214285714285714,0.41000000000000003,NA,5
14,chur,0.2500000000000001,0.2250000000000002,NA,4
4,taispeáint,0.585,0.57,NA,10
30,san,0.23500000000000001,0.21999999999999997,0.07691239978949631,3
7,fhuinneog,0.4671428571428571,0.49,NA,9
9,sásta,0.4744444444444444,0.4900000000000002,NA,5
6,hiomlán,0.5600000000000002,0.5550000000000002,NA,7
7,glacadh,0.4785714285714286,0.5,NA,7
63,mo,0.12206349206349207,0.1200000000000001,0.03283186542992654,2
6,h,0.05000000000000001,0.04500000000000004,NA,1
1,iarratas,0.54,0.54,NA,8
1,ghach,0.38000000000000034,0.38000000000000034,NA,5
4,leibhéal,0.41999999999999993,0.4249999999999998,NA,8
12,dhaoibh,0.37833333333333324,0.345,NA,7
18,mbinse,0.44555555555555565,0.45500000000000007,NA,6
12,fhios,0.19500000000000006,0.17999999999999994,NA,5
13,measc,0.4346153846153846,0.3999999999999999,NA,5
55,chun,0.2601818181818182,0.2400000000000002,0.09015400217263847,4
2,tionad,0.30000000000000004,0.30000000000000004,NA,6
5,sheoladh,0.508,0.4800000000000004,NA,8
66,cad,0.25818181818181823,0.25,0.06413709093470356,3
20,sliabh,0.4474999999999999,0.42500000000000004,0.09634778013448003,6
23,airde,0.4208695652173914,0.41999999999999993,0.10578335680566715,5
44,in,0.13022727272727275,0.10999999999999999,0.05393745888952112,2
28,éirinn,0.43999999999999995,0.42499999999999993,0.13531855420122957,6
19,naoi,0.3310526315789474,0.35,NA,4
58,eile,0.2831034482758621,0.265,0.1153363790778,4
6,réir,0.3783333333333332,0.3849999999999999,NA,4
6,neartófar,0.6549999999999999,0.6499999999999999,NA,9
7,fhís,0.4100000000000001,0.3999999999999999,NA,4
17,ghaeilge,0.5170588235294117,0.5099999999999998,NA,8
16,cur,0.21937500000000004,0.22000000000000008,NA,3
6,chuige,0.2950000000000001,0.295,NA,6
4,sórt,0.34750000000000003,0.33499999999999996,NA,4
4,teastáil,0.5774999999999999,0.5799999999999998,NA,8
4,ónar,0.2925,0.29500000000000015,NA,4
5,dteanga,0.41399999999999987,0.41000000000000014,NA,7
8,abhaile,0.4325,0.44000000000000006,NA,7
112,do,0.10517857142857143,0.09999999999999992,0.03874104704146141,2
60,agat,0.34383333333333327,0.355,0.09076121897625933,4
8,sheáin,0.4462500000000001,0.44500000000000006,NA,6
5,theach,0.30599999999999994,0.30000000000000004,NA,6
5,comhaltas,0.56,0.5300000000000001,NA,9
3,caipiteal,0.49,0.47,NA,9
7,siúd,0.45999999999999996,0.4600000000000002,NA,4
5,locht,0.49800000000000005,0.4600000000000002,NA,5
14,capall,0.40499999999999997,0.38499999999999995,NA,6
34,fear,0.4114705882352941,0.4049999999999999,0.072702480176992,4
33,mála,0.396060606060606,0.3999999999999999,0.08100692076681602,4
30,urlár,0.5139999999999999,0.5050000000000001,0.11327720043296906,5
17,bainigí,0.3752941176470588,0.38,NA,7
14,sult,0.3714285714285715,0.35,NA,4
6,bígí,0.4433333333333333,0.405,NA,4
5,suaimhneas,0.7899999999999998,0.6999999999999997,NA,10
2,áise,0.5149999999999999,0.5149999999999999,NA,4
4,ilchríoch,0.6599999999999999,0.65,NA,9
24,mó,0.26500000000000007,0.2500000000000002,0.07529651530709307,2
27,domhan,0.45259259259259255,0.41999999999999993,0.10063615318381022,6
12,síle,0.44916666666666666,0.40000000000000013,NA,4
5,laoire,0.402,0.3799999999999999,NA,6
9,léi,0.26999999999999996,0.2799999999999998,NA,3
5,chaith,0.3420000000000001,0.34,NA,6
53,nach,0.24679245283018864,0.23999999999999977,0.05797126559126117,4
2,híontach,0.5349999999999997,0.5349999999999997,NA,8
45,gan,0.25111111111111106,0.25,0.053818813127610346,3
14,phobail,0.3971428571428572,0.41000000000000014,NA,7
6,tuaithe,0.4549999999999999,0.44499999999999984,NA,7
6,bheoga,0.5566666666666668,0.5399999999999999,NA,6
7,sochaí,0.45142857142857157,0.43999999999999995,NA,6
3,bheo,0.37333333333333335,0.3799999999999999,NA,4
2,fhuinniúil,0.4700000000000002,0.4700000000000002,NA,10
21,gael,0.42238095238095225,0.4099999999999999,0.09202742862346872,4
10,ainm,0.36700000000000005,0.365,NA,4
3,cheantair,0.5133333333333333,0.5,NA,9
5,iascaigh,0.516,0.4700000000000002,NA,8
5,mhála,0.42400000000000004,0.4099999999999999,NA,5
99,sí,0.22212121212121208,0.20000000000000007,0.08564607675674285,2
10,hoibre,0.371,0.36499999999999994,NA,6
5,bia,0.29799999999999993,0.32999999999999985,NA,3
3,leite,0.4266666666666666,0.4,NA,5
9,bainne,0.3611111111111112,0.3900000000000001,NA,6
6,coileach,0.49000000000000005,0.495,NA,8
52,ina,0.15423076923076923,0.14000000000000012,0.03927510581337219,3
3,sheasamh,0.4733333333333334,0.48,NA,8
2,gcró,0.375,0.375,NA,4
4,bhuíoch,0.32499999999999996,0.31999999999999995,NA,7
2,díbhse,0.3799999999999999,0.3799999999999999,NA,6
6,freisin,0.5400000000000001,0.5250000000000001,NA,7
