 ,frequency,word,meanDuration,medianDuration,stDevDuration,n_characters
кожному,16,кожному,0.49875,0.51,NA,7
гарантується,17,гарантується,0.7376470588235293,0.7199999999999998,NA,12
недоторканність,9,недоторканність,0.9244444444444445,0.8600000000000001,NA,15
житла,6,житла,0.515,0.5250000000000001,NA,5
вiн,189,вiн,0.24021164021164024,0.2200000000000002,0.08913268660391407,3
ударив,6,ударив,0.42,0.44,NA,6
зо,9,зо,0.17111111111111116,0.1399999999999999,NA,2
всеї,3,всеї,0.38000000000000006,0.3699999999999999,NA,4
сили,12,сили,0.4166666666666668,0.395,NA,4
мужика,3,мужика,0.3900000000000001,0.3799999999999999,NA,6
по,211,по,0.1343127962085308,0.13000000000000012,0.03538733668110784,2
головi,3,головi,0.4333333333333331,0.41999999999999993,NA,6
потiм,16,потiм,0.36624999999999996,0.33000000000000007,NA,5
другою,10,другою,0.45199999999999996,0.44500000000000006,NA,6
рукою,12,рукою,0.4233333333333332,0.43500000000000005,NA,5
ще,253,ще,0.2697233201581028,0.25,0.07478754650837484,2
раз,89,раз,0.2530337078651686,0.22999999999999998,0.08227454724029487,3
хліб,28,хліб,0.37357142857142855,0.36,0.0601365289686902,4
насущний,3,насущний,0.8333333333333334,0.8299999999999998,NA,8
основа,5,основа,0.6480000000000001,0.72,NA,6
існування,10,існування,0.7430000000000001,0.7349999999999999,NA,9
батько,45,батько,0.5062222222222222,0.4899999999999999,0.117459642757705,6
заохочує,3,заохочує,0.7666666666666666,0.7599999999999999,NA,8
і,2124,і,0.11142184557438796,0.10999999999999988,0.04703906448419701,1
надає,6,надає,0.3966666666666667,0.40000000000000013,NA,5
сил,10,сил,0.3629999999999998,0.36499999999999977,NA,3
я,1164,я,0.18140034364261168,0.17000000000000004,0.07708811409265115,1
думаю,53,думаю,0.4650943396226416,0.45999999999999996,0.10266867250285173,5
що,1208,що,0.250546357615894,0.2400000000000001,0.06914820487134261,2
це,1245,це,0.1946425702811245,0.18,0.061060864842002495,2
буде,218,буде,0.3039449541284403,0.28000000000000025,0.08345111815840027,4
на,1999,на,0.14134067033516756,0.13000000000000034,0.04149367695177005,2
користь,13,користь,0.44307692307692303,0.4099999999999999,NA,7
громаді,6,громаді,0.5583333333333335,0.56,NA,7
даний,25,даний,0.3324000000000001,0.33000000000000007,0.05301572093885615,5
час,202,час,0.35123762376237616,0.33999999999999997,0.10176527949034624,3
є,675,є,0.1886074074074074,0.16999999999999993,0.08477313907278446,1
радником,4,радником,0.48,0.5,NA,8
президента,45,президента,0.6751111111111111,0.6799999999999997,0.0936051237482179,10
україни,268,україни,0.5936940298507464,0.6000000000000005,0.09338099860546265,7
з,1431,з,0.1046470999301188,0.09999999999999964,0.04381937484963797,1
правових,4,правових,0.4949999999999999,0.4950000000000001,NA,8
питань,34,питань,0.43500000000000005,0.42999999999999994,0.06449101417322342,6
початкове,4,початкове,0.615,0.5750000000000001,NA,9
вторгнення,4,вторгнення,0.7050000000000001,0.7100000000000001,NA,10
пропустило,4,пропустило,0.7950000000000002,0.7250000000000002,NA,10
нападників,7,нападників,0.7257142857142858,0.7200000000000002,NA,10
