word,frequency,n_characters
के,998,2
में,825,3
है,533,2
की,509,2
और,438,2
से,398,2
को,371,2
का,319,2
ने,255,2
एक,229,2
कि,211,2
पर,200,2
हैं,193,3
था,190,2
किया,165,4
लिए,146,3
गया,144,3
करने,126,4
नहीं,124,4
यह,104,2
कर,99,2
जो,99,2
इस,97,2
रूप,93,3
साथ,86,3
तक,86,2
बाद,82,3
भी,80,2
हो,77,2
थी,72,2
वह,70,2
लेकिन,69,5
अपने,68,4
दिया,67,4
थे,62,2
कहा,61,3
वर्ष,59,4
उसने,57,4
हुए,56,3
उसके,55,4
गयी,52,3
ही,52,2
कई,52,2
लोगों,52,5
द्वारा,49,6
वाले,48,4
ज्यादा,48,6
समय,47,3
पहले,46,4
गए,44,2
क्षेत्र,42,7
जाता,42,4
उसे,42,3
अपनी,42,4
होने,41,4
कम,41,2
या,40,2
बहुत,38,4
सकता,38,4
करते,37,4
तरह,37,3
तो,36,2
दो,36,2
शुरू,36,4
हुआ,35,3
बीच,34,3
काम,33,3
कारण,33,4
इसके,33,4
रहा,33,3
उसकी,32,4
जब,32,2
लिया,32,4
सबसे,31,4
लगभग,30,4
बारे,30,4
वे,28,2
हुई,28,3
दी,28,2
साल,28,3
रहे,28,3
होता,28,4
कुछ,28,3
जाने,28,4
उसका,27,4
करता,26,4
उस,26,2
जा,26,2
केवल,25,4
युद्ध,25,5
बार,25,3
ऐसा,25,3
करना,24,4
प्रति,24,5
शामिल,24,5
नये,23,3
तौर,23,3
कोई,22,3
फिर,22,3
प्राप्त,22,7
इसका,22,4
वहां,22,4
मैं,22,3
जिसमें,22,6
किए,22,3
व्यक्ति,22,7
उपयोग,21,5
पूर्व,21,5
दिन,21,3
जैसे,21,4
अमेरिका,21,7
शहर,21,3
होती,21,4
किसी,21,4
उन्हें,20,6
उन्होंने,20,8
दोनों,20,5
पास,20,3
राज्य,20,5
दक्षिण,20,6
दौरान,20,5
स्थापित,19,7
लोग,19,3
अन्य,19,4
वाली,19,4
इसे,19,3
