,word,frequency,n_characters,romanized_form
的,的,1362,2,de
在,在,415,3,zài
了,了,380,2,le
一,一,249,2,yī
是,是,215,3,shì
和,和,197,2,hé
年,年,188,4,nián
個,個,177,2,gè
他,他,172,2,tā
這,這,152,3,zhè
為,為,127,3,wèi
於,於,125,2,yú
中,中,120,5,zhōng
有,有,117,3,yǒu
被,被,102,3,bèi
人,人,94,3,rén
他們,他們,85,5,tāmen
月,月,71,3,yuè
上,上,70,5,shàng
來,來,68,3,lái
並,並,67,4,bìng
會,會,67,3,huì
她,她,66,2,tā
對,對,65,3,duì
也,也,61,2,yě
我,我,59,2,wǒ
但,但,58,3,dàn
說,說,54,4,shuō
不,不,53,2,bù
就,就,52,3,jiù
與,與,50,2,yǔ
兩,兩,50,5,liǎng
而,而,49,2,ér
從,從,47,4,cóng
次,次,46,2,cì
但是,但是,44,6,dànshì
還,還,43,3,hái
其,其,43,2,qí
時,時,42,3,shí
我們,我們,42,5,wǒmen
它,它,42,2,tā
後,後,41,3,hòu
都,都,41,6,dōu dū
著,著,40,3,zhe
將,將,39,5,jiāng
能,能,39,4,néng
該,該,39,3,gāi
位,位,36,3,wèi
已經,已經,35,6,yǐjīng
到,到,34,3,dào
以及,以及,34,4,yǐjí
可能,可能,33,6,kěnéng
公司,公司,33,6,gōngsī
這些,這些,32,6,zhèxiē
地區,地區,31,7,de dìqū
可以,可以,31,4,kěyǐ
世紀,世紀,31,5,shìjì
工作,工作,31,7,gōngzuò
美國,美國,30,6,měiguó
沒有,沒有,29,6,méiyǒu
那,那,29,2,nà
此,此,29,2,cǐ
所,所,29,3,suǒ
開始,開始,28,6,kāishǐ
因為,因為,28,6,yīnwèi
把,把,28,2,bǎ
自己,自己,27,4,zìjǐ
下,下,27,3,xià
之,之,27,3,zhī
政府,政府,27,7,zhèngfǔ
自,自,27,2,zì
之後,之後,26,6,zhīhòu
前,前,26,4,qián
英國,英國,25,7,yīngguó
讓,讓,25,4,ràng
電影,電影,25,8,diànyǐng
很多,很多,25,6,hěnduō
日,日,25,2,rì
多,多,25,3,duō
種,種,24,5,zhǒng
地,地,24,5,de dì
認為,認為,24,6,rènwèi
以,以,24,2,yǐ
最,最,23,3,zuì
用,用,23,4,yòng
之間,之間,23,7,zhījiān
向,向,23,5,xiàng
其他,其他,23,4,qítā
國家,國家,23,6,guójiā
名,名,22,4,míng
第一,第一,22,4,dìyī
影響,影響,21,9,yǐngxiǎng
由,由,21,3,yóu
當,當,21,4,dāng
世界,世界,21,6,shìjiè
發生,發生,21,7,fāshēng
過,過,20,3,guò
要,要,20,3,yào
獲得,獲得,20,5,huòdé
系統,系統,20,6,xìtǒng
成,成,20,5,chéng
很,很,20,3,hěn
內,內,20,3,nèi
至,至,20,3,zhì
作,作,20,3,zuò
一直,一直,19,5,yīzhí
因,因,19,3,yīn
包括,包括,19,6,bāokuò
元,元,19,4,yuán
其中,其中,18,7,qízhōng
如果,如果,18,5,rúguǒ
最後,最後,18,6,zuìhòu
成功,成功,18,9,chénggōng
同時,同時,18,7,tóngshí
已,已,18,2,yǐ
進行,進行,18,7,jìnxíng
方面,方面,18,8,fāngmiàn
可,可,17,2,kě
年代,年代,17,7,niándài
及,及,17,2,jí
接受,接受,17,7,jiēshòu
歷史,歷史,17,5,lìshǐ
正,正,17,5,zhèng
中國,中國,17,8,zhōngguó
決定,決定,17,7,juédìng
建立,建立,17,6,jiànlì
使,使,17,3,shǐ
通過,通過,17,7,tōngguò
戰爭,戰爭,16,9,zhànzhēng
需要,需要,16,5,xūyào
三,三,16,3,sān
更,更,16,4,gèng
公元,公元,16,8,gōngyuán
令,令,16,4,lìng
總統,總統,16,8,zǒngtǒng
