repetitions,orthographic_form,meanDuration,medianDuration,stDevDuration
612,энэ,0.21362745098039218,0.20999999999999996,0.06686022573480109
28,бүхнийг,0.3914285714285714,0.37500000000000006,0.07372191421090911
2,нөхөртэйгөө,0.595,0.595,NA
3,зөвлөх,0.4766666666666668,0.40000000000000013,NA
3,хэлэлцэх,0.49666666666666676,0.52,NA
82,цаг,0.24317073170731712,0.24000000000000002,0.058812907980621124
2,зав,0.22999999999999976,0.22999999999999976,NA
859,ч,0.1139813736903376,0.10000000000000009,0.053844978446817876
24,байсангүй,0.5995833333333334,0.5900000000000001,0.0806214539721264
48,тул,0.26875,0.27,0.06654465785742461
10,яаран,0.3809999999999999,0.3949999999999998,NA
15,гарлаа,0.47133333333333327,0.48,NA
53,таны,0.31943396226415105,0.30999999999999983,0.055345595834079865
91,болон,0.36505494505494507,0.3600000000000001,0.06928802407941996
6,багийн,0.41666666666666696,0.4200000000000003,NA
54,хувьд,0.2975925925925926,0.28,0.09396778221836694
11,шударга,0.4209090909090909,0.3999999999999999,NA
35,бус,0.24971428571428567,0.24,0.057929252708176115
3,баймаар,0.39666666666666667,0.33000000000000007,NA
104,тэгээд,0.37384615384615383,0.3699999999999999,0.0646019581341945
12,хүйтэн,0.41499999999999987,0.41000000000000014,NA
6,зад,0.2816666666666665,0.2699999999999998,NA
2,татан,0.3900000000000001,0.3900000000000001,NA
73,гарч,0.30465753424657543,0.29000000000000004,0.07429450016620827
25,ирлээ,0.4276,0.41999999999999993,0.1001781746023886
224,та,0.2173214285714286,0.20999999999999996,0.060163933639303516
65,өөрөө,0.34153846153846157,0.33000000000000007,0.0802774635489074
23,бүгдийг,0.4747826086956522,0.43000000000000016,0.0984825579950532
44,харж,0.2990909090909091,0.29000000000000004,0.05697074654544232
10,сонссон,0.5529999999999999,0.5399999999999999,NA
96,биз,0.2771875,0.2600000000000001,0.0840138224842856
264,дээ,0.2897727272727273,0.29000000000000004,0.08411440614907334
60,хүү,0.2823333333333334,0.26000000000000034,0.13364976575739163
1547,нь,0.12870071105365222,0.11000000000000032,0.060516793501824415
1,эхийгээ,0.52,0.52,NA
1,өрөвдөөд,0.48,0.48,NA
125,үг,0.19296,0.18000000000000016,0.06770457648799937
3,зөрж,0.27666666666666667,0.28000000000000025,NA
1,маргахыг,0.48,0.48,NA
3,болив,0.4266666666666666,0.3999999999999999,NA
7,цэрэгмаа,0.5942857142857143,0.56,NA
48,хэд,0.2489583333333333,0.2400000000000002,0.06742180919116547
13,хоногийн,0.35692307692307695,0.32000000000000006,NA
101,дараа,0.3182178217821782,0.30000000000000004,0.0787197057871021
77,ажил,0.301038961038961,0.29000000000000004,0.062103148822287575
2,жигдэрсэн,0.4999999999999998,0.4999999999999998,NA
7,эсэхийг,0.4085714285714285,0.3599999999999999,NA
5,үзэхээр,0.38199999999999984,0.33000000000000007,NA
4,хадлангийн,0.5150000000000001,0.5200000000000001,NA
3,бригад,0.3966666666666668,0.41000000000000014,NA
210,дээр,0.21214285714285713,0.20000000000000018,0.05902459605254487
4,очжээ,0.5350000000000001,0.5250000000000001,NA
77,яагаад,0.41935064935064936,0.42000000000000004,0.07039994135646599
4,ингэсний,0.4225,0.4099999999999999,NA
13,учрыг,0.39076923076923076,0.41000000000000014,NA
21,удалгүй,0.44095238095238093,0.4400000000000004,0.060901950864053846
582,би,0.1926975945017182,0.17999999999999972,0.07181522447088994
8,ойлгосон,0.515,0.54,NA
5,хөлөг,0.32,0.33999999999999997,NA
7,онгоц,0.3228571428571427,0.32000000000000006,NA
3,хөдөлгүүрийн,0.5766666666666667,0.61,NA
2,үйлдвэрлэл,0.6700000000000002,0.6700000000000002,NA
163,бас,0.2575460122699386,0.2400000000000002,0.09480383922358163
21,өндөр,0.30619047619047624,0.31999999999999995,0.046741436699805364
2,хөгжсөн,0.5100000000000002,0.5100000000000002,NA
2,томуу,0.44000000000000006,0.44000000000000006,NA
2,төст,0.27999999999999997,0.27999999999999997,NA
14,өвчин,0.38285714285714295,0.3750000000000001,NA
1,менингококкт,1.2399999999999998,1.2399999999999998,NA
1,халдвараас,0.4700000000000002,0.4700000000000002,NA
7,урьдчилан,0.4728571428571428,0.5,NA
1,сэргийлэхийг,0.4399999999999995,0.4399999999999995,NA
17,эрүүл,0.33235294117647063,0.31999999999999984,NA
2,мэндийн,0.2649999999999999,0.2649999999999999,NA
6,яам,0.27166666666666667,0.2750000000000001,NA
1,анхааруулж,0.47999999999999954,0.47999999999999954,NA
627,байна,0.2782456140350878,0.2600000000000007,0.09289169012861072
42,бидний,0.3814285714285714,0.385,0.053809575200657926
16,хооронд,0.39312499999999995,0.3899999999999999,NA
40,хэзээ,0.34775,0.33000000000000007,0.07975885128921026
21,дайн,0.28571428571428575,0.2799999999999999,0.05445837204428982
61,байхгүй,0.4873770491803279,0.45999999999999996,0.15228155545287667
4,байг,0.3375,0.3799999999999999,NA
2,онож,0.3750000000000003,0.3750000000000003,NA
1,буудсан,0.4700000000000001,0.4700000000000001,NA
36,арай,0.3008333333333333,0.285,0.08682906030981632
22,удаан,0.3668181818181818,0.3649999999999999,0.058013657147127126
2,гүйцэтгэж,0.5050000000000001,0.5050000000000001,NA
4,байгаагаараа,0.6124999999999999,0.5699999999999998,NA
5,тэднээс,0.3999999999999999,0.3799999999999999,NA
5,дутуу,0.3580000000000001,0.35,NA
77,гэдгийг,0.3858441558441559,0.3799999999999999,0.08056299675198043
3,анзаарсан,0.5966666666666666,0.56,NA
25,хотын,0.3944,0.3899999999999999,0.06665083145267825
17,хойд,0.2970588235294118,0.2999999999999998,NA
37,хэсэг,0.32837837837837847,0.33000000000000007,0.07112248876697448
9,дэх,0.2211111111111111,0.2200000000000002,NA
446,нэг,0.2130493273542601,0.20999999999999996,0.05369604247125315
14,байшингийн,0.5264285714285715,0.525,NA
2,тохилогхон,0.7449999999999999,0.7449999999999999,NA
2,тасалгаанд,0.615,0.615,NA
