,word,frequency,length
و,و,710,1
في,في,652,2
من,من,544,2
ب,ب,536,1
ل,ل,442,1
ه,ه,309,1
أن,أن,293,2
ها,ها,275,2
على,على,213,3
إلى,إلى,198,3
عام,عام,129,3
كان,كان,113,3
التي,التي,100,4
هم,هم,98,2
ما,ما,86,2
مع,مع,85,2
عن,عن,76,2
خلال,خلال,73,4
ذلك,ذلك,71,3
هذا,هذا,69,3
كانت,كانت,67,4
الذي,الذي,65,4
لكن,لكن,65,3
بعد,بعد,62,3
س,س,62,1
لا,لا,61,2
لم,لم,57,2
بين,بين,54,3
ك,ك,53,1
قد,قد,52,2
قبل,قبل,52,3
غير,غير,46,3
كل,كل,45,2
هذه,هذه,44,3
يمكن,يمكن,43,4
أيضاً,أيضاً,39,5
أكثر,أكثر,39,4
هو,هو,37,2
إن,إن,37,2
أو,أو,35,2
نا,نا,33,2
يكون,يكون,31,4
هناك,هناك,30,4
ف,ف,30,1
مثل,مثل,30,3
الأول,الأول,30,5
عندما,عندما,29,5
حتى,حتى,27,3
حيث,حيث,27,3
شكلٍ,شكلٍ,27,4
الخاصة,الخاصة,26,6
علي,علي,26,3
هي,هي,25,2
الوقت,الوقت,24,5
الذين,الذين,24,5
نحو,نحو,22,3
اسم,اسم,22,3
العديد,العديد,21,6
كما,كما,21,3
أحد,أحد,21,3
قال,قال,21,3
آخر,آخر,20,3
القرن,القرن,20,5
كبيرة,كبيرة,20,5
المتحدة,المتحدة,20,7
ذات,ذات,20,3
البحر,البحر,19,5
هما,هما,19,3
يوم,يوم,19,3
الأمر,الأمر,19,5
بعض,بعض,18,3
تشرين,تشرين,17,5
لدي,لدي,17,3
الحرب,الحرب,17,5
أجل,أجل,17,3
عند,عند,17,3
تكون,تكون,17,4
إذا,إذا,17,3
الثاني,الثاني,17,6
العام,العام,16,5
شركة,شركة,16,4
العالم,العالم,16,6
شأن,شأن,16,3
النسبة,النسبة,16,6
سبب,سبب,16,3
دون,دون,15,3
تلك,تلك,15,3
أي,أي,15,2
الصين,الصين,15,5
الأولى,الأولى,15,6
منطقة,منطقة,15,5
منذ,منذ,15,3
وضع,وضع,15,3
فقط,فقط,15,3
الكثير,الكثير,15,6
المنطقة,المنطقة,14,7
نهاية,نهاية,14,5
إحدى,إحدى,14,4
عمل,عمل,14,3
أول,أول,14,3
سي,سي,14,2
المدينة,المدينة,13,7
يكن,يكن,13,3
أخرى,أخرى,13,4
جنوب,جنوب,13,4
تم,تم,13,2
ي,ي,13,1
كانوا,كانوا,13,5
عدة,عدة,13,3
نفس,نفس,12,3
شكل,شكل,12,3
أكبر,أكبر,12,4
حول,حول,12,3
استخدام,استخدام,12,7
كبير,كبير,12,4
عشر,عشر,12,3
العمل,العمل,12,5
جداً,جداً,12,4
بي,بي,12,2
فترة,فترة,12,4
الجديدة,الجديدة,12,7
الآن,الآن,11,4
م,م,11,1
أفضل,أفضل,11,4
الجزء,الجزء,11,5
تحت,تحت,11,3
مرة,مرة,11,3
الدول,الدول,11,5
جديدة,جديدة,11,5
ترامب,ترامب,11,5
كانون,كانون,11,5
مجلس,مجلس,11,4
البريطانية,البريطانية,11,10
تقريباً,تقريباً,11,7
قالت,قالت,11,4
الناس,الناس,11,5
جنيه,جنيه,11,4
بدأت,بدأت,11,4
إسترليني,إسترليني,11,8
مدينة,مدينة,11,5
حلول,حلول,11,4
ضد,ضد,10,2
الثالث,الثالث,10,6
ليس,ليس,10,3
كبيراً,كبيراً,10,6
الحكومة,الحكومة,10,7
ـ,ـ,10,1
المتوسط,المتوسط,10,7
بدأ,بدأ,10,3
يقول,يقول,10,4
الولايات,الولايات,10,8
فيلم,فيلم,10,4
نظام,نظام,9,4
الرغم,الرغم,9,5
نيسان,نيسان,9,5
الشمالية,الشمالية,9,8
عادةً,عادةً,9,5
الإنترنت,الإنترنت,9,8
الجيش,الجيش,9,5
عبر,عبر,9,3
دولار,دولار,9,5
رئيس,رئيس,9,4
الأراضي,الأراضي,9,7
بات,بات,9,3
التالي,التالي,9,6
وجود,وجود,9,4
الأمريكية,الأمريكية,9,9
تاريخ,تاريخ,8,5
الاتحاد,الاتحاد,8,7
نهر,نهر,8,3
دي,دي,8,2
فيما,فيما,8,4
إنتاج,إنتاج,8,5
زيادة,زيادة,8,5
حماية,حماية,8,5
الفعل,الفعل,8,5
تحقيق,تحقيق,8,5
مما,مما,8,3
حكم,حكم,8,3
الميلاد,الميلاد,8,7
سنوات,سنوات,8,5
ثمة,ثمة,8,3
يعمل,يعمل,8,4
حيات,حيات,8,4
العظمى,العظمى,8,6
المحيط,المحيط,8,6
الخاص,الخاص,8,5
تظهر,تظهر,8,4
ثم,ثم,8,2
الوطني,الوطني,8,6
عاماً,عاماً,8,5
برنامج,برنامج,8,6
المطاف,المطاف,8,6
سلالة,سلالة,8,5
فرنسا,فرنسا,8,5
منع,منع,8,3
مليون,مليون,8,5
أمام,أمام,8,4
تقول,تقول,8,4
الكبير,الكبير,8,6
بطولة,بطولة,8,5
وسع,وسع,8,3
تكن,تكن,8,3
ثلاث,ثلاث,8,4
وقتٍ,وقتٍ,8,4
الأرض,الأرض,8,5
أصبح,أصبح,8,4
المناطق,المناطق,7,7
الجمهور,الجمهور,7,7
شرطة,شرطة,7,4
العصر,العصر,7,5
اليوم,اليوم,7,5
الجزر,الجزر,7,5
جانب,جانب,7,4
يعود,يعود,7,4
مجدداً,مجدداً,7,6
إلي,إلي,7,3
النظام,النظام,7,6
المزيد,المزيد,7,6
الفيلم,الفيلم,7,6
الأكثر,الأكثر,7,6
فعل,فعل,7,3
خاصة,خاصة,7,4
تضم,تضم,7,3
نسبة,نسبة,7,4
ترك,ترك,7,3
بدءاً,بدءاً,7,5
شمال,شمال,7,4
الشركات,الشركات,7,7
تشكل,تشكل,7,4
لن,لن,7,2
الشركة,الشركة,7,6
القديمة,القديمة,7,7
الملكية,الملكية,7,7
الجنوبية,الجنوبية,7,8
النمو,النمو,7,5
مرات,مرات,7,4
مجال,مجال,7,4
الإمبراطور,الإمبراطور,7,10
هونغ,هونغ,7,4
الانتقال,الانتقال,7,8
أفريقيا,أفريقيا,7,7
إنشاء,إنشاء,7,5
الكبيرة,الكبيرة,7,7
جزيرة,جزيرة,7,5
روسيا,روسيا,7,5
الأمريكي,الأمريكي,7,8
يورو,يورو,7,4
الإمبراطورية,الإمبراطورية,7,12
الأسبوع,الأسبوع,7,7
بريطانيا,بريطانيا,7,8
وفقاً,وفقاً,7,5
أولئك,أولئك,7,5
حدث,حدث,7,3
الماضي,الماضي,7,6
ظهرت,ظهرت,7,4
الشرطة,الشرطة,7,6
الأخيرة,الأخيرة,7,7
أدى,أدى,7,3
القانون,القانون,6,7
شرق,شرق,6,3
بكين,بكين,6,4
معدل,معدل,6,4
حدٍ,حدٍ,6,3
معاهدة,معاهدة,6,6
كتب,كتب,6,3
عشرة,عشرة,6,4
اليونان,اليونان,6,7
أنا,أنا,6,3
الوسطى,الوسطى,6,6
أمريكا,أمريكا,6,6
لو,لو,6,2
جزر,جزر,6,3
أستراليا,أستراليا,6,8
قيادة,قيادة,6,5
فوق,فوق,6,3
الحدود,الحدود,6,6
باريس,باريس,6,5
التقى,التقى,6,5
أوروبا,أوروبا,6,6
الأقل,الأقل,6,5
جراء,جراء,6,4
المدرسة,المدرسة,6,7
كلينتون,كلينتون,6,7
ألبانيا,ألبانيا,6,7
العشرين,العشرين,6,7
بداية,بداية,6,5
الدولية,الدولية,6,7
الشتاء,الشتاء,6,6
ولاية,ولاية,6,5
حزب,حزب,6,3
