,word,frequency,length,romanized_form
の,の,1753,2,No
に,に,1162,2,Ni
は,は,1157,2,Wa
た,た,918,2,Ta
を,を,851,1,O
が,が,681,2,Ga
て,て,637,2,Te
と,と,587,2,To
で,で,585,2,De
し,し,548,2,Si
こと,こと,214,4,Koto
いる,いる,212,3,Iru
ある,ある,202,3,Aru
さ,さ,201,2,Sa
年,年,201,3,Nen
れ,れ,198,2,Re
な,な,196,2,Na
する,する,193,4,Suru
い,い,161,1,I
も,も,155,2,Mo
彼,彼,144,4,Kare
的,的,117,4,Teki
ない,ない,110,3,Nai
から,から,107,4,Kara
その,その,100,4,Sono
この,この,95,4,Kono
か,か,85,2,Ka
人,人,83,4,Hito
者,者,79,4,Mono
や,や,77,2,Ya
だ,だ,74,2,Da
それ,それ,72,4,Sore
ます,ます,68,4,Masu
ため,ため,67,4,Tame
月,月,66,4,Tuki
まし,まし,66,4,Masi
よう,よう,64,3,You
より,より,62,4,Yori
ら,ら,59,2,Ra
なっ,なっ,57,2,Na
あり,あり,55,3,Ari
これ,これ,54,4,Kore
れる,れる,53,4,Reru
私,私,53,8,Watakusi
あっ,あっ,51,1,A
彼女,彼女,51,7,Kanozyo
まで,まで,50,4,Made
なる,なる,49,4,Naru
日,日,49,2,Hi
後,後,47,3,Ato
つ,つ,44,2,Tu
しかし,しかし,42,6,Sikasi
また,また,40,4,Mata
られ,られ,39,4,Rare
なかっ,なかっ,39,4,Naka
もの,もの,37,4,Mono
多く,多く,37,4,Ooku
いう,いう,36,2,Iu
へ,へ,36,1,E
たち,たち,35,4,Tati
性,性,35,3,Sei
前,前,34,3,Mae
中,中,33,4,Naka
間,間,33,2,Ma
つい,つい,32,3,Tui
できる,できる,31,6,Dekiru
海,海,29,3,Umi
可能,可能,28,5,Kanou
必要,必要,28,7,Hituyou
地域,地域,27,5,Tiiki
なく,なく,27,4,Naku
でき,でき,27,4,Deki
よる,よる,26,4,Yoru
家,家,26,2,Ie
ず,ず,25,2,Zu
など,など,24,4,Nado
州,州,24,4,Syuu
ば,ば,24,2,Ba
だろう,だろう,24,5,Darou
映画,映画,24,4,Eiga
一,一,24,3,Iti
世界,世界,24,5,Sekai
さらに,さらに,23,6,Sarani
時,時,23,4,Toki
人々,人々,23,8,Hitobito
政府,政府,22,5,Seihu
歴史,歴史,22,6,Rekisi
述べ,述べ,22,4,Nobe
都市,都市,22,4,Tosi
言っ,言っ,21,1,I
だっ,だっ,21,2,Da
地,地,21,2,Ti
化,化,21,2,Ka
新しい,新しい,21,8,Atarasii
支配,支配,20,5,Sihai
です,です,20,4,Desu
何,何,20,3,Nan
考え,考え,20,6,Kangae
大,大,20,2,Oo
英国,英国,20,6,Eikoku
他,他,19,4,Hoka
対する,対する,19,7,Taisuru
代,代,19,3,Dai
第,第,19,3,Dai
おり,おり,19,3,Ori
戦争,戦争,19,6,Sensou
最も,最も,19,7,Mottomo
せ,せ,19,2,Se
受け,受け,18,3,Uke
国,国,18,4,Kuni
達,達,18,4,Tati
約,約,18,4,Yaku
影響,影響,18,6,Eikyou
万,万,18,6,Yorozu
投資,投資,18,5,Tousi
米国,米国,18,7,Beikoku
なり,なり,18,4,Nari
よっ,よっ,18,2,Yo
対し,対し,18,5,Taisi
世紀,世紀,17,5,Seiki
投票,投票,17,7,Touhyou
中国,中国,17,8,Tyuugoku
おい,おい,17,2,Oi
使用,使用,17,5,Siyou
不,不,17,2,Hu
大統領,大統領,17,10,Daitouryou
以上,以上,17,5,Izyou
数,数,17,4,Kazu
発生,発生,17,6,Hassei
大きな,大きな,16,6,Ookina
だけ,だけ,16,4,Dake
なら,なら,16,4,Nara
今,今,16,3,Ima
せる,せる,16,4,Seru
党,党,16,3,Tou
世,世,16,2,Yo
川,川,15,4,Gawa
次,次,15,2,Zi
知ら,知ら,15,4,Sira
研究,研究,15,7,Kenkyuu
上,上,15,2,Ue
時代,時代,15,5,Zidai
関係,関係,15,6,Kankei
企業,企業,15,6,Kigyou
ほとんど,ほとんど,15,7,Hotondo
問題,問題,15,6,Mondai
および,および,15,5,Oyobi
氏,氏,15,2,Si
語,語,15,2,Go
高い,高い,15,5,Takai
成長,成長,15,7,Seityou
アメリカ,アメリカ,15,7,Amerika
フランス,フランス,15,7,Huransu
見,見,14,2,Mi
国家,国家,14,5,Kokka
選挙,選挙,14,6,Senkyo
最初,最初,14,6,Saisyo
非常,非常,14,6,Hizyou
