language,iso_code,dialect,#types,#tokens,family
Kinyarwanda,rw,,135330,2673259,Niger-Congo
Abkhazian,ab,,151,257,Northwest Caucasian
Mongolian,mn,,14846,92335,Mongolic
Oriya (macrolanguage),or,,923,6868,Indo-European
Latvian,lv,,7794,45502,Indo-European
Estonian,et,,30136,157136,Uralic
Basque,eu,,24999,647545,Language isolate
Catalan,ca,,79215,4339527,Indo-European
Portuguese,pt,,13051,397445,Indo-European
Breton,br,,4324,56318,Indo-European
Panjabi,pa,IN,97,483,Indo-European
Interlingua (International Auxiliary Language Association),ia,,5554,44097,
Romansh,rm,vallader,3390,14728,Indo-European
Spanish,es,,75619,2484983,Indo-European
Dutch,nl,,10668,414208,Indo-European
Chinese,zh,CN,2537,97572,Sino-Tibetan
Romanian,ro,,6451,43680,Indo-European
Polish,pl,,25367,826468,Indo-European
Italian,it,,55482,1052514,Indo-European
Modern Greek (1453-),el,,5836,52685,Indo-European
Welsh,cy,,11490,726539,Indo-European
Czech,cs,,16034,208330,Indo-European
Japanese,ja,,56,18156,Japonic
Chinese,zh,TW,8041,179749,Sino-Tibetan
German,de,,150364,5569590,Indo-European
Vietnamese,vi,,575,1744,Austroasiatic
Indonesian,id,,3819,62555,Austronesian
Kirghiz,ky,,10499,87004,Turkic
Tatar,tt,,22315,208723,Turkic
French,fr,,162742,5014779,Indo-European
Hakha Chin,cnh,,2516,24117,Sino-Tibetan
Chuvash,cv,,5567,22450,Turkic
Swedish,sv,SE,4455,88684,Indo-European
Slovenian,sl,,5995,37368,Indo-European
Russian,ru,,31923,830059,Indo-European
Tamil,ta,,1527,90285,Dravidian
Chinese,zh,HK,8631,82843,Sino-Tibetan
Georgian,ka,,7947,20253,Kartvelian
Western Frisian,fy,NL,8420,83230,Indo-European
Maltese,mt,,8150,57768,Afro-Asiatic
Romansh,rm,sursilv,7199,43147,Indo-European
Dhivehi,dv,,157,65725,Indo-European
Yakut,sah,,8043,31765,Turkic
Persian,fa,,13242,2278604,Indo-European
Irish,ga,IE,2313,30904,Indo-European
English,en,,173524,13165106,Indo-European
Esperanto,eo,,27934,580778,
Ukrainian,uk,,14401,166884,Indo-European
Assamese,as,,1117,5039,Indo-European
Arabic,ar,,7498,75885,Afro-Asiatic
Turkish,tr,,8959,152798,Turkic
