,word,frequency,length
的,的,1362,8
在,在,415,6
了,了,380,2
一,一,249,1
是,是,215,9
和,和,197,8
年,年,188,6
個,個,177,1
他,他,172,5
這,這,152,1
為,為,127,9
於,於,125,8
中,中,120,4
有,有,117,6
被,被,102,1
人,人,94,2
他們,他們,85,6
月,月,71,4
上,上,70,3
來,來,68,8
會,會,67,1
並,並,67,8
她,她,66,6
對,對,65,1
也,也,61,3
我,我,59,7
但,但,58,7
說,說,54,1
不,不,53,4
就,就,52,1
與,與,50,1
兩,兩,50,8
而,而,49,6
從,從,47,1
次,次,46,6
但是,但是,44,16
還,還,43,1
其,其,43,8
它,它,42,5
我們,我們,42,8
時,時,42,1
都,都,41,1
後,後,41,9
著,著,40,1
能,能,39,1
該,該,39,1
將,將,39,1
位,位,36,7
已經,已經,35,4
到,到,34,8
以及,以及,34,7
可能,可能,33,6
公司,公司,33,9
這些,這些,32,9
可以,可以,31,9
地區,地區,31,7
世紀,世紀,31,14
工作,工作,31,10
美國,美國,30,10
所,所,29,8
此,此,29,6
那,那,29,6
沒有,沒有,29,13
因為,因為,28,15
把,把,28,7
開始,開始,28,9
自,自,27,6
政府,政府,27,17
之,之,27,3
自己,自己,27,9
下,下,27,3
之後,之後,26,12
前,前,26,9
很多,很多,25,15
英國,英國,25,9
電影,電影,25,2
讓,讓,25,2
日,日,25,4
多,多,25,6
認為,認為,24,10
地,地,24,6
種,種,24,1
以,以,24,4
最,最,23,1
用,用,23,5
其他,其他,23,13
國家,國家,23,2
向,向,23,6
之間,之間,23,4
第一,第一,22,2
名,名,22,6
世界,世界,21,14
當,當,21,1
發生,發生,21,6
影響,影響,21,3
由,由,21,5
內,內,20,4
獲得,獲得,20,2
至,至,20,6
很,很,20,9
要,要,20,9
系統,系統,20,8
成,成,20,6
過,過,20,1
作,作,20,7
包括,包括,19,14
一直,一直,19,9
因,因,19,6
元,元,19,4
方面,方面,18,13
其中,其中,18,12
成功,成功,18,11
同時,同時,18,7
如果,如果,18,14
已,已,18,3
最後,最後,18,10
進行,進行,18,7
歷史,歷史,17,6
通過,通過,17,2
年代,年代,17,11
決定,決定,17,15
可,可,17,5
及,及,17,3
正,正,17,5
使,使,17,8
建立,建立,17,13
接受,接受,17,9
中國,中國,17,5
所有,所有,16,14
三,三,16,3
主要,主要,16,14
令,令,16,5
更,更,16,7
戰爭,戰爭,16,9
總統,總統,16,2
公元,公元,16,8
需要,需要,16,10
能夠,能夠,16,2
許多,許多,16,7
稱,稱,15,1
表示,表示,15,13
現在,現在,15,7
區域,區域,15,2
或,或,15,8
之前,之前,15,12
提供,提供,15,9
導致,導致,15,2
城市,城市,15,14
軍隊,軍隊,15,10
新,新,14,1
人們,人們,14,3
希望,希望,14,8
不同,不同,14,10
當時,當時,14,2
發現,發現,14,2
期間,期間,14,2
歐,歐,14,1
法國,法國,14,9
由於,由於,14,13
如,如,14,6
給,給,14,1
使用,使用,14,13
德國,德國,14,2
一些,一些,14,9
六,六,14,4
非常,非常,14,9
不是,不是,14,13
研究,研究,14,16
一樣,一樣,14,2
重要,重要,13,18
時間,時間,13,2
發展,發展,13,2
去,去,13,5
出現,出現,13,6
部分,部分,13,5
比,比,13,4
你,你,13,7
經濟,經濟,13,2
第二,第二,13,3
調查,調查,13,10
特別,特別,13,8
只,只,13,5
歐洲,歐洲,13,10
約,約,12,9
根據,根據,12,2
四,四,12,5
它們,它們,12,6
希臘,希臘,12,8
事件,事件,12,14
處,處,12,1
情況,情況,12,9
超過,超過,12,2
只有,只有,12,11
政治,政治,12,17
地方,地方,12,10
方法,方法,12,12
十,十,12,2
項,項,12,1
技術,技術,12,8
問題,問題,12,2
獨立,獨立,12,6
得,得,12,1
代表,代表,11,13
什麼,什麼,11,5
座,座,11,1
宣布,宣布,11,14
看到,看到,11,17
另,另,11,5
則,則,11,9
天,天,11,4
必須,必須,11,6
未,未,11,5
曾,曾,11,1
人口,人口,11,5
數據,數據,11,2
一起,一起,11,2
關於,關於,11,9
裡,裡,11,1
要求,要求,11,16
事,事,11,8
看,看,11,9
做,做,11,1
像,像,10,1
計劃,計劃,10,10
家,家,10,1
想,想,10,1
才,才,10,3
活動,活動,10,10
特朗普,特朗普,10,3
起,起,10,1
提出,提出,10,6
而且,而且,10,11
市場,市場,10,6
形成,形成,10,13
歲,歲,10,1
全球,全球,10,7
隨後,隨後,10,10
進入,進入,10,3
投資,投資,10,8
水平,水平,10,9
幫助,幫助,10,8
生活,生活,10,14
擁有,擁有,10,7
存在,存在,10,12
所以,所以,10,12
發布,發布,10,6
系列,系列,10,13
南,南,10,9
最高,最高,10,2
條約,條約,10,10
關係,關係,9,10
保護,保護,9,11
下來,下來,9,11
說道,說道,9,2
行動,行動,9,7
天皇,天皇,9,13
地中海,地中海,9,11
屬,屬,9,2
國際,國際,9,2
大,大,9,3
投票,投票,9,8
羅馬,羅馬,9,2
合作,合作,9,13
還是,還是,9,10
故事,故事,9,17
信息,信息,9,10
通常,通常,9,2
帝國,帝國,9,10
協議,協議,9,10
社會,社會,9,8
出,出,9,5
選舉,選舉,9,2
週,週,9,1
為了,為了,9,11
原因,原因,9,7
七,七,9,2
美,美,9,9
明顯,明顯,9,10
都是,都是,9,10
就是,就是,9,10
任何,任何,9,13
比賽,比賽,9,5
幾乎,幾乎,9,6
目前,目前,9,14
北部,北部,9,6
至少,至少,9,10
例如,例如,9,14
管理,管理,9,2
顯示,顯示,9,7
土地,土地,8,9
幾,幾,8,1
銀行,銀行,8,7
是否,是否,8,16
共同,共同,8,12
繼續,繼續,8,4
美洲,美洲,8,18
時代,時代,8,6
聯邦,聯邦,8,7
學習,學習,8,2
大陸,大陸,8,4
行為,行為,8,15
妻子,妻子,8,11
平均,平均,8,12
改變,改變,8,9
無法,無法,8,9
數,數,8,1
價格,價格,8,2
飛機,飛機,8,10
再,再,8,6
具有,具有,8,14
那些,那些,8,14
持續,持續,8,11
組成,組成,8,7
實際,實際,8,2
這樣,這樣,8,2
整個,整個,8,2
資源,資源,8,2
澳大利亞,澳大利亞,8,19
控制,控制,8,9
離開,離開,8,2
應該,應該,8,2
這裡,這裡,8,2
隨,隨,8,1
五,五,8,4
統治,統治,8,9
挑戰,挑戰,8,10
有關,有關,8,7
意大利,意大利,8,11
以前,以前,8,13
寫,寫,8,1
最終,最終,8,2
目標,目標,8,6
自然,自然,8,7
增長,增長,8,9
自由,自由,8,11
解釋,解釋,8,3
告訴,告訴,8,8
擔任,擔任,8,7
時候,時候,8,2
直接,直接,8,9
越來越,越來越,8,10
最大,最大,8,4
甚至,甚至,8,15
大部分,大部分,8,8
又,又,8,2
大量,大量,8,4
山脈,山脈,7,4
很大,很大,7,12
西班牙,西班牙,7,11
不會,不會,7,5
手機,手機,7,5
場,場,7,1
航空,航空,7,9
香港,香港,7,10
以來,以來,7,12
第三,第三,7,4
進,進,7,1
似乎,似乎,7,11
增加,增加,7,6
起來,起來,7,9
卻,卻,7,9
責任,責任,7,7
產生,產生,7,6
馬其頓,馬其頓,7,10
埃及,埃及,7,4
共和黨,共和黨,7,16
學校,學校,7,2
每個,每個,7,8
帶來,帶來,7,9
死,死,7,6
衝突,衝突,7,10
那裡,那裡,7,7
出演,出演,7,6
人員,人員,7,3
民族,民族,7,6
宗教,宗教,7,9
非,非,7,8
張,張,7,1
導演,導演,7,2
汽車,汽車,7,14
名字,名字,7,12
建議,建議,7,10
附近,附近,7,14
同樣,同樣,7,7
安全,安全,7,12
