"","language","A"
"1","Kinyarwanda",96
"2","Abkhazian",37
"3","Mongolian",36
"4","Oriya",59
"5","Latvian",35
"6","Estonian",34
"7","Basque",28
"8","Catalan",67
"9","Portuguese",41
"10","Breton",41
"11","Panjabi",48
"12","Interlingua",27
"13","Spanish",186
"14","Dutch",41
"15","Romanian",36
"16","Polish",38
"17","Italian",110
"18","Modern Greek",46
"19","Welsh",43
"20","Czech",44
"21","German",152
"22","Vietnamese",86
"23","Indonesian",28
"24","Kirghiz",38
"25","Tatar",47
"26","French",244
"27","Hakha Chin",28
"28","Chuvash",36
"29","Swedish",30
"30","Slovenian",28
"31","Russian",54
"32","Tamil",44
"33","Georgian",34
"34","Western Frisian",42
"35","Maltese",40
"36","Romansh",40
"37","Dhivehi",40
"38","Yakut",42
"39","Persian",105
"40","Irish",31
"41","English",97
"42","Esperanto",38
"43","Ukrainian",44
"44","Assamese",60
"45","Arabic",44
"46","Turkish",37
