"","language","family","script","A","n","T"
"1","Arabic","Afro-Asiatic","Arabic",44,75885,7498
"2","Maltese","Afro-Asiatic","Latin",40,57768,8150
"3","Vietnamese","Austroasiatic","Latin",86,1744,575
"4","Indonesian","Austronesian","Latin",28,62555,3819
"5","Esperanto","Conlang","Latin",38,580778,27934
"6","Interlingua","Conlang","Latin",27,44097,5554
"7","Tamil","Dravidian","Tamil",44,90285,1527
"8","Panjabi","Indo-European","Arabic",48,483,97
"9","Persian","Indo-European","Arabic",105,2278604,13242
"10","Assamese","Indo-European","Assamese",60,5039,1117
"11","Russian","Indo-European","Cyrillic",54,830059,31923
"12","Ukrainian","Indo-European","Cyrillic",44,166884,14401
"13","Modern Greek","Indo-European","Greek",46,52685,5836
"14","Breton","Indo-European","Latin",41,56318,4324
"15","Catalan","Indo-European","Latin",67,4339527,79215
"16","Czech","Indo-European","Latin",44,208330,16034
"17","Dutch","Indo-European","Latin",41,414208,10668
"18","English","Indo-European","Latin",97,13165106,173524
"19","French","Indo-European","Latin",244,5014779,162742
"20","German","Indo-European","Latin",152,5569590,150364
"21","Irish","Indo-European","Latin",31,30904,2313
"22","Italian","Indo-European","Latin",110,1052514,55482
"23","Latvian","Indo-European","Latin",35,45502,7794
"24","Polish","Indo-European","Latin",38,826468,25367
"25","Portuguese","Indo-European","Latin",41,397445,13051
"26","Romanian","Indo-European","Latin",36,43680,6451
"27","Romansh","Indo-European","Latin",40,43147,44192
"28","Slovenian","Indo-European","Latin",28,37368,5995
"29","Spanish","Indo-European","Latin",186,2484983,75619
"30","Swedish","Indo-European","Latin",30,88684,4455
"31","Welsh","Indo-European","Latin",43,726539,11490
"32","Western Frisian","Indo-European","Latin",42,83230,8420
"33","Oriya","Indo-European","Odia",59,6868,923
"34","Dhivehi","Indo-European","Thaana",40,65725,157
"35","Georgian","Kartvelian","Georgian",34,20253,7947
"36","Basque","Language isolate","Latin",28,647545,24999
"37","Mongolian","Mongolic","Mongolian",36,92335,14846
"38","Kinyarwanda","Niger-Congo","Latin",96,2673259,135330
"39","Abkhazian","Northwest Caucasian","Cyrillic",37,257,151
"40","Hakha Chin","Sino-Tibetan","Latin",28,24117,2516
"41","Chuvash","Turkic","Cyrillic",36,22450,5567
"42","Kirghiz","Turkic","Cyrillic",38,87004,10499
"43","Tatar","Turkic","Cyrillic",47,208723,22315
"44","Yakut","Turkic","Cyrillic",42,31765,8043
"45","Turkish","Turkic","Latin",37,152798,8959
"46","Estonian","Uralic","Latin",34,157136,30136
