"","language","family","script","corr","pvalue","hb_pvalue"
"1","Tatar","Turkic","Cyrillic",-0.154175197537887,4.86275360812142e-119,2.23686665973585e-117
"2","Kinyarwanda","Niger-Congo","Latin",-0.0625306889536544,1.29589708995393e-117,5.83153690479267e-116
"3","Mongolian","Mongolic","Mongolian",-0.15220239976926,6.2064302682057e-78,2.73082931801051e-76
"4","Basque","Language isolate","Latin",-0.111560096800928,2.37970069982621e-70,1.02327130092527e-68
"5","Yakut","Turkic","Cyrillic",-0.190237454969192,1.04856123043523e-66,4.40395716782797e-65
"6","Ukrainian","Indo-European","Cyrillic",-0.138808262261858,3.5796775000972e-63,1.46766777503985e-61
"7","Czech","Indo-European","Latin",-0.128536079901095,2.50128789005161e-60,1.00051515602064e-58
"8","Polish","Indo-European","Latin",-0.101952619466806,6.95547367932728e-60,2.71263473493764e-58
"9","German","Indo-European","Latin",-0.0418938598207724,1.08117618753437e-59,4.10846951263061e-58
"10","Kirghiz","Turkic","Cyrillic",-0.156289448974561,1.08872296842935e-58,4.0282749831886e-57
"11","Latvian","Indo-European","Latin",-0.176635876590067,6.13571178662784e-56,2.20885624318602e-54
"12","Russian","Indo-European","Cyrillic",-0.0860194258924641,8.63082337614452e-54,3.02078818165058e-52
"13","Catalan","Indo-European","Latin",-0.0537851557453787,3.87857460824228e-52,1.31871536680238e-50
"14","Chuvash","Turkic","Cyrillic",-0.197070326118097,3.81982252578511e-50,1.26054143350908e-48
"15","Italian","Indo-European","Latin",-0.0628966320294275,4.74685126930821e-50,1.51899240617863e-48
"16","Turkish","Turkic","Latin",-0.155439107900456,7.43872369916826e-50,2.30600434674216e-48
"17","Estonian","Uralic","Latin",-0.0844566099199006,3.91473832067577e-49,1.17442149620273e-47
"18","Romansh","Indo-European","Latin",-0.147353918306683,5.29831353593995e-49,1.53651092542258e-47
"19","French","Indo-European","Latin",-0.0353841559614057,1.48545846083125e-46,4.15928369032749e-45
"20","English","Indo-European","Latin",-0.0342258513487866,1.90953656112019e-46,5.15574871502451e-45
"21","Persian","Indo-European","Arabic",-0.123304678271617,2.54556814837948e-46,6.61847718578664e-45
"22","Portuguese","Indo-European","Latin",-0.121092927962659,4.04365913839947e-44,1.01091478459987e-42
"23","Esperanto","","Latin",-0.0816296544453627,8.23157185086695e-43,1.97557724420807e-41
"24","Romanian","Indo-European","Latin",-0.167626862713256,3.71125372733491e-42,8.5358835728703e-41
"25","Welsh","Indo-European","Latin",-0.120744911979781,7.17227359158766e-39,1.57790019014928e-37
"26","Maltese","Afro-Asiatic","Latin",-0.140954093918782,9.90151543421676e-38,2.07931824118552e-36
"27","Breton","Indo-European","Latin",-0.189091782197191,2.22788583757634e-36,4.45577167515268e-35
"28","Modern Greek","Indo-European","Greek",-0.161696273528282,9.01646424190477e-36,1.71312820596191e-34
"29","Western Frisian","Indo-European","Latin",-0.13226933338825,1.79703640850609e-34,3.23466553531096e-33
"30","Interlingua","","Latin",-0.157316895758365,2.12543687054142e-32,3.61324267992041e-31
"31","Arabic","Afro-Asiatic","Arabic",-0.134358466712365,7.64605377750994e-32,1.22336860440159e-30
"32","Slovenian","Indo-European","Latin",-0.145624291824456,4.53046565801994e-30,6.79569848702991e-29
"33","Spanish","Indo-European","Latin",-0.0411891811337929,4.60487306143837e-30,6.44682228601372e-29
"34","Dutch","Indo-European","Latin",-0.100729132860569,9.21282219390657e-26,1.19766688520785e-24
"35","Swedish","Indo-European","Latin",-0.148671077264571,9.82998736622139e-24,1.17959848394657e-22
"36","Indonesian","Austronesian","Latin",-0.154910993678967,3.11359584536331e-22,3.42495542989964e-21
"37","Oriya","Indo-European","Odia",-0.29051603256383,1.134731916811e-19,1.134731916811e-18
"38","Assamese","Indo-European","Assamese",-0.262211555498174,2.74097439442265e-19,2.46687695498039e-18
"39","Georgian","Kartvelian","Georgian",-0.0966615535403138,2.94224310809566e-18,2.35379448647653e-17
"40","Tamil","Dravidian","Tamil",-0.216046009104912,7.26126135146939e-18,5.08288294602857e-17
"41","Irish","Indo-European","Latin",-0.165378340611228,6.16758686670358e-16,3.70055212002215e-15
"42","Hakha Chin","Sino-Tibetan","Latin",-0.146654298198575,7.28544489916816e-14,3.64272244958408e-13
"43","Vietnamese","Austroasiatic","Latin",-0.161323128234977,5.1788070464364e-05,0.000207152281857456
"44","Abkhazian","Northwest Caucasian","Cyrillic",-0.296691502502653,0.000113598896280806,0.000340796688842418
"45","Dhivehi","Indo-European","Thaana",-0.276240385060329,0.000251382428188627,0.000502764856377255
"46","Panjabi","Indo-European","Arabic",-0.269463254475294,0.00413712320069351,0.00413712320069351
