"","language","family","script","corr","pvalue","hb_pvalue"
"1","Kinyarwanda","Niger-Congo","Latin",-0.180264683781573,0,0
"2","Mongolian","Mongolic","Mongolian",-0.234977321320092,0,0
"3","Estonian","Uralic","Latin",-0.212541215081985,0,0
"4","Basque","Language isolate","Latin",-0.192997487740687,0,0
"5","Catalan","Indo-European","Latin",-0.203679245166968,0,0
"6","Spanish","Indo-European","Latin",-0.114241185454131,0,0
"7","Dutch","Indo-European","Latin",-0.263167571705712,0,0
"8","Italian","Indo-European","Latin",-0.174924975117531,0,0
"9","German","Indo-European","Latin",-0.193805063267939,0,0
"10","Tatar","Turkic","Cyrillic",-0.24048172289069,0,0
"11","French","Indo-European","Latin",-0.194229275116459,0,0
"12","Persian","Indo-European","Arabic",-0.23704823868556,0,0
"13","English","Indo-European","Latin",-0.149437453690203,0,0
"14","Esperanto","","Latin",-0.173224850526745,0,0
"15","Polish","Indo-European","Latin",-0.162326505581282,1.29403056654098e-301,4.14089781293114e-300
"16","Western Frisian","Indo-European","Latin",-0.298367033707854,3.33446092405574e-291,1.03368288645728e-289
"17","Czech","Indo-European","Latin",-0.200254401458351,3.35591550012007e-274,1.00677465003602e-272
"18","Russian","Indo-European","Cyrillic",-0.129870384893189,7.81048579737137e-241,2.2650408812377e-239
"19","Portuguese","Indo-European","Latin",-0.204986323853331,8.2292127895343e-238,2.3041795810696e-236
"20","Romansh","Indo-European","Latin",-0.250772444242913,4.16296263067724e-235,1.12399991028285e-233
"21","Ukrainian","Indo-European","Cyrillic",-0.170374475965991,1.79271193096497e-170,4.66105102050892e-169
"22","Yakut","Turkic","Cyrillic",-0.238975848322687,2.86095097079638e-170,7.15237742699094e-169
"23","Welsh","Indo-European","Latin",-0.182532300098485,2.73143305841341e-169,6.55543934019219e-168
"24","Turkish","Turkic","Latin",-0.199297286996639,6.27030030949968e-150,1.44216907118493e-148
"25","Slovenian","Indo-European","Latin",-0.246413402821107,5.60850173521465e-144,1.23387038174722e-142
"26","Swedish","Indo-European","Latin",-0.27166649973124,2.94431940749239e-140,6.18307075573402e-139
"27","Kirghiz","Turkic","Cyrillic",-0.177586046784254,4.16647856685263e-138,8.33295713370526e-137
"28","Latvian","Indo-European","Latin",-0.217006556505325,8.68561912967826e-137,1.65026763463887e-135
"29","Chuvash","Turkic","Cyrillic",-0.233412476703962,3.97607704100309e-118,7.15693867380556e-117
"30","Maltese","Afro-Asiatic","Latin",-0.191488268942403,2.93676023479008e-117,4.99249239914314e-116
"31","Romanian","Indo-European","Latin",-0.21439219346392,8.9795043307605e-114,1.43672069292168e-112
"32","Interlingua","","Latin",-0.217662411370143,4.36568646796015e-102,6.54852970194023e-101
"33","Breton","Indo-European","Latin",-0.229530899699677,6.55628827440654e-95,9.17880358416915e-94
"34","Modern Greek","Indo-European","Greek",-0.19983782132456,8.57529033114807e-94,1.11478774304925e-92
"35","Indonesian","Austronesian","Latin",-0.190711486970353,4.99530884093069e-61,5.99437060911683e-60
"36","Hakha Chin","Sino-Tibetan","Latin",-0.231212748820913,4.74008907832768e-55,5.21409798616045e-54
"37","Georgian","Kartvelian","Georgian",-0.13153485403828,1.37945247101264e-50,1.37945247101264e-49
"38","Irish","Indo-European","Latin",-0.219264750404553,7.42495489172711e-50,6.6824594025544e-49
"39","Tamil","Dravidian","Tamil",-0.266610395447597,2.09839460288838e-45,1.6787156823107e-44
"40","Oriya","Indo-European","Odia",-0.298557295794242,8.41240738337765e-32,5.88868516836435e-31
"41","Arabic","Afro-Asiatic","Arabic",-0.0964588285695198,7.68400125164159e-31,4.61040075098495e-30
"42","Assamese","Indo-European","Assamese",-0.180809176745719,7.08181296016838e-15,3.54090648008419e-14
"43","Abkhazian","Northwest Caucasian","Cyrillic",-0.215168212597831,0.000525742929797204,0.00210297171918882
"44","Panjabi","Indo-European","Arabic",-0.159727457139989,0.0282439733979778,0.0847319201939334
"45","Dhivehi","Indo-European","Thaana",-0.0910581448076525,0.0665634141439408,0.133126828287882
"46","Vietnamese","Austroasiatic","Latin",0.0240339781657975,0.775350455015912,0.775350455015912
