"","language","family","script","corr","pvalue","hb_pvalue"
"1","Kinyarwanda","Niger-Congo","Latin",-0.241404198378508,0,0
"2","Mongolian","Mongolic","Mongolian",-0.309675960116528,0,0
"3","Estonian","Uralic","Latin",-0.276066619939709,0,0
"4","Basque","Language isolate","Latin",-0.268235185314421,0,0
"5","Catalan","Indo-European","Latin",-0.283798481640435,0,0
"6","Spanish","Indo-European","Latin",-0.155783525708606,0,0
"7","Dutch","Indo-European","Latin",-0.366150905892386,0,0
"8","Italian","Indo-European","Latin",-0.237776751192689,0,0
"9","German","Indo-European","Latin",-0.260457311829723,0,0
"10","Tatar","Turkic","Cyrillic",-0.321486184875835,0,0
"11","French","Indo-European","Latin",-0.259993276460162,0,0
"12","Persian","Indo-European","Arabic",-0.340097581120421,0,0
"13","English","Indo-European","Latin",-0.198440584346135,0,0
"14","Esperanto","","Latin",-0.233429716402642,0,0
"15","Polish","Indo-European","Latin",-0.228988379010125,2.52299208726602e-299,8.07357467925128e-298
"16","Western Frisian","Indo-European","Latin",-0.385238109230007,2.69779094705096e-296,8.36315193585796e-295
"17","Czech","Indo-European","Latin",-0.272224528405202,1.12465661489413e-270,3.37396984468239e-269
"18","Russian","Indo-European","Cyrillic",-0.182712693893814,5.59911893326551e-238,1.623744490647e-236
"19","Romansh","Indo-European","Latin",-0.323383189966911,1.14378310060335e-237,3.20259268168939e-236
"20","Portuguese","Indo-European","Latin",-0.280816112585853,2.39755066804997e-235,6.47338680373491e-234
"21","Yakut","Turkic","Cyrillic",-0.305680029256792,8.26819049145353e-174,2.14972952777792e-172
"22","Ukrainian","Indo-European","Cyrillic",-0.22857280729822,2.5539757782663e-170,6.38493944566576e-169
"23","Welsh","Indo-European","Latin",-0.25173768613779,7.58128093030337e-166,1.81950742327281e-164
"24","Turkish","Turkic","Latin",-0.271202100115974,4.31706649169374e-151,9.9292529308956e-150
"25","Slovenian","Indo-European","Latin",-0.321639166437178,1.3026069739916e-144,2.86573534278151e-143
"26","Swedish","Indo-European","Latin",-0.365940472792435,1.6793808251176e-141,3.52669973274696e-140
"27","Latvian","Indo-European","Latin",-0.277436667571271,5.30736527839914e-138,1.06147305567983e-136
"28","Kirghiz","Turkic","Cyrillic",-0.240215222652688,5.73859540643418e-138,1.09033312722249e-136
"29","Chuvash","Turkic","Cyrillic",-0.304940645778417,2.20217493783133e-120,3.96391488809639e-119
"30","Maltese","Afro-Asiatic","Latin",-0.251089141134875,1.13182510982892e-117,1.92410268670916e-116
"31","Romanian","Indo-European","Latin",-0.277788079923361,6.71818063563784e-115,1.07490890170205e-113
"32","Interlingua","","Latin",-0.281273748689593,8.88778554079391e-102,1.33316783111909e-100
"33","Breton","Indo-European","Latin",-0.303092431352456,8.04362237626814e-93,1.12610713267754e-91
"34","Modern Greek","Indo-European","Greek",-0.261208883487777,6.36959430729318e-92,8.28047259948114e-91
"35","Indonesian","Austronesian","Latin",-0.25752579744525,3.55573634655487e-59,4.26688361586585e-58
"36","Hakha Chin","Sino-Tibetan","Latin",-0.304823640437538,1.57859535372156e-55,1.73645488909372e-54
"37","Georgian","Kartvelian","Georgian",-0.166690841610886,6.66284189452895e-51,6.66284189452895e-50
"38","Irish","Indo-European","Latin",-0.301857710123067,3.42265524880407e-50,3.08038972392367e-49
"39","Tamil","Dravidian","Tamil",-0.350825103410181,1.06431976962561e-45,8.51455815700491e-45
"40","Oriya","Indo-European","Odia",-0.37643337974902,1.11512013892179e-32,7.80584097245256e-32
"41","Arabic","Afro-Asiatic","Arabic",-0.129860422341615,7.35580255235281e-30,4.41348153141169e-29
"42","Assamese","Indo-European","Assamese",-0.229404285169142,4.40883778383384e-15,2.20441889191692e-14
"43","Abkhazian","Northwest Caucasian","Cyrillic",-0.270038439267578,0.000416001040474375,0.0016640041618975
"44","Panjabi","Indo-European","Arabic",-0.201746002585549,0.0249654934972116,0.0748964804916348
"45","Dhivehi","Indo-European","Thaana",-0.1239245400768,0.062233945591191,0.124467891182382
"46","Vietnamese","Austroasiatic","Latin",0.033072045184971,0.785481025708643,0.785481025708643
