"","language","family","script","corr","pvalue","hb_pvalue"
"1","Korean","Koreanic","Hangul",-0.170240056149726,3.45419904573382e-52,7.59923790061441e-51
"2","Czech","Indo-European","Latin",-0.148105297484527,1.13997217658669e-37,2.39394157083206e-36
"3","Russian","Indo-European","Cyrillic",-0.126668573972318,2.75323389895439e-27,5.50646779790878e-26
"4","Polish","Indo-European","Latin",-0.125171606611944,2.76476108297105e-27,5.253046057645e-26
"5","Finnish","Uralic","Latin",-0.119852930298056,2.3314927465142e-24,4.19668694372555e-23
"6","Turkish","Turkic","Latin",-0.121575789326892,4.33469340794285e-24,7.36897879350285e-23
"7","Arabic","Indo-European","Arabic",-0.123293656770973,4.49466239658133e-24,7.19145983453013e-23
"8","Italian","Indo-European","Latin",-0.129647433557349,5.3074383737245e-24,7.96115756058674e-23
"9","Thai","Tai-Kadai","Thai",-0.157753597101543,8.29398588704029e-23,1.16115802418564e-21
"10","German","Indo-European","Latin",-0.121882210142719,2.64028096860096e-22,3.43236525918125e-21
"11","Swedish","Indo-European","Latin",-0.124706554594698,5.50156331160848e-22,6.60187597393018e-21
"12","French","Indo-European","Latin",-0.121712128647614,3.29006241829033e-20,3.61906866011936e-19
"13","Hindi","Indo-European","Devanagari",-0.127852484835343,1.35758775591375e-19,1.35758775591375e-18
"14","Portuguese","Indo-European","Latin",-0.117885049638667,2.50448298418801e-19,2.25403468576921e-18
"15","Spanish","Indo-European","Latin",-0.113871485754391,2.11676171901198e-18,1.69340937520959e-17
"16","Icelandic","Indo-European","Latin",-0.109465357696478,3.17379771526444e-18,2.22165840068511e-17
"17","English","Indo-European","Latin",-0.118635921741935,1.07641638280801e-17,6.45849829684808e-17
"18","Japanese-strokes","Japonic","Kanji-Kana",-0.112963812758294,1.48827686849899e-15,7.44138434249493e-15
"19","Indonesian","Indo-European","Latin",-0.114781312561036,2.97147053517608e-15,1.18858821407043e-14
"20","Chinese","Sino-Tibetan","Chinese",-0.110148261053648,3.34669215741823e-15,1.00400764722547e-14
"21","Japanese","Japonic","Kanji-Kana",-0.0800115409557815,1.15415535681137e-08,2.30831071362273e-08
"22","Chinese-strokes","Sino-Tibetan","Chinese",-0.0313694884946224,0.0134935674399534,0.0134935674399534
