"","language","corr","pvalue","hb_pvalue"
"1","Icelandic",-0.263081131005378,2.33217766677682e-138,5.59722640026436e-137
"2","Korean",-0.243813436006336,3.85880977309951e-136,8.87526247812886e-135
"3","Turkish",-0.238615595913094,3.84239724966938e-124,8.45327394927265e-123
"4","Finnish",-0.233663420606477,8.18657201870901e-124,1.71918012392889e-122
"5","Czech",-0.224426295737173,5.98657973257209e-115,1.19731594651442e-113
"6","German",-0.229159685305587,1.13418684927543e-108,2.15495501362331e-107
"7","Swedish",-0.232284682303946,2.21533715678977e-102,3.98760688222158e-101
"8","Russian",-0.194955929559783,3.27664145746515e-89,5.57029047769075e-88
"9","Polish",-0.18773616982877,3.40271482453467e-83,5.44434371925547e-82
"10","Chinese",-0.239638558813247,5.90628796243604e-81,8.85943194365406e-80
"11","Thai",-0.229132297331906,3.60015129327386e-69,5.0402118105834e-68
"12","English",-0.198374026072136,3.75490739576973e-68,4.88137961450065e-67
"13","Japanese",-0.211728124824806,3.42658189463375e-67,4.1118982735605e-66
"14","Portuguese",-0.182224310259832,1.49292923658824e-64,1.64222216024706e-63
"15","Chinese-strokes",-0.18454455861895,4.04033736684287e-64,4.04033736684287e-63
"16","Italian",-0.177633714801685,4.44152931388555e-61,3.997376382497e-60
"17","Hindi",-0.186446802040289,1.74984559471895e-57,1.39987647577516e-56
"18","Chinese-pinyin",-0.175611003673819,4.53997584636221e-53,3.17798309245355e-52
"19","Spanish",-0.161379808299184,6.83307431492036e-52,4.09984458895222e-51
"20","French",-0.167957093041524,3.12582435772618e-51,1.56291217886309e-50
"21","Japanese-romaji",-0.157251419760808,1.1458987342444e-41,4.58359493697759e-41
"22","Arabic",-0.127865690496751,8.24025875622414e-36,2.47207762686724e-35
"23","Indonesian",-0.109910292030707,9.44660155468019e-21,1.88932031093604e-20
"24","Japanese-strokes",-0.091057006010317,1.38495293528439e-16,1.38495293528439e-16
