"","language","corr","pvalue","hb_pvalue"
"9","Icelandic",-0.317513806691155,9.85979133435858e-142,2.36634992024606e-140
"14","Korean",-0.274635664315405,3.05048789639897e-139,7.01612216171763e-138
"21","Turkish",-0.288171988324784,1.84109214317342e-126,4.05040271498153e-125
"5","Finnish",-0.280864456152748,2.96360552908489e-126,6.22357161107826e-125
"25","Czech",-0.267249409958574,2.95088573786004e-116,5.90177147572009e-115
"3","German",-0.278350277805053,1.5664029030002e-109,2.97616551570039e-108
"19","Swedish",-0.282018874392917,1.25808688122869e-103,2.26455638621164e-102
"17","Russian",-0.23483775961237,5.10271640890282e-90,8.67461789513479e-89
"15","Polish",-0.225487235404832,7.79085748296887e-84,1.24653719727502e-82
"22","Chinese",-0.266906428619645,3.9693628291186e-82,5.9540442436779e-81
"20","Thai",-0.289034317691018,1.66375307982643e-70,2.329254311757e-69
"4","English",-0.243204687510628,1.5136475154707e-68,1.96774177011191e-67
"11","Japanese",-0.246557710006273,2.05827387894374e-68,2.46992865473248e-67
"16","Portuguese",-0.222619070748298,8.21151121203119e-65,9.0326623332343e-64
"24","Chinese-strokes",-0.237032151180985,9.91746166106917e-65,9.91746166106917e-64
"10","Italian",-0.217272467036591,3.48041586610414e-61,3.13237427949373e-60
"7","Hindi",-0.229852371550646,6.90979226208417e-58,5.52783380966734e-57
"23","Chinese-pinyin",-0.213952511266136,7.45547800927336e-53,5.21883460649135e-52
"18","Spanish",-0.197738627664891,4.36112567299413e-52,2.61667540379648e-51
"6","French",-0.206119568773307,1.9565050322003e-51,9.78252516100148e-51
"12","Japanese-romaji",-0.187404986469804,7.13362985515317e-40,2.85345194206127e-39
"2","Arabic",-0.152493968646068,6.52850066633034e-36,1.9585501998991e-35
"8","Indonesian",-0.136654961078002,1.64902487423989e-20,3.29804974847979e-20
"13","Japanese-strokes",-0.116852952693526,1.60141758153916e-16,1.60141758153916e-16
