"","language","corr","corr_min","pvalue"
"7","Icelandic",-0.263081131005378,-0.66157251507748,3.49826650016522e-137
"14","Turkish",-0.237691151404319,-0.664931621705822,2.71065481943018e-124
"4","Finnish",-0.233663420606477,-0.595918023414209,1.06425436243217e-122
"2","Czech",-0.224426295737173,-0.667213231867714,7.18389567908651e-114
"21","German",-0.229112631712732,-0.680923824062264,7.21583782221802e-109
"13","Swedish",-0.232284682303946,-0.682222738215909,2.21533715678977e-101
"10","Polish",-0.185767861380303,-0.64426172124936,6.28521383776954e-81
"11","Portuguese",-0.201276091354586,-0.744306596515898,6.12961306012813e-67
"3","English",-0.196378503010885,-0.758974910672499,1.46719274554643e-66
"8","Italian",-0.163983107272194,-0.745306186765777,3.06646984498924e-54
"15","Chinese-pinyin",-0.175611003673819,-0.766232129265029,2.26998792318111e-52
"12","Spanish",-0.161379808299184,-0.73929357672891,2.73322972596814e-51
"5","French",-0.160477515719468,-0.747830171698883,1.46339410641474e-49
"9","Japanese-romaji",-0.153738076558639,-0.797308072952686,1.43308799464958e-39
"6","Indonesian",-0.112773466948233,-0.802442190648694,3.18576311484918e-21
