"","language","Lmin","L","Lrand","eta","psi","omega"
"1","Abkhazian",5.58974358974359,6.41938525641026,6.42016806722689,0.871260766038748,0.000942663466528693,0.00146901054746359
"2","Arabic",3.25699945444626,5.05850889689034,5.05846490542442,0.644048956817647,-2.44198221519015e-05,0.000147551954409537
"3","Assamese",4.10148924434639,5.36297909542195,5.36251287332647,0.765007519346824,-0.000369717176403862,-1.3774220094262e-05
"4","Breton",2.89701074875121,6.31291724507676,6.31385998107852,0.45931450638212,0.00027590798939754,-8.64582764427279e-05
"5","Catalan",2.98830977783417,8.57927138242114,8.5757786429366,0.348594800439344,-0.000625102272400158,-4.26640357558664e-05
"6","Czech",3.80578254800721,7.17276873941266,7.16812733599691,0.530798394168633,-0.00138040674244294,-8.57286606476521e-05
"7","Chuvash",4.79246116469116,7.34945658543768,7.35073068893528,0.6521991743622,0.000498033332894726,0.000125713272419975
"8","Hakha Chin",2.55816831683168,5.29324182605761,5.2921168467387,0.484573191178129,-0.000411485185841772,-6.27602740465682e-05
"9","Welsh",2.79373671521308,7.05128420558133,7.05061473570852,0.39659266314923,-0.000157267807436571,-3.99384484252956e-06
"10","German",2.99674889760588,10.3036048251475,10.3030396938748,0.291053604032243,-7.73485874604849e-05,-1.25812771675351e-06
"11","Dhivehi",1.97429906542056,7.62611627725857,7.61261261261261,0.267147263623077,-0.00239498292050096,7.00051229508198e-05
"12","Modern Greek",3.61222280887012,7.63972327877508,7.6389127816962,0.473233341551419,-0.000201281222133035,-2.55674176732033e-05
"13","English",2.39012747650684,7.79292810264172,7.79128786346324,0.306958008433941,-0.00030368273870172,9.83212324032964e-06
"14","Esperanto",3.23415489057527,7.72668959609709,7.7299254295904,0.418880566706736,0.000719750588966137,1.97546166786119e-05
"15","Estonian",4.68035113411052,8.84805228920024,8.84939528075006,0.529191316615789,0.000322134163751366,5.41151334816566e-05
"16","Basque",4.44446384949058,8.89182229850831,8.89356715694197,0.499961946248483,0.000392182045029749,7.98333261252125e-05
"17","Persian",2.68989983807597,5.49349508964769,5.49279451010294,0.489877361566391,-0.000249948580567431,0.00010202244693481
"18","French",2.66726390784503,8.1255479392498,8.12708823474348,0.328481371235952,0.000282114478683891,2.35115641145293e-05
"19","Western Frisian",3.44034689962424,7.99311511898911,7.98986043182632,0.431019273883384,-0.000715392346842186,1.97616790970707e-05
"20","Irish",3.00531137963086,6.57971064046386,6.5766326077299,0.457723071262052,-0.000861875070140723,-0.000171562571605474
"21","Interlingua",3.35952661945974,7.4277115263572,7.42684354272337,0.452832912872643,-0.000213404475285298,-0.000107012265281173
