"","language","Lmin","L","Lrand","eta","psi","omega"
"L","Kinyarwanda",0.267068152395994,0.721076115787969,0.720604235634902,0.370492103141862,-0.00104044677040351,-2.70199471735422e-05
"L1","Abkhazian",0.689206349206349,0.816960264550264,0.816633333333333,0.844491601449202,-0.00256563567890293,0.00388851465139778
"L2","Mongolian",0.291175500438857,0.48208420736714,0.482137563998922,0.604097527131758,0.000279409589464737,-8.30658370283918e-05
"L3","Oriya",0.360705028512183,0.502058219284603,0.502263843648208,0.71878327910687,0.00145257194620774,0.00174670859762273
"L4","Latvian",0.329393405362672,0.593480802424402,0.593210985626283,0.555257259972775,-0.0010227400230459,0.000110135175053727
"L5","Estonian",0.318924613584083,0.577741120222769,0.578026547204248,0.552217216087153,0.00110160112466301,-7.3588947186299e-05
"L6","Basque",0.32505295661773,0.625277243365755,0.625078206256501,0.519979475487029,-0.000663401195379198,6.90428397579542e-05
"L7","Catalan",0.237662250425405,0.676298096769288,0.676455316677818,0.351658340202583,0.000358300804232696,-0.000109236697048779
"L8","Portuguese",0.269942974220619,0.616108289057151,0.615583952793317,0.438427236394179,-0.00151699681559446,1.26150621459385e-05
"L9","Breton",0.218833164471462,0.515592710622711,0.515079824155484,0.424877607412712,-0.00173128185740251,-0.000295907540528127
"L10","Panjabi",0.6605,0.743402863636364,0.744526315789474,0.889205371503351,0.0133702417219494,0.00785337915234822
"L11","Interlingua",0.325696989945272,0.689608276855034,0.689788364553314,0.47275830402215,0.000494622259245524,7.52456636054729e-05
"L12","Spanish",0.206093471848717,0.621105430299526,0.620664731475726,0.332136329637695,-0.00106302309570642,-0.00010814966861302
"L13","Dutch",0.223802805054332,0.558961702596949,0.557544534033377,0.400970625367801,-0.00424630317553525,9.04468501799162e-05
"L14","Romanian",0.266854659874138,0.571895720407552,0.571083113661033,0.466952014114884,-0.00267104124023918,-0.000426499707513033
"L15","Polish",0.298514589171156,0.569498269891691,0.569738419081411,0.524336203091474,0.000885428060651426,0.000173309571489696
"L16","Italian",0.260625907576138,0.650459735652298,0.650176279740447,0.400863059652521,-0.000727648930935912,-9.6891427359625e-05
