"","language","eta","psi","omega","t"
"1","Arabic",0.996885706885707,0.87537670291681,0.859523809523809,8
"2","Arabic",0.993932544995,0.802634865265744,0.803863447341708,16
"3","Arabic",0.987034698520153,0.77527959881247,0.800911208933735,32
"4","Arabic",0.980135749364657,0.810899822570727,0.827761121956532,64
"5","Arabic",0.975004488117189,0.839681264667821,0.819584598104828,128
"6","Arabic",0.966008278189055,0.832755030146682,0.752941705591699,256
"7","Arabic",0.953199746153878,0.815369428394971,0.662858759647591,512
"8","Arabic",0.935454611317354,0.788313034447139,0.540403217023017,1024
"9","Arabic",0.912093050786931,0.753912763395933,0.399124386915258,2048
"10","Arabic",0.887988896995824,0.72378093239773,0.301406598688485,4096
"11","Arabic",0.857200036390038,0.688307852792424,0.224991977179997,8192
"12","Arabic",0.822231118305335,0.652734141141712,0.178534159275371,16384
"13","Arabic",NA,NA,NA,32768
"14","Arabic",NA,NA,NA,65536
"15","Arabic",NA,NA,NA,131072
"16","Arabic",NA,NA,NA,262144
"17","Arabic",NA,NA,NA,524288
"18","Arabic",NA,NA,NA,1048576
"19","Arabic",NA,NA,NA,2097152
"20","Arabic",NA,NA,NA,4194304
"21","Arabic",NA,NA,NA,8388608
"22","Czech",0.999375,0.833333333333333,0.8,8
"23","Czech",0.998152544298571,0.866950682884492,0.863205759757484,16
"24","Czech",0.994789499753918,0.84031063676533,0.844199917120657,32
"25","Czech",0.990983158868739,0.85323996012442,0.852820487156704,64
"26","Czech",0.985360082517165,0.857529281643781,0.847162835412261,128
"27","Czech",0.976445251767469,0.839584784368999,0.784088479677455,256
"28","Czech",0.966548396245904,0.830906164067938,0.733573287574488,512
"29","Czech",0.954669934748052,0.816862036892459,0.658233010392464,1024
"30","Czech",0.939228867199578,0.796724968970228,0.576954172231439,2048
"31","Czech",0.917362772310099,0.767866461641837,0.481645179250028,4096
"32","Czech",0.893608003300966,0.743064731601807,0.4098832487913,8192
"33","Czech",NA,NA,NA,16384
"34","Czech",NA,NA,NA,32768
