"","language","corr","pvalue","hb_pvalue"
"1","Tatar",-0.165997587453084,6.81408062820521e-138,3.13447708897439e-136
"2","Kinyarwanda",-0.0581231148713601,6.73541880867253e-102,3.03093846390264e-100
"3","German",-0.0537046195980055,9.45910720569026e-97,4.16200717050371e-95
"4","Ukrainian",-0.164228029871822,6.74823435012774e-88,2.90174077055493e-86
"5","Italian",-0.0840802899904147,6.84120788823201e-88,2.90174077055493e-86
"6","Polish",-0.121020573560624,1.13623093456825e-83,4.65854683172984e-82
"7","Basque",-0.1192890837273,3.40578796769992e-80,1.36231518707997e-78
"8","Russian",-0.102992965905837,2.62936482930212e-76,1.02545228342783e-74
"9","Mongolian",-0.149088190619703,7.87016137679019e-75,2.99066132318027e-73
"10","Czech",-0.141706682379335,5.44229732974144e-73,2.01365001200433e-71
"11","French",-0.0442344473925721,1.36371824977519e-71,4.90938569919068e-70
"12","Catalan",-0.0626339876260068,5.53314067435615e-70,1.93659923602465e-68
"13","Romansh",-0.170905808528634,1.96838212464129e-65,6.6924992237804e-64
"14","English",-0.0401936351591388,2.84577737278788e-63,9.39106533020001e-62
"15","Latvian",-0.187745891759659,4.76690144395173e-63,1.52540846206455e-61
"16","Portuguese",-0.1452478151697,9.33003996345679e-63,2.8923123886716e-61
"17","Welsh",-0.150931760177082,8.23123260013469e-60,2.46936978004041e-58
"18","Yakut",-0.179472261597343,1.73546420689094e-59,5.03284619998373e-58
"19","Chuvash",-0.213400595516308,1.24104619898802e-58,3.47492935716645e-57
"20","Persian",-0.139198811138492,1.40919725465737e-58,3.8048325875749e-57
"21","Kirghiz",-0.153737900974705,7.78341522595258e-57,2.02368795874767e-55
"22","Estonian",-0.09059649242161,2.98779239140151e-56,7.46948097850377e-55
"23","Turkish",-0.157345547765125,4.7602661294686e-51,1.14246387107246e-49
"24","Esperanto",-0.0873102766075385,1.05746827187658e-48,2.43217702531612e-47
"25","Romanian",-0.172486769674516,1.49385203913252e-44,3.28647448609155e-43
"26","Western Frisian",-0.149983820812037,7.50837146457263e-44,1.57675800756025e-42
"27","Maltese",-0.151616137181411,2.11698090594694e-43,4.23396181189388e-42
"28","Spanish",-0.0492497592242905,3.90968947803589e-42,7.4284100082682e-41
"29","Slovenian",-0.172098752145565,2.26171239916042e-41,4.07108231848876e-40
"30","Breton",-0.196304604753011,4.20310532584135e-39,7.14527905393029e-38
"31","Modern Greek",-0.168774798776381,7.78094411719136e-39,1.24495105875062e-37
"32","Interlingua",-0.170292383437395,1.06894825059668e-37,1.60342237589502e-36
"33","Dutch",-0.11866773260015,4.66500238421779e-35,6.5310033379049e-34
"34","Swedish",-0.177944088767112,2.61422641051082e-33,3.39849433366407e-32
"35","Arabic",-0.136521350298636,8.03982504895009e-33,9.64779005874011e-32
"36","Indonesian",-0.169558886431313,2.57519742481418e-26,2.8327171672956e-25
"37","Georgian",-0.115156206035722,3.63190058245078e-25,3.63190058245078e-24
"38","Irish",-0.190936925566211,1.02958360118241e-20,9.26625241064172e-20
"39","Oriya",-0.293405286950766,4.81560809861013e-20,3.85248647888811e-19
"40","Tamil",-0.209939780407375,5.94649914449707e-17,4.16254940114795e-16
"41","Hakha Chin",-0.137785305778909,1.96621074615201e-12,1.17972644769121e-11
"42","Assamese",-0.184737670135901,2.56066245474403e-10,1.28033122737201e-09
"43","Vietnamese",-0.125149602761448,0.00133380006598338,0.00533520026393351
"44","Abkhazian",-0.199619903902816,0.00716100589691073,0.0214830176907322
"45","Dhivehi",-0.174778102020974,0.0148103051651732,0.0296206103303463
"46","Panjabi",-0.166942566327793,0.0529409353679359,0.0529409353679359
