"","language","Lmin","L","Lrand","eta","psi","omega"
"L","Kinyarwanda",3.68860865443246,9.19641350760243,9.19146813667534,0.401179243531748,-0.000898691115600621,-5.96591315305466e-05
"L1","Abkhazian",5.87830687830688,6.63834920634921,6.64,0.885843982835131,0.00216726868574612,0.00511205673758865
"L2","Mongolian",4.18621705031286,7.3209307454911,7.32228509835624,0.571914561669847,0.000431863353854201,-5.92841308876424e-05
"L3","Oriya",3.78278900984966,5.44379315707621,5.44191096634093,0.695261362249425,-0.00113444989857908,0.00120706949585527
"L4","Latvian",4.00207523552276,7.10116568943936,7.09368583162218,0.563815605316532,-0.00241940489744014,-0.000277682636364267
"L5","Estonian",4.67666976068445,8.8336997215384,8.83998672639788,0.529610117120337,0.00151009517441329,-0.000137163296577277
"L6","Basque",4.44326231887837,8.88892010221909,8.88543083446676,0.499990379152961,-0.000785487479840498,0.000139538837810951
"L7","Catalan",2.98107940917394,8.57114461682571,8.57549897112848,0.348081847203702,0.000778338888341332,-0.000107271071172427
"L8","Portuguese",3.14877542858305,7.49879486988293,7.48969269675837,0.420241025707947,-0.00209683174367093,0.000137821422239258
"L9","Breton",2.87945860286286,6.32973561426753,6.32184173993522,0.45533676878715,-0.0022931422848613,9.58365693891915e-06
"L10","Panjabi",3.6,3.93512727272727,3.93684210526316,0.915236160643267,0.00509090909090897,0.00277342823250297
"L11","Interlingua",3.38971617665776,7.42377275041364,7.41822766570605,0.457091571454038,-0.0013764599462274,-0.000401935406963378
"L12","Spanish",2.6908273063267,7.90980477325907,7.90803655262705,0.340539839549959,-0.000338920780927868,-7.7371092920459e-05
"L13","Dutch",3.24453568936297,8.29610218011664,8.27067316707294,0.39177680407534,-0.0050593548537956,0.000182181545678951
"L14","Romanian",3.60716212166617,7.68227009289781,7.67095673747868,0.469866861910546,-0.00278393877857729,-0.000471186132988885
"L15","Polish",3.81569576218115,7.87061780552137,7.87033313621131,0.485022922233912,-7.02083278468097e-05,7.68955424478054e-05
"L16","Italian",3.13388440125818,8.1554497245891,8.15176640230714,0.384490302718478,-0.000734039238306516,4.18022259510718e-06
"L17","Modern Greek",3.61532985287138,7.62949591309392,7.64244086390127,0.474259716537724,0.0032144509480602,0.00015837068072998
"L18","Welsh",2.76014396769862,6.99012144625419,6.9962569637883,0.395245413926848,0.0014483838225688,-0.000220941830476959
"L19","Czech",3.80118686465485,7.16413462664325,7.15955588822355,0.530795401601517,-0.0013633815663386,0.000134399383741397
"L20","German",2.91423992005845,10.2722305079887,10.2756747050452,0.283908562775091,0.000467870348245354,6.83796194600968e-05
"L21","Vietnamese",2.70307692307692,3.40382461538462,3.40418118466899,0.794295726527443,0.000508582394812736,0.00231225559205381
"L22","Indonesian",3.69115391555395,7.23282298809094,7.23526329578203,0.510672099964812,0.000688553153776845,0.000124091485915081
"L23","Kirghiz",4.5072184025396,7.81399063601704,7.80937410688768,0.576931025189698,-0.00139803496342606,-0.000117890625549624
"L24","Tatar",4.04564204100153,7.47250259181344,7.47133957782459,0.541478276050785,-0.000339496986046614,0.000181663503360892
"L25","French",2.54551891303684,8.12235712177007,8.11479660808652,0.313624106517086,-0.00135753936103352,1.45655661195909e-05
"L26","Hakha Chin",2.5616646074357,5.29264674828709,5.29463220675944,0.485292842487908,0.000726484453324825,-0.00103838350134561
"L27","Chuvash",4.99987707437001,7.52532575291948,7.5277628032345,0.664492916019671,0.000964066645572739,0.000503985243690166
"L28","Swedish",3.091558421036,6.90417483644638,6.88863942523574,0.448484799100968,-0.00409140895162807,0.000305251213184817
"L29","Slovenian",3.6447238845542,6.43609325051133,6.42876209542876,0.566683472686796,-0.00263328105696482,6.89680459865721e-05
"L30","Russian",4.04799133350658,9.00044930351826,8.99927947119451,0.449920663178397,-0.000236268278317678,-0.000194155719129471
"L31","Tamil",4.60435356200528,7.02226583113456,7.02491803278689,0.655991346077136,0.00109569552240215,7.94275666104863e-05
"L32","Georgian",6.00503843420968,8.23213513338932,8.23763373190686,0.729594540565647,0.00246287292784989,0.000214934559880753
"L33","Western Frisian",3.43486939027674,7.96329483422307,7.98586530466801,0.431902986055774,0.00495945741756564,0.00022081930518938
"L34","Maltese",3.71426635345139,7.33615359595229,7.34045164457536,0.506570644495708,0.00118528102620181,-0.000228429012295494
