"","language","Lmin","L","Lrand","corr","corr_min","eta","psi","omega","family","script"
"1","Arabic",3.39233556604809,4.1554298890963,5.55621212121212,-0.122963457654646,-0.189949399028922,0.816362122953744,0.64734849535335,0.647348495353351,"Afro-Asiatic","Arabic"
"2","Indonesian",4.13312325346334,5.98275759557643,7.33681462140992,-0.114781312561036,-0.271571945078912,0.690839163619017,0.422655265541818,0.422655265541819,"Austronesian","Latin"
"3","Russian",5.09218651543793,6.02085696282294,7.98967110627888,-0.121461398200782,-0.178753556214809,0.84575776287009,0.679490807191671,0.679490807191668,"Indo-European","Cyrillic"
"4","Hindi",3.12023225075529,4.10942220543807,5.83191056910569,-0.127718852873534,-0.201065186556219,0.759287338893101,0.63521117236187,0.63521117236187,"Indo-European","Devanagari"
"5","Czech",4.7212101910828,5.46452229299363,7.25448369565217,-0.148105297484527,-0.20960855661282,0.863974916368468,0.706580398614644,0.706580398614646,"Indo-European","Latin"
"6","English",3.7854976564654,4.87438654535429,6.99114521841795,-0.118635921741935,-0.179663821923355,0.776610065952464,0.660321707909259,0.660321707909262,"Indo-European","Latin"
"7","French",3.69232593435781,4.80848036425726,7.47094582513857,-0.121712128647614,-0.172736088792268,0.767877927048194,0.704613202131632,0.704613202131632,"Indo-European","Latin"
"8","German",4.52905779030684,5.74509378727095,8.54722445695897,-0.121882210142719,-0.174775230631158,0.788334874591881,0.697365465933425,0.697365465933422,"Indo-European","Latin"
"9","Icelandic",4.43613060726274,5.32615196826366,7.87854251012146,-0.109465357696478,-0.147636047111648,0.832895988266166,0.741454135612939,0.74145413561294,"Indo-European","Latin"
"10","Italian",3.80476736190694,4.84959889983956,7.63324360699865,-0.129647433557349,-0.178310155148348,0.784552999224909,0.727089455165841,0.727089455165841,"Indo-European","Latin"
"11","Polish",5.16099051085402,6.06772390484856,7.97025515077091,-0.125171606611944,-0.184827539169295,0.85056449366953,0.677234611111124,0.677234611111127,"Indo-European","Latin"
"12","Portuguese",3.56594888675536,4.52576235541535,7.47780908770694,-0.117885049638667,-0.156213595443568,0.787922256343947,0.754640140660826,0.754640140660823,"Indo-European","Latin"
"13","Spanish",3.73523692074183,4.82768107005644,7.58837814397225,-0.113871485754391,-0.158931930654889,0.773712444243579,0.716479597807546,0.716479597807544,"Indo-European","Latin"
"14","Swedish",4.31117516363418,5.43139374286915,7.96011639849367,-0.124706554594698,-0.179951284220795,0.793751174695132,0.693001748415905,0.693001748415903,"Indo-European","Latin"
"15","Japanese",1.44762905768687,1.73096980232041,2.71104699093157,-0.0803337503323005,-0.103558272750391,0.83631098344193,0.775734745266858,0.775734745266858,"Japonic","Japanese"
"16","Japanese-strokes",5.14589481343736,7.70077212273113,13.9068425391591,-0.112912117523997,-0.159395091072403,0.668231020399593,0.708378888987916,0.708378888987917,"Japonic","Japanese"
"17","Japanese-romaji",2.75329505943236,3.84086682299668,6.092390183543,-0.128296387743138,-0.190268442362585,0.716842105263158,0.674291470251541,0.67429147025154,"Japonic","Latin"
"18","Korean",2.42189982728843,2.75205526770294,3.24355621964886,-0.161803496673837,-0.270491596856469,0.880033135857014,0.598183080562367,0.598183080562369,"Koreanic","Hangul"
"19","Thai",3.16333980223639,4.37177710008317,6.35254059717129,-0.156226284421336,-0.251537849520499,0.723582133722282,0.621084599073842,0.621084599073843,"Kra-Dai","Thai"
"20","Chinese",1.4685346035304,1.66674138414122,2.18329979879276,-0.11035519796334,-0.15269919603128,0.881081262818142,0.72269665349603,0.72269665349603,"Sino-Tibetan","Han (Traditional variant)"
"21","Chinese-strokes",10.473858223592,14.9963014850098,21.5893360160966,-0.10834873754454,-0.182669752500707,0.698429425019338,0.593140002990482,0.593140002990482,"Sino-Tibetan","Han (Traditional variant)"
"22","Chinese-pinyin",3.87649201456991,4.93454749229476,6.58289738430584,-0.117130878479162,-0.192315745591568,0.785582066161691,0.609055062646402,0.609055062646401,"Sino-Tibetan","Latin"
"23","Turkish",5.34920522282146,6.4293925631564,7.91550125128809,-0.121575789326892,-0.209943907736343,0.831992318135161,0.579087007752431,0.579087007752433,"Turkic","Latin"
"24","Finnish",6.54858787831635,7.50820820042014,9.27162238552855,-0.119852930298056,-0.185074877897753,0.872190501849683,0.647591567583096,0.647591567583098,"Uralic","Latin"
