"","language","Lmin","L","Lrand","corr","corr_min","eta","psi","omega","family","script"
"1","Arabic",3.39240019768272,4.15540058206578,5.55676822798242,-0.152962565239906,-0.810739126233413,0.816383434204614,0.647471976252849,0.188670511007098,"Afro-Asiatic","Arabic"
"2","Indonesian",4.13312325346334,5.98275759557643,7.33681462140992,-0.129650172649544,-0.875474287525876,0.690839163619017,0.422655265541818,0.148091354020163,"Austronesian","Latin"
"3","Russian",5.18662061908416,6.04054745459197,8.07532140860816,-0.233613845764596,-0.732930261333493,0.858634197988354,0.704390694043285,0.318739528286851,"Indo-European","Cyrillic"
"4","Hindi",3.12086405747778,4.10772357723577,5.8330608908868,-0.22122303877668,-0.861467195993126,0.759755129282073,0.636140154873058,0.256797983493321,"Indo-European","Devanagari"
"5","Czech",4.7212101910828,5.46452229299363,7.25448369565217,-0.26251864861154,-0.743557160852433,0.863974916368468,0.706580398614644,0.353057790890726,"Indo-European","Latin"
"6","English",3.7854976564654,4.87438654535429,6.99114521841795,-0.237558383782781,-0.844913209052778,0.776610065952464,0.660321707909259,0.281163060581222,"Indo-European","Latin"
"7","French",3.69232593435781,4.80848036425726,7.47094582513857,-0.196406513911755,-0.834095596045506,0.767877927048194,0.704613202131632,0.235472426473571,"Indo-European","Latin"
"8","German",4.52905779030684,5.74509378727095,8.54722445695897,-0.275992775961703,-0.774282526001973,0.788334874591881,0.697365465933425,0.356449702393257,"Indo-European","Latin"
"9","Icelandic",4.43613060726274,5.32615196826366,7.87854251012146,-0.309446785578241,-0.748734547760348,0.832895988266166,0.741454135612939,0.413293050926892,"Indo-European","Latin"
"10","Italian",3.80476736190694,4.84959889983956,7.63324360699865,-0.198226585397914,-0.830955885976968,0.784552999224909,0.727089455165841,0.238552477626241,"Indo-European","Latin"
"11","Polish",5.16099051085402,6.06772390484856,7.97025515077091,-0.220362976018205,-0.732041245551997,0.85056449366953,0.677234611111124,0.301025355274947,"Indo-European","Latin"
"12","Portuguese",3.56594888675536,4.52576235541535,7.47780908770694,-0.221542752112155,-0.827023314796814,0.787922256343947,0.754640140660826,0.267879693532684,"Indo-European","Latin"
"13","Spanish",3.73523692074183,4.82768107005644,7.58837814397225,-0.197080981903716,-0.82557533181669,0.773712444243579,0.716479597807546,0.238719562356638,"Indo-European","Latin"
"14","Swedish",4.31117516363418,5.43139374286915,7.96011639849367,-0.272972740927803,-0.772444551058268,0.793751174695132,0.693001748415905,0.35338813712107,"Indo-European","Latin"
"15","Japanese",1.44762905768687,1.73096980232041,2.71104699093157,-0.246557710006273,-0.668676532372836,0.83631098344193,0.775734745266858,0.368724933610798,"Japonic","Japanese"
"16","Japanese-strokes",5.17277762056838,7.72915066499576,13.9350783182193,-0.117835692985455,-0.873080102934379,0.669255632963033,0.708253216519639,0.134965500404161,"Japonic","Japanese"
"17","Japanese-romaji",2.75329505943236,3.84086682299668,6.092390183543,-0.19173185897278,-0.872009891400148,0.716842105263158,0.674291470251541,0.219873490958829,"Japonic","Latin"
"18","Korean",2.38498840396374,2.71621336706726,3.1931396390631,-0.269060832671214,-0.712334674757203,0.878056353333851,0.590144828445636,0.377716882535478,"Koreanic","Hangul"
"19","Thai",3.19355734518189,4.37082291955938,6.36594394500264,-0.29081047950979,-0.902134513254479,0.730653564318692,0.628902235798119,0.322358224008836,"Kra-Dai","Thai"
"20","Chinese",1.4685346035304,1.66674138414122,2.18329979879276,-0.266906428619645,-0.592608186820724,0.881081262818142,0.72269665349603,0.450392746093448,"Sino-Tibetan","Han (Simplified variant)"
"21","Chinese-strokes",3.24539086578874,6.83014850098067,7.88571428571429,-0.0628414579896652,-0.865757339474757,0.475156706376555,0.227476770304634,0.0725855330637916,"Sino-Tibetan","Han (Simplified variant)"
"22","Chinese-pinyin",3.87649201456991,4.93454749229476,6.58289738430584,-0.208324822152132,-0.846710971918554,0.785582066161691,0.609055062646402,0.24604006450996,"Sino-Tibetan","Latin"
"23","Turkish",5.34920522282146,6.4293925631564,7.91550125128809,-0.280190393531806,-0.755154816829886,0.831992318135161,0.579087007752431,0.37103702086949,"Turkic","Latin"
"24","Finnish",6.54858787831635,7.50820820042014,9.27162238552855,-0.273630568180367,-0.681004378217152,0.872190501849683,0.647591567583096,0.401804418492467,"Uralic","Latin"
