"","language","eta","psi","omega","t"
"1","Abkhazian",0.996266766008381,0.525913382594417,0.430952380952381,8
"2","Abkhazian",0.990215168146058,0.457978755674305,0.404731908303337,16
"3","Abkhazian",0.978090117010216,0.43701476992135,0.382493581611262,32
"4","Abkhazian",0.96256060037056,0.498930520203943,0.451721931647647,64
"5","Abkhazian",0.946391926023853,0.564866899642595,0.565234386449206,128
"6","Abkhazian",NA,NA,NA,256
"7","Abkhazian",NA,NA,NA,512
"8","Abkhazian",NA,NA,NA,1024
"9","Abkhazian",NA,NA,NA,2048
"10","Abkhazian",NA,NA,NA,4096
"11","Abkhazian",NA,NA,NA,8192
"12","Abkhazian",NA,NA,NA,16384
"13","Abkhazian",NA,NA,NA,32768
"14","Abkhazian",NA,NA,NA,65536
"15","Abkhazian",NA,NA,NA,131072
"16","Abkhazian",NA,NA,NA,262144
"17","Abkhazian",NA,NA,NA,524288
"18","Abkhazian",NA,NA,NA,1048576
"19","Abkhazian",NA,NA,NA,2097152
"20","Abkhazian",NA,NA,NA,4194304
"21","Abkhazian",NA,NA,NA,8388608
"22","Arabic",0.998964285714286,0.853937728937729,0.783730158730159,8
"23","Arabic",0.997659243335616,0.82356957395443,0.821090483590484,16
"24","Arabic",0.993540302704436,0.737742445771156,0.756593148569406,32
"25","Arabic",0.987157818204319,0.709222731906956,0.709594574745116,64
"26","Arabic",0.978463696517933,0.71763927898321,0.672754734834037,128
"27","Arabic",0.966060978151792,0.710939785567487,0.601630312674586,256
"28","Arabic",0.950748924128514,0.692585589553847,0.513306682780565,512
"29","Arabic",0.929164530796268,0.659908254813915,0.391150558767979,1024
"30","Arabic",0.906064280836672,0.629841910733668,0.315409020403439,2048
"31","Arabic",0.878499958310529,0.596803034582554,0.258559528845768,4096
"32","Arabic",0.846024842793298,0.564309789336058,0.208454128693801,8192
"33","Arabic",0.819513899690049,0.546764301983245,0.187616054031598,16384
"34","Arabic",0.796454152579966,0.53234147716948,0.154155173456266,32768
"35","Arabic",NA,NA,NA,65536
"36","Arabic",NA,NA,NA,131072
"37","Arabic",NA,NA,NA,262144
"38","Arabic",NA,NA,NA,524288
"39","Arabic",NA,NA,NA,1048576
"40","Arabic",NA,NA,NA,2097152
"41","Arabic",NA,NA,NA,4194304
"42","Arabic",NA,NA,NA,8388608
"43","Assamese",0.999375,0.883333333333334,0.854166666666667,8
"44","Assamese",0.997497275675752,0.733528269941384,0.713479853479853,16
"45","Assamese",0.993039787656525,0.624064252726818,0.585952209565054,32
"46","Assamese",0.985633159147848,0.596402620115817,0.555813466328651,64
"47","Assamese",0.976453332118947,0.627917718076818,0.58781049578865,128
"48","Assamese",0.96269399213769,0.647196628404369,0.589338987714706,256
"49","Assamese",0.941647222895927,0.631637478014695,0.532821720413432,512
"50","Assamese",0.916571783878884,0.622397794620998,0.475978595740132,1024
"51","Assamese",NA,NA,NA,2048
"52","Assamese",NA,NA,NA,4096
"53","Assamese",NA,NA,NA,8192
"54","Assamese",NA,NA,NA,16384
"55","Assamese",NA,NA,NA,32768
"56","Assamese",NA,NA,NA,65536
"57","Assamese",NA,NA,NA,131072
"58","Assamese",NA,NA,NA,262144
"59","Assamese",NA,NA,NA,524288
"60","Assamese",NA,NA,NA,1048576
"61","Assamese",NA,NA,NA,2097152
"62","Assamese",NA,NA,NA,4194304
"63","Assamese",NA,NA,NA,8388608
"64","Breton",0.994639476465563,0.681231261459356,0.63030303030303,8
"65","Breton",0.992537895146567,0.741442998203959,0.708140257178719,16
"66","Breton",0.985713385409708,0.750466945684299,0.727896028446473,32
"67","Breton",0.979534615306548,0.796664765282813,0.757017647407324,64
"68","Breton",0.966556407316145,0.795632507970088,0.696652734261267,128
"69","Breton",0.949091317514258,0.784933859476796,0.625308121096715,256
"70","Breton",0.927451435421198,0.774161964139848,0.551372033739404,512
"71","Breton",0.904680340413519,0.765281592637279,0.506529308854512,1024
"72","Breton",0.875371113049274,0.74885839075523,0.444135213671888,2048
"73","Breton",0.841720311943586,0.730723157203088,0.402238605784169,4096
"74","Breton",0.807270960701859,0.715361057327457,0.358151319997341,8192
"75","Breton",0.772033535839494,0.702259796469827,0.323746812866785,16384
"76","Breton",0.737210999895393,0.688964098902727,0.276054713901633,32768
"77","Breton",NA,NA,NA,65536
"78","Breton",NA,NA,NA,131072
"79","Breton",NA,NA,NA,262144
"80","Breton",NA,NA,NA,524288
"81","Breton",NA,NA,NA,1048576
"82","Breton",NA,NA,NA,2097152
"83","Breton",NA,NA,NA,4194304
"84","Breton",NA,NA,NA,8388608
"85","Catalan",0.995095868493076,0.761954746320071,0.652380952380952,8
"86","Catalan",0.992566192121938,0.81614897763583,0.759736677856811,16
"87","Catalan",0.986114404863712,0.802771657891999,0.766915890617979,32
"88","Catalan",0.979662769357791,0.837284442316071,0.823313487210093,64
"89","Catalan",0.974047546851982,0.862851610815838,0.833636490707923,128
"90","Catalan",0.966518570372997,0.871157593813674,0.814676483957345,256
"91","Catalan",0.955063005902893,0.864040192768919,0.741605510058713,512
"92","Catalan",0.938014396026856,0.845960623271817,0.644988024118556,1024
"93","Catalan",0.919723167334334,0.830205341856386,0.556305996768898,2048
"94","Catalan",0.89636477805587,0.808410865828931,0.463881354365832,4096
"95","Catalan",0.867588418507992,0.783709235189136,0.383729971140359,8192
"96","Catalan",0.837052953785432,0.76148764341429,0.325437527542552,16384
"97","Catalan",0.801770023493161,0.737924516593662,0.271738268322914,32768
"98","Catalan",0.766416397275131,0.717596517697118,0.238503140039708,65536
"99","Catalan",0.729213611400814,0.698200662239437,0.204513528628287,131072
"100","Catalan",0.695742625094199,0.68315217835174,0.18898213804356,262144
"101","Catalan",0.664341153608537,0.670804963348351,0.171893770996246,524288
"102","Catalan",0.63903817006047,0.663136693406079,0.169462566166572,1048576
"103","Catalan",0.620000928713969,0.659466245909731,0.165373293744252,2097152
"104","Catalan",NA,NA,NA,4194304
"105","Catalan",NA,NA,NA,8388608
"106","Czech",0.998330357585677,0.853113175094599,0.819444444444445,8
"107","Czech",0.996895689697765,0.8772430299621,0.856122566462842,16
"108","Czech",0.989767778354781,0.752306132437279,0.736101905705162,32
"109","Czech",0.984272796365373,0.768974005110194,0.771505392175104,64
"110","Czech",0.97587802477385,0.795408854691787,0.786879072609456,128
"111","Czech",0.965439079569238,0.794304508054335,0.754923492320993,256
"112","Czech",0.953987643943216,0.793019698584168,0.70688442173905,512
"113","Czech",0.940112063422874,0.786151764267736,0.63377964244961,1024
"114","Czech",0.925924569227716,0.782136217843318,0.567474051211123,2048
"115","Czech",0.90476787556459,0.764599741263479,0.47557607055951,4096
"116","Czech",0.882133149630781,0.748897288176276,0.410409041816549,8192
"117","Czech",0.853059343550404,0.726915528432299,0.330839683533961,16384
"118","Czech",0.824127625991008,0.707786541368772,0.271311437763442,32768
"119","Czech",0.799758057810183,0.69466335086737,0.235984011256533,65536
"120","Czech",0.787857288069538,0.693073847036892,0.234791158021285,131072
"121","Czech",NA,NA,NA,262144
"122","Czech",NA,NA,NA,524288
"123","Czech",NA,NA,NA,1048576
"124","Czech",NA,NA,NA,2097152
"125","Czech",NA,NA,NA,4194304
"126","Czech",NA,NA,NA,8388608
"127","Chuvash",0.996107134856309,0.173575135321279,0.288888888888889,8
"128","Chuvash",0.996977886503922,0.464415444903311,0.457832363714717,16
"129","Chuvash",0.993024107906085,0.515175916380838,0.521413330866766,32
"130","Chuvash",0.988697086613543,0.572012801496425,0.583015591796288,64
"131","Chuvash",0.979653207020593,0.584010879596124,0.576479440589841,128
"132","Chuvash",0.964694259993124,0.582717210592084,0.510355402199711,256
"133","Chuvash",0.947974184777353,0.594354593923402,0.48821064133133,512
"134","Chuvash",0.923700236272756,0.579484023924049,0.430497107717977,1024
"135","Chuvash",0.896388711530271,0.565707114414784,0.385007849988497,2048
"136","Chuvash",0.860215562427803,0.546240700302202,0.325174161474625,4096
"137","Chuvash",0.824607442484494,0.534854515635855,0.288770754727277,8192
"138","Chuvash",NA,NA,NA,16384
"139","Chuvash",NA,NA,NA,32768
"140","Chuvash",NA,NA,NA,65536
"141","Chuvash",NA,NA,NA,131072
"142","Chuvash",NA,NA,NA,262144
"143","Chuvash",NA,NA,NA,524288
"144","Chuvash",NA,NA,NA,1048576
"145","Chuvash",NA,NA,NA,2097152
"146","Chuvash",NA,NA,NA,4194304
"147","Chuvash",NA,NA,NA,8388608
"148","Hakha Chin",0.991582048729427,0.71709273161479,0.68,8
"149","Hakha Chin",0.988928692499871,0.818931501815682,0.79733920720445,16
"150","Hakha Chin",0.980829454626631,0.827823310530667,0.773094500473592,32
"151","Hakha Chin",0.971347862010973,0.831377249082644,0.711305999801936,64
"152","Hakha Chin",0.956648787639906,0.814966207434878,0.657820202254336,128
"153","Hakha Chin",0.944328926125054,0.818603654762773,0.626335516706276,256
"154","Hakha Chin",0.925907950832236,0.808455812950376,0.553268575031972,512
"155","Hakha Chin",0.899690347648356,0.785578256556108,0.463822684302447,1024
"156","Hakha Chin",0.868328004920862,0.762576476624732,0.406041718772817,2048
"157","Hakha Chin",0.840589733925978,0.751263379283407,0.386175586409794,4096
"158","Hakha Chin",0.81002739011442,0.739100803724439,0.356648602700159,8192
"159","Hakha Chin",0.780242690691669,0.731897606360575,0.352106329607941,16384
"160","Hakha Chin",NA,NA,NA,32768
"161","Hakha Chin",NA,NA,NA,65536
"162","Hakha Chin",NA,NA,NA,131072
"163","Hakha Chin",NA,NA,NA,262144
"164","Hakha Chin",NA,NA,NA,524288
"165","Hakha Chin",NA,NA,NA,1048576
"166","Hakha Chin",NA,NA,NA,2097152
"167","Hakha Chin",NA,NA,NA,4194304
"168","Hakha Chin",NA,NA,NA,8388608
"169","Welsh",0.995899429229023,0.807884365867559,0.786904761904762,8
"170","Welsh",0.988611655696405,0.718269475383723,0.713643409036962,16
"171","Welsh",0.977451117392116,0.716511920692906,0.705298753000297,32
"172","Welsh",0.969768116462618,0.745287448917856,0.700388799599075,64
"173","Welsh",0.957872512759126,0.754999487531849,0.652964280327122,128
"174","Welsh",0.943620556565463,0.760995145435047,0.605664768859547,256
"175","Welsh",0.922357432066792,0.746295825887371,0.536487856712348,512
"176","Welsh",0.899405161877272,0.735813239512602,0.49362111298672,1024
"177","Welsh",0.869572885359829,0.720200465598017,0.431956324736549,2048
