"","language","eta","psi","omega","t"
"1","Arabic",0.997310622710623,0.902226404916033,0.859523809523809,8
"2","Arabic",0.993872254120807,0.80010687304723,0.804073730885325,16
"3","Arabic",0.986952754602271,0.776207411982628,0.804146383511127,32
"4","Arabic",0.979835033552309,0.809608722195225,0.825878671392391,64
"5","Arabic",0.975192025547755,0.839921332278069,0.824373881635275,128
"6","Arabic",0.96532275373928,0.82912922376427,0.749485063574225,256
"7","Arabic",0.952876339283616,0.8145898993418,0.676415050412828,512
"8","Arabic",0.934484699671129,0.785930983865794,0.547353837712661,1024
"9","Arabic",0.91012191828697,0.749609264089931,0.401505317219145,2048
"10","Arabic",0.886160219871966,0.721232542544471,0.303415665672059,4096
"11","Arabic",0.855285577844064,0.685325921414725,0.223196144732906,8192
"12","Arabic",0.820948254384457,0.651184905015248,0.177274542242114,16384
"13","Arabic",NA,NA,NA,32768
"14","Arabic",NA,NA,NA,65536
"15","Arabic",NA,NA,NA,131072
"16","Arabic",NA,NA,NA,262144
"17","Arabic",NA,NA,NA,524288
"18","Arabic",NA,NA,NA,1048576
"19","Arabic",NA,NA,NA,2097152
"20","Arabic",NA,NA,NA,4194304
"21","Arabic",NA,NA,NA,8388608
"22","Czech",0.999326923076923,0.921515151515152,0.87,8
"23","Czech",0.998616229595683,0.900867056161297,0.900313971742543,16
"24","Czech",0.996488376658608,0.879789985002745,0.888487268641845,32
"25","Czech",0.99200259343239,0.858669315847725,0.865982377513131,64
"26","Czech",0.986200486743672,0.853424735077313,0.84122711330865,128
"27","Czech",0.977177877386232,0.841199450256206,0.790995671068056,256
"28","Czech",0.968075798130287,0.833420693567263,0.733883089253288,512
"29","Czech",0.955830559988247,0.815642068464023,0.656521194016085,1024
"30","Czech",0.940553278249409,0.794174647627863,0.574473259926533,2048
"31","Czech",0.918469808489552,0.764295268317913,0.475733395940685,4096
"32","Czech",0.894817329675405,0.739022111113413,0.407908855713015,8192
"33","Czech",NA,NA,NA,16384
"34","Czech",NA,NA,NA,32768
"35","Czech",NA,NA,NA,65536
"36","Czech",NA,NA,NA,131072
"37","Czech",NA,NA,NA,262144
"38","Czech",NA,NA,NA,524288
"39","Czech",NA,NA,NA,1048576
"40","Czech",NA,NA,NA,2097152
"41","Czech",NA,NA,NA,4194304
"42","Czech",NA,NA,NA,8388608
"43","German",0.996533075378853,0.839662921544334,0.711594202898551,8
"44","German",0.993766165500136,0.794476295753438,0.681559152340159,16
"45","German",0.988959073318116,0.801038308107834,0.722949806816034,32
"46","German",0.982401596861857,0.81335425833113,0.764873754471488,64
