"","language","tau","tau_min","tau_pval","r","r_min","r_pval","Lmin","L","Lrand","eta","psi","omega","length_def"
"1","Abkhazian",-0.33002527183732,-0.517902763818165,3.33026627183835e-06,-0.296691502502653,-0.485581044796293,0.000340796688842418,5.87830687830688,6.17460317460317,6.64,0.952013710368466,0.611003056404557,0.637234042553192,"characters"
"2","Arabic",-0.145375104965556,-0.861452061225974,3.99771163661898e-56,-0.134358466712365,-0.250160460596001,1.22336860440159e-30,3.3475772528717,4.1856091247371,5.15792983860211,0.799782577185099,0.537089140275245,0.16875588498641,"characters"
"3","Assamese",-0.302774723586446,-0.659071883939481,3.65059502786216e-33,-0.262211555498174,-0.419161228582995,2.46687695498039e-18,4.243,4.7135,5.49955156950673,0.900180333085817,0.625562522527667,0.459395600031769,"characters"
"4","Basque",-0.161901739615847,-0.911802963522398,9.31803562143114e-262,-0.111560096800928,-0.200389666696248,1.02327130092527e-68,4.44326231887837,6.41240536476397,8.88543083446676,0.692916630519649,0.556715815940906,0.177562199392731,"characters"
"5","Breton",-0.236463234962865,-0.896895235340157,1.41911302693479e-88,-0.189091782197191,-0.277382121480183,4.45577167515268e-35,2.87945860286286,3.97516431558985,6.32184173993522,0.724362158205678,0.681701405945518,0.263646439010442,"characters"
"6","Catalan",-0.154449489601913,-0.919368373678572,0,-0.0537851557453787,-0.081772842922099,1.31871536680238e-50,2.98107940917394,4.8958332448021,8.57549897112848,0.608901337139893,0.657738606405273,0.167995217177126,"characters"
"7","Chuvash",-0.203283397296347,-0.827658647396232,9.04372261734467e-81,-0.197070326118097,-0.39198006375005,1.26054143350908e-48,4.99987707437001,6.25685310387216,7.5277628032345,0.799104116936316,0.502755992824575,0.245612606037363,"characters"
"8","Czech",-0.220869235441685,-0.919130993958399,3.71910997475975e-295,-0.128536079901095,-0.187203232165681,1.00051515602064e-58,3.80118686465485,4.85365772526478,7.15955588822355,0.783159233678243,0.686612503502803,0.2403022386292,"characters"
"9","Dhivehi",-0.232490968181309,-0.816710623047794,0.000181091389446433,-0.276240385060329,-0.363313250478819,0.000502764856377255,2.16210374639769,3.4978386167147,7.73548387096774,0.618125643666323,0.760336664562235,0.284667496197981,"characters"
"10","Dutch",-0.272891011257965,-0.948752047918333,0,-0.100729132860569,-0.14405923471599,1.19766688520785e-24,3.24453568936297,4.75629610706809,8.27067316707294,0.682155949992566,0.699220241306668,0.287631538563441,"characters"
"11","English",-0.0737981912938189,-0.828102800814627,0,-0.0342258513487866,-0.0583506717579975,5.15574871502451e-45,2.36391767365301,4.60779670914356,7.79118497942624,0.513025600491907,0.586554538578995,0.0891171859595471,"characters"
"12","Esperanto",-0.172639619849971,-0.919506269827415,0,-0.0816296544453627,-0.126821921233181,1.97557724420807e-41,3.2292556395599,4.83032269961276,7.72228984677073,0.668538282094234,0.643655715444293,0.187752520580826,"characters"
"13","Estonian",-0.229342588618663,-0.83109524927286,0,-0.0844566099199006,-0.133180560966096,1.17442149620273e-47,4.67666976068445,6.19981435893297,8.83998672639788,0.754324160359108,0.634151180226675,0.275952231491298,"characters"
"14","French",-0.0352557683754398,-0.844462877432972,5.25666204256564e-75,-0.0353841559614057,-0.0640681903409543,4.15928369032749e-45,2.54551891303684,5.03894586990754,8.11479660808652,0.505168933891237,0.552288987297759,0.0417493406964336,"characters"
"15","Georgian",-0.112930934820882,-0.67114131023821,9.59600189671642e-34,-0.0966615535403138,-0.222255016871946,2.35379448647653e-17,6.00503843420968,7.26664944125057,8.23763373190686,0.826383394817547,0.434912808271978,0.168266999956833,"characters"
"16","German",-0.112184845381634,-0.86685210467173,0,-0.0418938598207724,-0.0678267305684164,4.10846951263061e-58,2.91423992005845,5.72881074186311,10.2756747050452,0.508698934451217,0.617660020904506,0.129416361541993,"characters"
"17","Hakha Chin",-0.286277172944597,-0.811447124530533,3.10392629276597e-72,-0.146654298198575,-0.200517720925478,3.64272244958408e-13,2.5616646074357,3.2957991688195,5.29463220675944,0.777251427110846,0.73137824189154,0.352798308466771,"characters"
"18","Indonesian",-0.197938962708615,-0.911319161835277,4.64267847238371e-58,-0.154910993678967,-0.295952800714349,3.42495542989964e-21,3.69115391555395,5.38016510285096,7.23526329578203,0.686067034187855,0.523431416445643,0.217200483648332,"characters"
"19","Interlingua",-0.231090304715307,-0.792116961368991,3.07756221873945e-102,-0.157316895758365,-0.216941042094205,3.61324267992041e-31,3.38971617665776,4.49691358024691,7.41822766570605,0.753787262345308,0.725159675825891,0.29173760440115,"characters"
"20","Irish",-0.211526340953468,-0.93216179031699,3.46597561812073e-41,-0.165378340611228,-0.249584768209408,3.70055212002215e-15,3.01986725858204,4.22328688848842,6.58675897879706,0.715051413346655,0.662613915895985,0.226920201139693,"characters"
"21","Italian",-0.0527608934641964,-0.897952521054401,6.96670460380253e-60,-0.0628966320294275,-0.110327456058449,1.51899240617863e-48,3.13388440125818,5.29111965976047,8.15176640230714,0.592291349048803,0.570090476808474,0.0587568855001856,"characters"
"22","Kinyarwanda",-0.189282703007321,-0.899000872085194,0,-0.0625306889536544,-0.112428121284731,5.83153690479267e-116,3.68860865443246,6.13086736608745,9.19146813667534,0.601645482470522,0.556183704211258,0.210547852493499,"characters"
"23","Kirghiz",-0.192508661860449,-0.890493824417706,6.8716122657173e-145,-0.156289448974561,-0.291416601156616,4.0282749831886e-57,4.5072184025396,6.03839711582944,7.80937410688768,0.746426297588824,0.536309353531188,0.216181916799177,"characters"
"24","Latvian",-0.252765954576378,-0.72699372753242,2.92851697762622e-164,-0.176635876590067,-0.242469909625557,2.20885624318602e-54,4.00207523552276,4.84149153435668,7.09368583162218,0.826620310522663,0.728485760822214,0.347686568678278,"characters"
"25","Maltese",-0.192812815156736,-0.81294808062778,5.76234031282772e-106,-0.140954093918782,-0.225537950728627,2.07931824118552e-36,3.71426635345139,5.07420039754246,7.34045164457536,0.731990473858755,0.624968407593548,0.237177280753085,"characters"
"26","Modern Greek",-0.24343159669587,-0.84623759141293,1.06828563381683e-123,-0.161696273528282,-0.233478421328667,1.71312820596191e-34,3.61532985287138,4.85345145810262,7.64244086390127,0.7448987352775,0.692553395761841,0.287663416475533,"characters"
"27","Mongolian",-0.224985784177914,-0.860997058817306,3.15488514523273e-264,-0.15220239976926,-0.259428115092036,2.73082931801051e-76,4.18621705031286,5.4824032390498,7.32228509835624,0.763573357847061,0.586684291003939,0.261308423616408,"characters"
"28","Oriya",-0.318509603399617,-0.697754914262488,2.25793852306946e-31,-0.29051603256383,-0.42759435714985,1.134731916811e-18,3.78278900984966,4.31467081389321,5.44191096634093,0.876727141655653,0.67941970633167,0.456477764454408,"characters"
"29","Panjabi",-0.341508683307579,-0.480620734604824,0.000181091389446433,-0.269463254475294,-0.433109888471705,0.00413712320069351,3.6,3.72727272727273,3.93684210526316,0.965853658536585,0.622159090909091,0.71055753262159,"characters"
"30","Persian",-0.203193688501363,-0.920928110778884,9.46815000861849e-226,-0.123304678271617,-0.208170045397871,6.61847718578664e-45,2.64016577120116,3.80231808279914,5.49086102719033,0.694356893271159,0.592326710771222,0.220640119595774,"characters"
"31","Polish",-0.168855335773883,-0.937115829437757,2.01240683704122e-291,-0.101952619466806,-0.158872629382888,2.71263473493764e-58,3.81569576218115,5.26836889053798,7.87033313621131,0.724265107751691,0.64172551220951,0.180186195206191,"characters"
"32","Portuguese",-0.182858038797802,-0.906792016708832,6.13635924506482e-169,-0.121092927962659,-0.182521255644306,1.01091478459987e-42,3.14877542858305,4.60973014011564,7.48969269675837,0.683071531927909,0.663445621909607,0.201653781052769,"characters"
"33","Romanian",-0.208463063601511,-0.778813290549017,1.61641572413605e-96,-0.167626862713256,-0.258059951312076,8.5358835728703e-41,3.60716212166617,5.0312556188193,7.67095673747868,0.716950676919228,0.649565582962317,0.267667573385345,"characters"
"34","Romansh",-0.231711924733945,-0.793286733817157,2.8716963104683e-181,-0.147353918306683,-0.211579767301586,1.53651092542258e-47,3.80865314989138,4.93811097031137,7.52943577186001,0.771277351357544,0.696446168676632,0.292091011807279,"characters"
"35","Russian",-0.132015286004833,-0.936915631331833,1.0940158591662e-226,-0.0860194258924641,-0.158546633900129,3.02078818165058e-52,4.04799133350658,6.31295966386028,8.99927947119451,0.641219261494741,0.542549682553648,0.140904134363915,"characters"
"36","Slovenian",-0.205575901340645,-0.866008657276813,3.08327143481555e-88,-0.145624291824456,-0.217458408525841,6.79569848702991e-29,3.6447238845542,4.56438906143474,6.42876209542876,0.798512974134712,0.669665030713914,0.237383194282472,"characters"
"37","Spanish",-0.0295150607420699,-0.907397381378249,8.10852746316567e-27,-0.0411891811337929,-0.0741934808332561,6.79569848702991e-29,2.6908273063267,5.01165570830843,7.90803655262705,0.536913839046404,0.555159033801935,0.0325271610297568,"characters"
"38","Swedish",-0.278222051600228,-0.895890158114616,4.23509547895899e-131,-0.148671077264571,-0.199098982809645,1.17959848394657e-22,3.091558421036,4.05328529439651,6.88863942523574,0.762729044834308,0.746719421498567,0.31055375380587,"characters"
"39","Tamil",-0.261401190406118,-0.872103183882827,1.3628199215855e-38,-0.216046009104912,-0.401461886584016,5.08288294602857e-17,4.60435356200528,5.72229551451187,7.02491803278689,0.804634005763689,0.538148243518749,0.299736539479529,"characters"
"40","Tatar",-0.23522134649978,-0.883077396722838,0,-0.154175197537887,-0.258255181486213,2.23686665973585e-117,4.04564204100153,5.42623987680293,7.47133957782459,0.745570069302791,0.59698781898832,0.266365493412812,"characters"
"41","Turkish",-0.215636782963108,-0.893736524739626,1.30691783301595e-157,-0.155439107900456,-0.261460164181389,2.30600434674216e-48,4.58326383097025,6.0024186822352,8.08306352573406,0.763569499830946,0.594503978788216,0.241275562757077,"characters"
"42","Ukrainian",-0.160760588023765,-0.860418554198908,3.6965081308037e-136,-0.138808262261858,-0.20329808495374,1.46766777503985e-61,4.5253173973418,5.52376347285591,7.67282450170151,0.819245324239436,0.682781946979202,0.186839982981818,"characters"
"43","Vietnamese",-0.155173764469104,-0.718859330616653,2.21308246834803e-05,-0.161323128234977,-0.616668272127571,0.000207152281857456,2.70307692307692,3.22076923076923,3.40418118466899,0.839264389777884,0.261604391739493,0.215861098076021,"characters"
"44","Welsh",-0.199517281044341,-0.906326893584606,3.62888145967297e-180,-0.120744911979781,-0.180722803572897,1.57790019014928e-37,2.76014396769862,4.16601594972093,6.9962569637883,0.662538022180044,0.66812217159456,0.220138321456215,"characters"
"45","Western Frisian",-0.284895613442441,-0.795132660051739,1.81149852076035e-242,-0.13226933338825,-0.167169492560149,3.23466553531096e-33,3.43486939027674,4.38498582223137,7.98586530466801,0.783325084624527,0.791228898063795,0.358299473478933,"characters"
"46","Yakut",-0.262676500689154,-0.740995495848859,6.8890797686126e-186,-0.190237454969192,-0.340951500348114,4.40395716782797e-65,5.00565913577539,6.31866637420487,7.97599801019774,0.792201841231931,0.55796045705902,0.354491359476134,"characters"
"47","Abkhazian",-0.217785025156081,-0.516044484986755,0.00182581742855837,-0.199619903902816,-0.406950056258771,0.0214830176907322,0.689206349206349,0.754126984126984,0.816633333333333,0.913912860450432,0.490526787827452,0.422027618726844,"medianDuration"
"48","Arabic",-0.114320066912746,-0.880113184300589,1.86630647102114e-41,-0.136521350298636,-0.274866464184254,9.64779005874011e-32,0.35522023135415,0.471034217764116,0.585321461918101,0.754128294628559,0.496682455256238,0.129892460369849,"medianDuration"
"49","Assamese",-0.207725510339417,-0.666427403834511,2.50801737005537e-18,-0.184737670135901,-0.371710830375502,1.28033122737201e-09,0.36999,0.43941,0.508,0.842015429780842,0.496992971523802,0.311700132893994,"medianDuration"
"50","Basque",-0.207564655264298,-0.931762922885621,0,-0.1192890837273,-0.197705840622968,1.36231518707997e-78,0.32505295661773,0.444053017462428,0.625078206256501,0.732013844822557,0.603366513358546,0.22276552346758,"medianDuration"
"51","Breton",-0.24616460283879,-0.875956640470143,3.50186868736436e-107,-0.196304604753011,-0.28162120931004,7.14527905393029e-38,0.218833164471462,0.308580521133713,0.515079824155484,0.709160654948271,0.697051920322155,0.281023730474454,"medianDuration"
"52","Catalan",-0.214479285548362,-0.939916024261583,0,-0.0626339876260068,-0.0854992707009126,1.93659923602465e-68,0.237662250425405,0.355009773847733,0.676455316677818,0.669452696610377,0.732567507448204,0.228189838253754,"medianDuration"
"53","Chuvash",-0.248219747156909,-0.816835417839865,1.18849554525131e-131,-0.213400595516308,-0.382597235544548,3.47492935716645e-57,0.376121696373694,0.454622618315919,0.553632524707996,0.827327284698197,0.557768263047109,0.303879755622412,"medianDuration"
"54","Czech",-0.21105657954137,-0.915534646557312,1.78797889795615e-300,-0.141706682379335,-0.193339556120145,2.01365001200433e-71,0.305108341316728,0.375606405343552,0.56908869760479,0.812308674655475,0.732942007435224,0.230528227779262,"medianDuration"
"55","Dhivehi",-0.165333219650451,-0.802718402300356,0.00961410108584913,-0.174778102020974,-0.246059336140951,0.0296206103303463,0.175306195965418,0.353414985590778,0.790129032258065,0.496034981856729,0.71030876032623,0.205966649296509,"medianDuration"
"56","Dutch",-0.273993421930411,-0.950625896107322,0,-0.11866773260015,-0.152896021946856,6.5310033379049e-34,0.223802805054332,0.298516380470541,0.557544534033377,0.749716999454297,0.776133551999125,0.288224235266865,"medianDuration"
"57","English",-0.172815646835336,-0.826901705427461,0,-0.0401936351591388,-0.0565676121843189,9.39106533020001e-62,0.189557102178509,0.328361615762905,0.669088732264497,0.577281548996211,0.710541484907874,0.208991764923257,"medianDuration"
"58","Esperanto",-0.178573061572703,-0.914220071157239,0,-0.0873102766075385,-0.126530341156291,2.43217702531612e-47,0.349433228840125,0.493324924703424,0.813651367607046,0.708322672020266,0.690034309634021,0.195328310115377,"medianDuration"
"59","Estonian",-0.222376940269359,-0.815799502872408,0,-0.09059649242161,-0.129466338357901,7.46948097850377e-55,0.318924613584083,0.396715121675612,0.578026547204248,0.803913428449705,0.699768708767849,0.272587736921113,"medianDuration"
"60","French",-0.209806417939329,-0.853577964114188,0,-0.0442344473925721,-0.0638963584550988,4.90938569919068e-70,0.186683201074147,0.3238765175516,0.632527620744746,0.5764023970784,0.692284325149084,0.245796431913585,"medianDuration"
"61","Georgian",-0.140769883810254,-0.648531052225402,1.39196497041225e-56,-0.115156206035722,-0.23252620437308,3.63190058245078e-24,0.446190814546864,0.526586137846392,0.605465072372561,0.847327307877253,0.495239692860416,0.217059589247438,"medianDuration"
"62","German",-0.213158422779263,-0.869285064564759,0,-0.0537046195980055,-0.0728264777595885,4.16200717050371e-95,0.234885689668281,0.373274069005316,0.76194420797808,0.62925798808954,0.737432610365872,0.245211187294456,"medianDuration"
"63","Hakha Chin",-0.252894472917804,-0.832884672570789,4.62378005376292e-64,-0.137785305778909,-0.200570894973012,1.17972644769121e-11,0.221639335055599,0.290633494327755,0.442043737574553,0.762607680743263,0.686965602848054,0.303636843426615,"medianDuration"
"64","Indonesian",-0.217731875888107,-0.912629602378911,2.24717662682579e-77,-0.169558886431313,-0.290528614655775,2.8327171672956e-25,0.272094347708409,0.377084536268495,0.52424548074404,0.721573868822532,0.583621983783628,0.238576389940185,"medianDuration"
"65","Interlingua",-0.232109559526444,-0.780831836119483,2.86863035405481e-114,-0.170292383437395,-0.217710314863949,1.60342237589502e-36,0.325696989945272,0.404997136311569,0.689788364553314,0.804195784966512,0.782197129905461,0.297259344188582,"medianDuration"
"66","Irish",-0.233622862683601,-0.924354381128451,4.52627598662569e-55,-0.190936925566211,-0.271349469095479,9.26625241064172e-20,0.224589468594787,0.296380378884445,0.466845521419299,0.757774416242149,0.70365689751553,0.252741662130053,"medianDuration"
"67","Italian",-0.189855943134682,-0.897576133788664,0,-0.0840802899904147,-0.119791796086036,2.90174077055493e-86,0.260625907576138,0.376755984464758,0.650176279740447,0.691763152604991,0.701886879883054,0.211520712269054,"medianDuration"
