"","language","Lmin","L","Lrand","eta","psi","omega"
"L","Kinyarwanda",3.68860865443246,9.19406953416849,9.19146813667534,0.401280725230454,-0.000472735584389661,2.54202732114846e-05
"L1","Abkhazian",5.87830687830688,6.63886666666667,6.64,0.885768525337927,0.00148791330925263,0.00138283687943262
"L2","Mongolian",4.18621705031286,7.32207148843399,7.32228509835624,0.571828439928058,6.81139308773505e-05,1.83777545696836e-05
"L3","Oriya",3.78278900984966,5.44268636599274,5.44191096634093,0.695407366040498,-0.0004673554278365,-0.000456270788801418
"L4","Latvian",4.00207523552276,7.09432958034126,7.09368583162218,0.564356083082165,-0.000208224386310783,0.000123354394661236
"L5","Estonian",4.67666976068445,8.84179415795633,8.83998672639788,0.529142665099246,-0.000434132585470343,-5.73558615483003e-05
"L6","Basque",4.44326231887837,8.88774015119908,8.88543083446676,0.500055278436798,-0.000519862478025005,4.28253108979966e-05
"L7","Catalan",2.98107940917394,8.57430816595872,8.57549897112848,0.347950775546894,0.000212855892656633,3.12845435899781e-05
"L8","Portuguese",3.14877542858305,7.49099258851282,7.48969269675837,0.42067115328904,-0.000299450939546631,-0.000167225477570455
"L9","Breton",2.87945860286286,6.32354543943055,6.32184173993522,0.455766994805303,-0.000494918615241566,1.80510394001459e-05
"L10","Panjabi",3.6,3.93544272727273,3.93684210526316,0.915139651257323,0.00415440340909079,0.0025988137603796
"L11","Interlingua",3.38971617665776,7.41991827669594,7.41822766570605,0.457353213184151,-0.000419661454232893,3.41684342281161e-05
"L12","Spanish",2.6908273063267,7.90796716441226,7.90803655262705,0.34061891712849,1.32998719280096e-05,-7.92077348216389e-07
"L13","Dutch",3.24453568936297,8.27499598183132,8.27067316707294,0.392741491036599,-0.000860066955500383,-0.000128105577854828
"L14","Romanian",3.60716212166617,7.67262662271501,7.67095673747868,0.47044842651151,-0.000410917724492644,-6.78565789733367e-05
"L15","Polish",3.81569576218115,7.86913389818557,7.87033313621131,0.485097157286751,0.000295769489382421,-1.96181681650395e-05
"L16","Italian",3.13388440125818,8.15069286675921,8.15176640230714,0.384708149519258,0.000213941967488219,1.92221186262705e-05
"L17","Modern Greek",3.61532985287138,7.64125915994305,7.64244086390127,0.47354971325878,0.000293437145135768,-0.000159544414005329
"L18","Welsh",2.76014396769862,6.99460176122921,6.9962569637883,0.394994379840599,0.000390736167949694,-6.39086125153361e-05
"L19","Czech",3.80118686465485,7.1602295265847,7.15955588822355,0.531085089656261,-0.000200584973367642,3.93684205258369e-05
"L20","German",2.91423992005845,10.2758932943165,10.2756747050452,0.283807754182421,-2.96938406319523e-05,1.47677761592347e-05
"L21","Vietnamese",2.70307692307692,3.40420569230769,3.40418118466899,0.794198097911963,-3.49557691282096e-05,0.000302045205693727
"L22","Indonesian",3.69115391555395,7.23328174169975,7.23526329578203,0.510658365450891,0.000559111999571844,9.96371580587269e-05
"L23","Kirghiz",4.5072184025396,7.81082475313861,7.80937410688768,0.577161585778656,-0.000439302801202728,5.58158524348978e-05
"L24","Tatar",4.04564204100153,7.47241376617306,7.47133957782459,0.541487384624989,-0.000313567773255278,-1.58299867504611e-05
"L25","French",2.54551891303684,8.11757319470363,8.11479660808652,0.313800918271381,-0.000498554169705795,3.03097708945715e-05
"L26","Hakha Chin",2.5616646074357,5.29822895653151,5.29463220675944,0.484762633873092,-0.00131606015854444,-9.17712218601271e-05
"L27","Chuvash",4.99987707437001,7.52937551936079,7.5277628032345,0.664136978893622,-0.00063797034330734,-0.000165674932981726
"L28","Swedish",3.091558421036,6.88769034322556,6.88863942523574,0.449611923217661,0.000249950424847824,0.000116171182155353
"L29","Slovenian",3.6447238845542,6.43060222710401,6.42876209542876,0.567150435128107,-0.000660957765614339,-0.000101897946027283
