"","language","Lmin","L","Lrand","eta","psi","omega"
"L","Abkhazian",5.87830687830688,6.63743809523809,6.64,0.885956596786566,0.00336343428730209,0.637234042553191
"L1","Arabic",3.3475772528717,5.15840887194629,5.15792983860211,0.649125079898346,-0.000264607760916676,0.16875588498641
"L2","Assamese",4.243,5.4999071,5.49955156950673,0.771671896548076,-0.000282941426282391,0.459395600031769
"L3","Breton",2.87945860286286,6.3214844309355,6.32184173993522,0.455907988318325,0.000103796987578832,0.263646439010442
"L4","Catalan",2.98107940917394,8.57437328734566,8.57549897112848,0.347945925053276,0.00020121547380385,0.167995217177126
"L5","Czech",3.80118686465485,7.16136609518867,7.15955588822355,0.531000224008586,-0.000539013715412986,0.2403022386292
"L6","Chuvash",4.99987707437001,7.52762602950215,7.5277628032345,0.664292949899418,5.41059790750722e-05,0.245612606037363
"L7","Hakha Chin",2.5616646074357,5.29349156464113,5.29463220675944,0.485172220236752,0.000417363937499094,0.352798308466771
"L8","Welsh",2.76014396769862,6.99690303026428,6.9962569637883,0.394869254581911,-0.00015251398547954,0.220138321456215
"L9","German",2.91423992005845,10.2765545151772,10.2756747050452,0.283794157697278,-0.000119516121213689,0.129416361541993
"L10","Dhivehi",2.16210374639769,7.74615749279539,7.73548387096774,0.286967743412598,-0.00191510745527534,0.284667496197982
"L11","Modern Greek",3.61532985287138,7.640496142488,7.64244086390127,0.473603815685355,0.0004829073268502,0.287663416475533
"L12","English",2.36391767365301,7.79234894762383,7.79118497942624,0.303611468644213,-0.000214466716307073,0.0891171859595471
"L13","Esperanto",3.2292556395599,7.7210256406663,7.72228984677073,0.418563714947983,0.000281370238046093,0.187752520580826
"L14","Estonian",4.67666976068445,8.8387665079301,8.83998672639788,0.529325583184798,0.000293088054025948,0.275952231491298
"L15","Basque",4.44326231887837,8.88247853420776,8.88543083446676,0.500347904019462,0.000664607893338128,0.177562199392731
"L16","Persian",2.64016577120116,5.4902383515829,5.49086102719033,0.481109424871177,0.000218429383543463,0.220640119595774
"L17","French",2.54551891303684,8.11641665150388,8.11479660808652,0.313846592112297,-0.000290889322829121,0.0417493406964336
"L18","Western Frisian",3.43486939027674,7.98901338729862,7.98586530466801,0.43053891695297,-0.000691734883930007,0.358299473478933
"L19","Irish",3.01986725858204,6.59095436244561,6.58675897879706,0.459114340922997,-0.00117620157202209,0.226920201139693
"L20","Interlingua",3.38971617665776,7.4185823946799,7.41822766570605,0.457442334484225,-8.80546015111592e-05,0.29173760440115
"L21","Indonesian",3.69115391555395,7.23588251984843,7.23526329578203,0.510484259932044,-0.000174719231256427,0.217200483648332
"L22","Italian",3.13388440125818,8.14946573300156,8.15176640230714,0.384764492093432,0.000458494102710154,0.0587568855001855
"L23","Georgian",6.00503843420968,8.23926496350365,8.23763373190686,0.728967713948414,-0.000730643658737819,0.168266999956833
"L24","Kinyarwanda",3.68860865443246,9.1912739351622,9.19146813667534,0.401400740516143,3.52910180182309e-05,0.210547852493499
"L25","Kirghiz",4.5072184025396,7.81049589388549,7.80937410688768,0.577189937429543,-0.000339713538139918,0.216181916799177
"L26","Latvian",4.00207523552276,7.09515766848936,7.09368583162218,0.564285830566704,-0.000476074467153474,0.347686568678278
"L27","Maltese",3.71426635345139,7.34359709297073,7.34045164457536,0.506085027792806,-0.000867426273850234,0.237177280753085
"L28","Mongolian",4.18621705031286,7.32143020470568,7.32228509835624,0.57188031878195,0.000272600478516195,0.261308423616408
"L29","Dutch",3.24453568936297,8.27127996616738,8.27067316707294,0.392910237238018,-0.000120728710093914,0.287631538563441
"L30","Oriya",3.78278900984966,5.44377034733022,5.44191096634093,0.695260184218403,-0.00112070181580967,0.456477764454408
"L31","Panjabi",3.6,3.93759454545454,3.93684210526316,0.914648311245908,-0.00223380681818194,0.71055753262159
"L32","Polish",3.81569576218115,7.86857582507434,7.87033313621131,0.485129562217002,0.000433407719327735,0.180186195206191
"L33","Portuguese",3.14877542858305,7.49293519939534,7.48969269675837,0.42055631561792,-0.000746962551150089,0.201653781052769
"L34","Romansh",3.80865314989138,7.52987131381245,7.52943577186001,0.506084016888807,-0.000117056543391908,0.292091011807279
"L35","Romanian",3.60716212166617,7.66661223554091,7.67095673747868,0.470811059691831,0.00106907517443637,0.267667573385345
"L36","Russian",4.04799133350658,8.99936462627313,8.99927947119451,0.449981932118814,-1.71985706034629e-05,0.140904134363915
"L37","Yakut",5.00565913577539,7.97652718139943,7.97599801019774,0.627639937822669,-0.000178151794816831,0.354491359476133
"L38","Slovenian",3.6447238845542,6.4308464661768,6.42876209542876,0.567141927749678,-0.000748686113538411,0.237383194282472
"L39","Spanish",2.6908273063267,7.90522644195252,7.90803655262705,0.340739964378519,0.000538623340922125,0.0325271610297568
"L40","Swedish",3.091558421036,6.88622119402042,6.88863942523574,0.449705035922933,0.000636865848437753,0.31055375380587
"L41","Tamil",4.60435356200528,7.02612403693931,7.02491803278689,0.655641804150769,-0.000498232609370982,0.299736539479529
"L42","Tatar",4.04564204100153,7.47018275859698,7.47133957782459,0.541647991523931,0.000337688664912079,0.266365493412811
"L43","Turkish",4.58326383097025,8.08055465758503,8.08306352573406,0.56736954608629,0.000716860497128548,0.241275562757077
"L44","Ukrainian",4.5253173973418,7.67312510662567,7.67282450170151,0.589928182629155,-9.55057174439746e-05,0.186839982981818
"L45","Vietnamese",2.70307692307692,3.40409738461538,3.40418118466899,0.794216334541112,0.000119525808350362,0.215861098076021
