"","language","Lmin","L","Lrand","eta","psi","omega"
"1","Abkhazian",5.58974358974359,6.43570512820513,6.42016806722689,0.868917124894756,-0.0187097820446285,-0.00700150678051231
"2","Arabic",3.25699945444626,5.05744506273868,5.05846490542442,0.644158893164545,0.000566118370565763,0.00102516588944321
"3","Assamese",4.10148924434639,5.37261445118588,5.36251287332647,0.76362458837595,-0.00801061742798779,-0.000293010149372833
"4","Breton",2.89701074875121,6.30768130344954,6.31385998107852,0.459663120667223,0.00180829682812116,-0.00157790918596523
"5","Catalan",2.98830977783417,8.55221365634086,8.5757786429366,0.349716676453983,0.00421747076622016,-4.40675853075959e-05
"6","Czech",3.80578254800721,7.14399831957827,7.16812733599691,0.532889005708915,0.00717624691698102,7.13642518726151e-05
"7","Chuvash",4.79246116469116,7.3436678200692,7.35073068893528,0.652689791398235,0.00276079936032716,-0.000424117012851821
"8","Hakha Chin",2.55816831683168,5.30623874887489,5.2921168467387,0.483604484902259,-0.00516538697847129,0.00154707854901156
"9","Welsh",2.79373671521308,7.03502443381559,7.05061473570852,0.397487912855775,0.00366237928779472,-0.000962384585172601
"10","German",2.99674889760588,10.2977811332529,10.3030396938748,0.291180066981489,0.000719730540235254,7.22873498295243e-05
"11","Dhivehi",1.97429906542056,7.64820093457944,7.61261261261261,0.265731671754438,-0.00631187351837675,-0.00861424180327869
"12","Modern Greek",3.61222280887012,7.63235665258712,7.6389127816962,0.473678938569863,0.00162816833511505,-0.000164861731968798
"13","English",2.39012747650684,7.76132093489758,7.79128786346324,0.308251418030278,0.00554823897435632,-0.000188062403733848
"14","Esperanto",3.23415489057527,7.75617878654363,7.7299254295904,0.417294920843948,-0.0058395678172165,0.000355577059090963
"15","Estonian",4.68035113411052,8.84252935030317,8.84939528075006,0.529531588430086,0.00164688360338542,-0.000474729694186218
"16","Basque",4.44446384949058,8.89198353530348,8.89356715694197,0.49997439910815,0.000355941754789888,-0.000529855671163896
"17","Persian",2.68989983807597,5.49337577322936,5.49279451010294,0.489917685952997,-0.000207379582339355,-0.000871274984371975
"18","French",2.66726390784503,8.09124008880857,8.12708823474348,0.329841855029595,0.00656580574549009,0.000537726713826449
"19","Western Frisian",3.44034689962424,8.04965960078005,7.98986043182632,0.428263172339954,-0.0131440798077567,-4.52853985119308e-05
"20","Irish",3.00531137963086,6.60788562829195,6.5766326077299,0.455829425460445,-0.0087511087818574,-0.0019332429783977
"21","Interlingua",3.35952661945974,7.47982920272751,7.42684354272337,0.449713900024676,-0.0130271776219553,0.000589798365480516
"22","Indonesian",3.69895951142275,7.24239018321647,7.23911889596603,0.511107760318743,-0.00092405083927009,-0.000126858989276438
"23","Italian",3.16365703642476,8.13087905265323,8.16386646301549,0.389303119130673,0.0065972057463902,0.000449567919465471
"24","Georgian",5.91410711529557,8.20286000926069,8.22229054573405,0.721168556210662,0.00841810759800453,0.000280669343742436
"25","Kinyarwanda",3.72344507967275,9.18503782844712,9.20003736501887,0.405463576784977,0.00273884484917468,-5.42168356672877e-05
"26","Kirghiz",4.485722139577,7.78833387232391,7.78400789733465,0.576100273619877,-0.00131158283635304,0.000218279912177164
"27","Latvian",3.94951792504074,7.0881806762629,7.08798786374293,0.557413786882015,-6.14351973202936e-05,0.000600487545975477
"28","Maltese",3.7166077257889,7.33190265687341,7.35021097046414,0.507211897022895,0.00503861108599344,-0.0011223397659614
"29","Mongolian",4.17591181622684,7.30923764900238,7.31380065717415,0.571415916868342,0.00145416501446093,-0.00069899200479224
"30","Dutch",3.24100942186049,8.29256775714222,8.26327628361858,0.39149779886677,-0.0058323212067208,0.000558897643293445
"31","Oriya",3.68352941176471,5.38356470588235,5.34816753926702,0.684583597829781,-0.0212641811037021,-0.00664689958368968
"32","Panjabi",3.55102040816327,3.88581632653061,3.88095238095238,0.914327452645095,-0.0147422680412364,0.00131818181818182
"33","Polish",3.81700035773608,7.91046341098838,7.87154696132597,0.48270503582093,-0.00959822477510871,-3.34873348616523e-05
"34","Portuguese",3.14150250134253,7.49742298126113,7.48866104787558,0.419380332523564,-0.00201555413536521,-0.00045477168906311
"35","Romansh",3.82878151260504,7.55695515162587,7.56084876222176,0.506926529026857,0.00104328521847821,-0.00138989823783267
"36","Romanian",3.60685042440239,7.66328604420983,7.67460688151954,0.471009300746134,0.00278306664350558,0.000225251419989966
"37","Russian",4.05315782375652,9.01966994727813,9.00430452131838,0.449565047868129,-0.00310340753331299,0.000449151762710377
"38","Yakut",5.02214643220977,7.97728839084024,7.98861336032389,0.629652954747765,0.00381766247798703,0.00201781801840753
"39","Slovenian",3.65199209245742,6.42251178527981,6.42715176014822,0.569049977923658,0.0016719668141755,0.00119910308453799
"40","Spanish",2.74375594988043,7.94167892735529,7.91737101719771,0.345902683939313,-0.00469843810204132,0.000446407867838416
"41","Swedish",3.07856904576575,6.8812252386777,6.87348432852894,0.448043910368297,-0.00203981105557776,-0.00142800471811278
"42","Tamil",4.65134337630067,7.08662525236838,7.07768595041322,0.656730322337527,-0.00368427032956233,-0.00150735533486785
"43","Tatar",4.04064257807088,7.45327246529413,7.45355817257022,0.542212787178753,8.37135487763482e-05,-0.00024976486025534
"44","Turkish",4.59523986404918,8.08630258343703,8.08570468294869,0.568472817057851,-0.00017129537736722,0.00099617276918679
"45","Ukrainian",4.52033786021862,7.6571577509109,7.67133988979563,0.590486538819444,0.0045008345763076,-0.000572061380342175
"46","Vietnamese",2.75159914712154,3.4648933901919,3.47027027027027,0.794365137501358,0.00748169768504801,0.00706373110053611
