"","language","Lmin","L","Lrand","eta","psi","omega"
"L","Kinyarwanda",3.68860865443246,9.21637638956154,9.19146813667534,0.400277279652595,-0.00452641993977585,0.000263029851379975
"L1","Abkhazian",5.87830687830688,6.64550264550265,6.64,0.884767356559937,-0.00722422895248674,-0.0398581560283688
"L2","Mongolian",4.18621705031286,7.33576686769161,7.32228509835624,0.570707863090953,-0.00429894030640811,-0.000333905618518541
"L3","Oriya",3.78278900984966,5.45728356661483,5.44191096634093,0.693618823346049,-0.00926550348740062,0.010333142171941
"L4","Latvian",4.00207523552276,7.00855128796363,7.09368583162218,0.571105502648247,0.0275372790370022,0.00977965560083783
"L5","Estonian",4.67666976068445,8.78353444448929,8.83998672639788,0.532607980873116,0.0135594484814628,0.00110399136632949
"L6","Basque",4.44326231887837,8.95390536041792,8.88543083446676,0.496462531975362,-0.0154146619406423,-0.000539057155811077
"L7","Catalan",2.98107940917394,8.59254686438574,8.57549897112848,0.347143429739808,-0.0030473033115353,-0.000677200666933294
"L8","Portuguese",3.14877542858305,7.43072613390636,7.48969269675837,0.423958765876389,0.0135838946492522,0.00213121668501081
"L9","Breton",2.87945860286286,6.25945236796301,6.32184173993522,0.460180587365231,0.0181238896101696,0.00598872724641358
"L10","Panjabi",3.6,3.94818181818182,3.93684210526316,0.912267885585278,-0.0336647727272728,0.0212336892052195
"L11","Interlingua",3.38971617665776,7.40557146493573,7.41822766570605,0.458050405722141,0.00314165686376527,-0.00682723130638514
"L12","Spanish",2.6908273063267,7.95866592610512,7.90803655262705,0.338396104916114,-0.00970430187632745,0.000273617916367315
"L13","Dutch",3.24453568936297,8.29609304904795,8.27067316707294,0.391820703622411,-0.00505753813693747,0.0026342757394556
"L14","Romanian",3.60716212166617,7.74533712915793,7.67095673747868,0.46603205028947,-0.0183031867284406,-0.00828628468335056
"L15","Polish",3.81569576218115,7.87246567821723,7.87033313621131,0.484809477448842,-0.000525951351303532,0.00177279441515288
"L16","Italian",3.13388440125818,8.24037083253344,8.15176640230714,0.380500599538169,-0.0176577349183932,2.80839688476595e-05
"L17","Modern Greek",3.61532985287138,7.62982386753151,7.64244086390127,0.474212164672062,0.00313301429615495,0.00122989233971819
"L18","Welsh",2.76014396769862,7.00153175784925,6.9962569637883,0.395031668824879,-0.0012451967324344,0.0045948125646822
"L19","Czech",3.80118686465485,7.24457727925914,7.15955588822355,0.52486055791225,-0.0253162741911078,-0.000461180133675283
"L20","German",2.91423992005845,10.2713252645632,10.2756747050452,0.284037061835054,0.000590841406465667,0.000254128333337254
"L21","Vietnamese",2.70307692307692,3.39746153846154,3.40418118466899,0.795836920735424,0.00958437507167897,-0.00891991240419208
"L22","Indonesian",3.69115391555395,7.11669974738362,7.23526329578203,0.51895066638596,0.0334536933481387,0.00449636523904446
"L23","Kirghiz",4.5072184025396,7.83389857546222,7.80937410688768,0.575395081823152,-0.00742680562949926,0.00421406253719057
"L24","Tatar",4.04564204100153,7.45795693602277,7.47133957782459,0.542486078146306,0.00390654506358638,-0.00317580665685555
"L25","French",2.54551891303684,7.99248533683096,8.11479660808652,0.318657872361247,0.0219617835476727,1.15039419789319e-06
"L26","Hakha Chin",2.5616646074357,5.26645512748512,5.29463220675944,0.488569808440189,0.0103100670792066,-0.000377461754085778
"L27","Chuvash",4.99987707437001,7.52695759065765,7.5277628032345,0.664377203981551,0.000318532031592647,0.000345628836271873
"L28","Swedish",3.091558421036,6.9844916405929,6.88863942523574,0.443844339805294,-0.0252436582867581,-0.00937478951131273
"L29","Slovenian",3.6447238845542,6.47925914703432,6.42876209542876,0.562765305622365,-0.0181380598183996,-0.00454040866507974
"L30","Russian",4.04799133350658,8.87550463225326,8.99927947119451,0.456343148472963,0.0249985126090952,-1.0263984730053e-05
"L31","Tamil",4.60435356200528,7.0060290237467,7.02491803278689,0.657471957847564,0.00780355543849019,0.00722782337801413
"L32","Georgian",6.00503843420968,8.21345520315225,8.23763373190686,0.731337521509974,0.010829785756311,-0.00236594294778298
"L33","Western Frisian",3.43486939027674,7.91596147448794,7.98586530466801,0.434529633920002,0.0153601171029453,0.00325114937510205
"L34","Maltese",3.71426635345139,7.25188155041561,7.34045164457536,0.512934584739932,0.0244251429667817,0.00409733722032076
"L35","Romansh",3.80865314989138,7.3657585083273,7.52943577186001,0.517169779462653,0.0439900096733185,0.00271483855794883
"L36","Dhivehi",2.16210374639769,7.53278097982709,7.73548387096774,0.298489244767822,0.0363698306252329,-0.00853034702060003
"L37","Yakut",5.00565913577539,7.95646413687212,7.97599801019774,0.629178864508254,0.00657631137437644,0.00157796282258786
"L38","Persian",2.64016577120116,5.47063235396547,5.49086102719033,0.4828357157633,0.00709604900150786,0.00114646435040955
"L39","Irish",3.01986725858204,6.49430794250802,6.58675897879706,0.465516818867041,0.0259192158161343,0.00700842647241177
"L40","English",2.36391767365301,7.88835178429366,7.79118497942624,0.299905617734908,-0.017903449267012,0.000414668237061233
"L41","Esperanto",3.2292556395599,7.68722822545946,7.72228984677073,0.420381269894712,0.00780355094003006,0.000720828669197286
"L42","Ukrainian",4.5253173973418,7.64914451497719,7.67282450170151,0.591755027628835,0.00752341009541195,-0.0023507114279626
"L43","Assamese",4.243,5.52475,5.49955156950673,0.768502314807171,-0.0200536381512504,0.00437614168850766
"L44","Arabic",3.3475772528717,5.19000161786119,5.15792983860211,0.645192128308223,-0.0177157640516423,-0.00603923555365826
"L45","Turkish",4.58326383097025,8.05754332313965,8.08306352573406,0.568979206839795,0.00729190377169064,-0.000857566421801919
