"","language","Lmin","L","Lrand","eta","psi","omega"
"L","Abkhazian",0.689206349206349,0.816416203703704,0.816633333333333,0.845006732211161,0.00170395329621302,0.422027618726844
"L1","Arabic",0.35522023135415,0.585243201676509,0.585321461918101,0.607125534147049,0.000340112225389068,0.129892460369849
"L2","Assamese",0.36999,0.50812231425,0.508,0.728499290193133,-0.000886270922396929,0.311700132893994
"L3","Breton",0.218833164471462,0.515210917855194,0.515079824155484,0.425161420757931,-0.000442515368276874,0.281023730474454
"L4","Catalan",0.237662250425405,0.676278201842401,0.676455316677818,0.351672684383691,0.000403640916503127,0.228189838253754
"L5","Czech",0.305108341316728,0.569312482370004,0.56908869760479,0.5361184777062,-0.000847732643292236,0.230528227779262
"L6","Chuvash",0.376121696373694,0.553580827781192,0.553632524707996,0.679519202380208,0.000291232525300813,0.303879755622412
"L7","Hakha Chin",0.221639335055599,0.442080119875323,0.442043737574553,0.502562086232383,-0.000165070662629428,0.303636843426615
"L8","Welsh",0.221555088655236,0.577664088989577,0.577657120473538,0.383821168232007,-1.95688746952891e-05,0.212206141064179
"L9","German",0.234885689668281,0.762011872693853,0.76194420797808,0.308426640563825,-0.000128381789540586,0.245211187294456
"L10","Dhivehi",0.175306195965418,0.792645831772334,0.790129032258065,0.233912639284748,-0.00409353616310998,0.205966649296509
"L11","Modern Greek",0.291305964246164,0.627432035134209,0.627425437092904,0.464704280851827,-1.96300477600211e-05,0.255838497901635
"L12","English",0.189557102178509,0.669272126222728,0.669088732264497,0.283492557012553,-0.000382443923872807,0.208991764923257
"L13","Esperanto",0.349433228840125,0.813611197417174,0.813651367607046,0.429796530967179,8.65330035974907e-05,0.195328310115377
"L14","Estonian",0.318924613584083,0.577869481887889,0.578026547204248,0.552114546271202,0.000606191216577056,0.272587736921113
"L15","Basque",0.32505295661773,0.624848032520405,0.625078206256501,0.520327702620154,0.000767181216824212,0.22276552346758
"L16","Persian",0.256369578871017,0.540394521384893,0.540449773413897,0.474628459752742,0.000194494477494233,0.248592777081263
"L17","French",0.186683201074147,0.63247183282755,0.632527620744746,0.295382038719892,0.000125128665371054,0.245796431913585
"L18","Western Frisian",0.258011785765204,0.610640748443614,0.610288632854258,0.423030732971352,-0.000999542241464673,0.385336323474755
"L19","Irish",0.224589468594787,0.467027877346051,0.466845521419299,0.481637876268535,-0.000752740435690147,0.252741662130053
"L20","Interlingua",0.325696989945272,0.68975661628166,0.689788364553314,0.472688663726691,8.7198637124204e-05,0.297259344188582
"L21","Indonesian",0.272094347708409,0.5243954125203,0.52424548074404,0.519236462671511,-0.000594610757662031,0.238576389940185
"L22","Italian",0.260625907576138,0.650087053404241,0.650176279740447,0.40108944656559,0.000229049546814924,0.211520712269054
"L23","Georgian",0.446190814546864,0.605513466991796,0.605465072372561,0.736998419832936,-0.000303844575360895,0.217059589247438
"L24","Kinyarwanda",0.267068152395994,0.720572798163841,0.720604235634902,0.37075040284145,6.9316361416698e-05,0.234866802076914
"L25","Kirghiz",0.344439836010656,0.570190914790946,0.570074783271411,0.604200167148724,-0.000514687644553947,0.220198759420443
"L26","Latvian",0.329393405362672,0.593301647424073,0.593210985626283,0.555418536209732,-0.000343653359638598,0.313558524859808
"L27","Maltese",0.259398491145645,0.54323641376039,0.542951030927835,0.477826740810057,-0.00100645486291356,0.259279041797584
"L28","Mongolian",0.291175500438857,0.482105864371868,0.482137563998922,0.604076686470384,0.000165999604651069,0.2939063729441
"L29","Dutch",0.223802805054332,0.557631379403537,0.557544534033377,0.401914346307362,-0.000260217295646834,0.288224235266865
"L30","Oriya",0.360705028512183,0.502381978227061,0.502263843648208,0.718321398845195,-0.000834526473951598,0.459919271603084
"L31","Panjabi",0.6605,0.744361318181818,0.744526315789474,0.888076064458572,0.00196364205791159,0.458190148911798
"L32","Polish",0.298514589171156,0.569606947648893,0.569738419081411,0.524229899333482,0.000484734075770508,0.183802017753879
"L33","Portuguese",0.269942974220619,0.615755143176226,0.615583952793317,0.438675381772896,-0.000495283816216544,0.231731418468597
"L34","Romansh",0.332461418356264,0.656201241084359,0.656207019691868,0.506897377310211,1.78492232330736e-05,0.332383120891348
"L35","Romanian",0.266854659874138,0.570849073658975,0.571083113661033,0.467801122394346,0.000769290311752081,0.295801226633397
"L36","Russian",0.298201467793394,0.596903571442996,0.596985840042605,0.499714105625588,0.000275344386286408,0.154986136758593
"L37","Yakut",0.346644878262777,0.537257886115376,0.537232309414252,0.645305365034122,-0.000134199306688834,0.349874217509692
"L38","Slovenian",0.36410215135217,0.630149563877737,0.629848181514848,0.578105501801651,-0.00113409921007589,0.29483765171561
"L39","Spanish",0.206093471848717,0.620445752999762,0.620664731475726,0.332498544068554,0.00052820467140202,0.147924405788622
"L40","Swedish",0.219561012610221,0.52441782160804,0.524632914234396,0.419350283302319,0.000705055513833741,0.325616683134398
"L41","Tamil",0.464275725593668,0.670219255145119,0.670439344262295,0.693044057450881,0.0010675458579821,0.351647474381684
"L42","Tatar",0.304906914710776,0.521560199139958,0.521567247792767,0.584671015439728,3.25331947400898e-05,0.289830978281948
"L43","Turkish",0.319632193494579,0.544952813251784,0.545113319191694,0.586692869541965,0.000711837584691217,0.231746266851662
"L44","Ukrainian",0.365744354625405,0.588985351496892,0.588930134037086,0.621093187911216,-0.000247405815692514,0.203694165180755
"L45","Vietnamese",0.217623076923077,0.336554180384615,0.336376306620209,0.64741458842652,-0.00149784359431718,0.0780608300113466
