"","language","Lmin","L","Lrand","eta","psi","omega"
"L","Abkhazian",0.689206349206349,0.816711191005291,0.816633333333333,0.844705982242139,-0.000610998310060101,-0.000107403166049175
"L1","Mongolian",0.291175500438857,0.482120748297658,0.482137563998922,0.604057056901384,8.80578108037839e-05,-1.36702497060328e-05
"L2","Oriya",0.360705028512183,0.502300318170036,0.502263843648208,0.718443899474178,-0.000257663373296958,-5.75976760300624e-05
"L3","Latvian",0.329393405362672,0.593182959951248,0.593210985626283,0.555533958532659,0.000106231264068822,2.30827604415263e-05
"L4","Estonian",0.318924613584083,0.578004096533355,0.578026547204248,0.551985772072065,8.66480252735911e-05,2.95149768648274e-05
"L5","Basque",0.32505295661773,0.625076723637079,0.625078206256501,0.520142246440033,4.94164882318896e-06,1.14738646811226e-05
"L6","Catalan",0.237662250425405,0.676490117755575,0.676455316677818,0.351570408279198,-7.93109108462607e-05,-7.41476704637998e-06
"L7","Portuguese",0.269942974220619,0.615637808062412,0.615583952793317,0.43875910039613,-0.000155812743374338,1.30884841891398e-05
"L8","Breton",0.218833164471462,0.515196554664484,0.515079824155484,0.425164327533038,-0.000394031477436319,-3.52310457284264e-05
"L9","Panjabi",0.6605,0.744554722272727,0.744526315789474,0.88784946302954,-0.00033806650912426,-0.000823001145475372
"L10","Interlingua",0.325696989945272,0.68980135173094,0.689788364553314,0.472655976600291,-3.56701051772463e-05,3.06792186826631e-05
"L11","Spanish",0.206093471848717,0.620598216247859,0.620664731475726,0.332416845561209,0.000160443413099633,5.7731282646183e-06
"L12","Dutch",0.223802805054332,0.557498744449239,0.557544534033377,0.402009507439603,0.000137200655964048,9.43614985355247e-07
"L13","Romanian",0.266854659874138,0.571072820364099,0.571083113661033,0.467616753239067,3.38341033032371e-05,6.26143708165304e-05
"L14","Polish",0.298514589171156,0.569711083063667,0.569738419081411,0.524135751563575,0.000100787669553857,1.38208350844257e-05
"L15","Italian",0.260625907576138,0.650190227428428,0.650176279740447,0.401026303245493,-3.5804581325724e-05,1.77916837333565e-06
"L16","Modern Greek",0.291305964246164,0.627395090245478,0.627425437092904,0.464728309225433,9.02858949783871e-05,8.13169413548291e-06
"L17","Welsh",0.221555088655236,0.577690147271922,0.577657120473538,0.383807361016925,-9.27453241856684e-05,1.56100154748827e-06
"L18","Czech",0.305108341316728,0.569169090987413,0.56908869760479,0.536252068011509,-0.000304543049160448,-1.66319538109321e-06
"L19","Vietnamese",0.217623076923077,0.336366152923077,0.336376306620209,0.647779632478033,8.55024925050983e-05,0.000191279960638223
"L20","Indonesian",0.272094347708409,0.524246951282254,0.52424548074404,0.519386914069308,-5.83197146933549e-06,1.42689605959636e-05
"L21","Kirghiz",0.344439836010656,0.570075658593488,0.570074783271411,0.60431964517627,-3.87937280155451e-06,-9.9158772206762e-06
"L22","Tatar",0.304906914710776,0.521527269393914,0.521567247792767,0.584707408807582,0.000184521080917067,2.25736282377394e-05
"L23","French",0.186683201074147,0.632552399347424,0.632527620744746,0.295345524139869,-5.55767922272811e-05,5.38715426821671e-06
"L24","Hakha Chin",0.221639335055599,0.442036058834101,0.442043737574553,0.502621780499533,3.48393242787103e-05,4.21656132660672e-05
"L25","Chuvash",0.376121696373694,0.553634543306699,0.553632524707996,0.679453630657793,-1.13716933325813e-05,3.13456666282474e-05
"L26","Swedish",0.219561012610221,0.524649860353655,0.524632914234396,0.419178778014417,-5.55479517083603e-05,3.18717611047567e-05
"L27","Slovenian",0.36410215135217,0.629858630942732,0.629848181514848,0.578366638747517,-3.93211062343089e-05,-5.48809493621951e-06
"L28","Russian",0.298201467793394,0.597009069713455,0.596985840042605,0.499623510710672,-7.77472753165356e-05,-1.43954301734984e-05
"L29","Tamil",0.464275725593668,0.670366413258575,0.670439344262295,0.692901017672917,0.000353753024858633,-3.14340819346471e-06
"L30","Georgian",0.446190814546864,0.605511227704929,0.605465072372561,0.737000653192696,-0.000289785260953516,-9.04465159987925e-05
"L31","Western Frisian",0.258011785765204,0.610398268160217,0.610288632854258,0.423189074258553,-0.000311219164314888,-3.91473307946758e-05
"L32","Maltese",0.259398491145645,0.543009328390405,0.542951030927835,0.478024521403714,-0.000205596686294933,-3.06418101070939e-05
"L33","Romansh",0.332461418356264,0.656232552443881,0.656207019691868,0.506873881804206,-7.88667148149225e-05,-4.88501044201675e-05
"L34","Dhivehi",0.175306195965418,0.789337513616715,0.790129032258065,0.234602141320986,0.00128739304174618,-0.000144607868681605
"L35","Yakut",0.346644878262777,0.537209987205527,0.537232309414252,0.645363206620986,0.000117123194271799,5.35473285703127e-05
"L36","Persian",0.256369578871017,0.540460026212031,0.540449773413897,0.474567324513784,-3.6091210617301e-05,6.42316616237648e-06
"L37","Irish",0.224589468594787,0.466886408617204,0.466845521419299,0.48179436129276,-0.000168776785669141,4.07031655365842e-05
"L38","Esperanto",0.349433228840125,0.813529279208064,0.813651367607046,0.429837229449331,0.000262997907202818,3.69423740758921e-06
"L39","Ukrainian",0.365744354625405,0.58889799699547,0.588930134037086,0.621184242512289,0.000143992335443919,8.77507597637915e-06
"L40","Assamese",0.36999,0.50798649225,0.508,0.728694182023457,9.78751539743481e-05,9.15042507873514e-05
"L41","Arabic",0.35522023135415,0.585320753211454,0.585321461918101,0.607046924793998,3.07997764431723e-06,-2.5986412849071e-05
"L42","Turkish",0.319632193494579,0.545075753259661,0.545113319191694,0.586559588417565,0.00016660344371004,5.09492107218895e-05
