"","language","Lmin","L","Lrand","eta","psi","omega"
"L","Kinyarwanda",0.267068152395994,0.723559925050308,0.720604235634902,0.369163903990855,-0.00651698844841134,-0.0020105286291989
"L1","Abkhazian",0.689206349206349,0.804859788359788,0.816633333333333,0.856961029614734,0.0923944410534929,0.0855170090939711
"L2","Mongolian",0.291175500438857,0.481279523769076,0.482137563998922,0.605049621649559,0.00449324967404393,0.000833666553688537
"L3","Oriya",0.360705028512183,0.500248315189217,0.502263843648208,0.721401452209556,0.0142380992455642,0.00667729477494415
"L4","Latvian",0.329393405362672,0.593248616509651,0.593210985626283,0.555452167355994,-0.000142639786667949,-0.00322201254216419
"L5","Estonian",0.318924613584083,0.580454449332096,0.578026547204248,0.549772783483539,-0.00937045159766097,0.00187572941260371
"L6","Basque",0.32505295661773,0.625947218310777,0.625078206256501,0.519379662873817,-0.00289646306543553,-0.00127190974002621
"L7","Catalan",0.237662250425405,0.669329623318337,0.676455316677818,0.355445115584541,0.0162393025494672,0.000517097220602353
"L8","Portuguese",0.269942974220619,0.622271120721795,0.615583952793317,0.434014638268516,-0.0193471502021905,-0.00452050491825711
"L9","Breton",0.218833164471462,0.508774426519107,0.515079824155484,0.430498304497437,0.0212842826417067,-0.00603267742878469
"L10","Panjabi",0.6605,0.751345454545455,0.744526315789474,0.880102316292898,-0.0811547988497557,-0.0223367697594502
"L11","Interlingua",0.325696989945272,0.684620831742395,0.689788364553314,0.47657467530321,0.0141929558657682,0.00170684205382838
"L12","Spanish",0.206093471848717,0.617234884842318,0.620664731475726,0.334009622155752,0.00827323784213699,-0.000963904403059851
"L13","Dutch",0.223802805054332,0.56049190010966,0.557544534033377,0.399579116026941,-0.0088312782620839,0.00128365861566985
"L14","Romanian",0.266854659874138,0.574265807611627,0.571083113661033,0.465121542406605,-0.0104615262345707,-0.0017158453520456
"L15","Polish",0.298514589171156,0.569014529568696,0.569738419081411,0.52473150512893,0.00266897459915073,0.00149150296851414
"L16","Italian",0.260625907576138,0.643535278561267,0.650176279740447,0.405148533379008,0.0170478624940927,-0.000200985294791225
"L17","Modern Greek",0.291305964246164,0.621879119865,0.627425437092904,0.468579683269558,0.0165010291755168,-0.00567825098522864
"L18","Welsh",0.221555088655236,0.579441976267254,0.577657120473538,0.382642825960501,-0.00501220334127972,0.00192516889957632
"L19","Czech",0.305108341316728,0.570546227180797,0.56908869760479,0.534941716352815,-0.00552135619673287,-0.000104805871201531
"L20","German",0.234885689668281,0.767874984947205,0.76194420797808,0.306042075845886,-0.0112525967479758,0.00082704364619748
"L21","Vietnamese",0.217623076923077,0.337536153846154,0.336376306620209,0.645208058742891,-0.00976686890034788,-0.0205384128769242
"L22","Indonesian",0.272094347708409,0.523136728617827,0.52424548074404,0.520372894112762,0.00439717288938653,0.00837626343721765
"L23","Kirghiz",0.344439836010656,0.571587585942859,0.570074783271411,0.602765963505847,-0.00670464699645972,0.000185387681692217
"L24","Tatar",0.304906914710776,0.520480795143615,0.521567247792767,0.585856619711636,0.00501454342701502,-0.00111726790835909
"L25","French",0.186683201074147,0.641293016516726,0.632527620744746,0.291371269851031,-0.0196602119153051,-0.000150992904145886
"L26","Hakha Chin",0.221639335055599,0.445899387846793,0.442043737574553,0.497861678821415,-0.0174935265728594,-0.00710765943488372
"L27","Chuvash",0.376121696373694,0.555433681622618,0.553632524707996,0.677298090745504,-0.0101467439002077,-0.00553446275589705
"L28","Swedish",0.219561012610221,0.530034701810941,0.524632914234396,0.415012537028027,-0.0177066047308414,0.00175515520615911
"L29","Slovenian",0.36410215135217,0.628070619650027,0.629848181514848,0.579894415162366,0.00668894983580215,-0.00340897405641482
"L30","Russian",0.298201467793394,0.596140320171827,0.596985840042605,0.500373138524064,0.00282986644988543,-0.000502008387245447
"L31","Tamil",0.464275725593668,0.665765699208443,0.670439344262295,0.697611877805742,0.022669591676909,0.00259266501064995
"L32","Georgian",0.446190814546864,0.601652671016084,0.605465072372561,0.741686070888749,0.0239360798695373,-0.00304425312632899
"L33","Western Frisian",0.258011785765204,0.611039270042929,0.610288632854258,0.422777901736598,-0.00213081613189702,0.00233976134143351
"L34","Maltese",0.259398491145645,0.538780165793278,0.542951030927835,0.481627505341679,0.0147093203177124,-0.00374123392166822
"L35","Romansh",0.332461418356264,0.661541998551774,0.656207019691868,0.502957568499408,-0.0164789230738475,0.00040053819744582
"L36","Dhivehi",0.175306195965418,0.757528458213257,0.790129032258065,0.240363717698405,0.0530243382652928,-0.00590151120375195
"L37","Yakut",0.346644878262777,0.542610967317394,0.537232309414252,0.639058131241683,-0.028221472269424,0.00550178500500827
"L38","Persian",0.256369578871017,0.540087678662782,0.540449773413897,0.47495485631807,0.00127462159654531,-0.00054199022282875
"L39","Irish",0.224589468594787,0.470391960792932,0.466845521419299,0.478033400982231,-0.0146392188442126,0.00183667927823178
"L40","English",0.189557102178509,0.666884814123785,0.669088732264497,0.284587466877069,0.00459598074962647,-0.000759974406926528
"L41","Esperanto",0.349433228840125,0.820656646382691,0.813651367607046,0.425986498347814,-0.015090489127058,-0.00108604542498313
"L42","Ukrainian",0.365744354625405,0.587199637968657,0.588930134037086,0.622978693396532,0.00775361258674464,-0.0015953351784903
"L43","Assamese",0.36999,0.505816,0.508,0.732004760577539,0.0158249402217231,0.0135581001620214
"L44","Arabic",0.35522023135415,0.58268073531791,0.585321461918101,0.609679316154611,0.011476368873468,0.000617998390676248
"L45","Turkish",0.319632193494579,0.543633412102678,0.545113319191694,0.588205484219871,0.0065633302319209,0.00331377198173415
