"","language","Lmin","L","Lrand","corr","corr_min","eta","psi","omega","family","script"
"1","Arabic",0.355358169941675,0.474551663938898,0.588279968859213,-0.104050331864574,-0.887549513351872,0.748829257055202,0.48826818893228,0.11723327014357,"Afro-Asiatic","Arabic"
"2","Maltese",0.264093844946019,0.36012082879942,0.546268373774325,-0.193612421797956,-0.809270838260685,0.733347876118306,0.659689397720833,0.23924304774663,"Afro-Asiatic","Latin"
"3","Vietnamese",0.216194751706479,0.314904051172708,0.339739557214557,0.00316740057381679,-0.802011457433782,0.686541665314771,0.201024283778774,-0.00394932085378382,"Austroasiatic","Latin"
"4","Indonesian",0.279304540685323,0.392303777425922,0.52863081326977,-0.190856036060869,-0.91287085313403,0.711959855492506,0.546781670582567,0.209072329788633,"Austronesian","Latin"
"5","Esperanto",0.356288760626939,0.502123290200142,0.81682033050172,-0.176286025295645,-0.914076886941504,0.709564299407273,0.683334348581453,0.192856889627192,"Conlang","Latin"
"6","Interlingua",0.329212414778258,0.414735116706006,0.691180339489906,-0.226702272110132,-0.786218215687181,0.793789581632239,0.763728507171244,0.288345229844346,"Conlang","Latin"
"7","Tamil",0.464956816474805,0.564533312626184,0.675716325227313,-0.275476990783036,-0.866602462806818,0.823612718816975,0.527534976994511,0.31788161539583,"Dravidian","Tamil"
"8","Persian",0.270562021310692,0.368402636257991,0.550914378666709,-0.239374449610908,-0.988018937368447,0.734419340911607,0.651008410023633,0.242277187771798,"Indo-European","Arabic"
"9","Assamese",0.36497108693382,0.440468836183122,0.502212190435392,-0.188032255373541,-0.683866980230209,0.828596842619952,0.449889666265781,0.274954429456799,"Indo-European","Assamese"
"10","Russian",0.305590988273215,0.427695778172957,0.602270289919767,-0.129751302115928,-0.94214270846601,0.714505505709332,0.588428349325121,0.137719371969867,"Indo-European","Cyrillic"
"11","Ukrainian",0.371808762442549,0.435270370983769,0.592155698687562,-0.170800398649811,-0.856017175261481,0.854201864469229,0.711992326180316,0.199529172528154,"Indo-European","Cyrillic"
"12","Panjabi",0.65030612244898,0.717551020408163,0.738511904761905,-0.130568629853197,-0.447020678561439,0.906285551763367,0.237636170828112,0.292086330935251,"Indo-European","Devanagari"
"13","Modern Greek",0.296111547705028,0.393642555438226,0.629903924509744,-0.199468463018922,-0.836786521321526,0.75223459357787,0.70780936141553,0.238374373793574,"Indo-European","Greek"
"14","Breton",0.227663695651964,0.318207233831106,0.518148544653466,-0.232330657361398,-0.877369092431387,0.715457322924346,0.688302028521035,0.264803785961456,"Indo-European","Latin"
"15","Catalan",0.247360232349127,0.365057661846284,0.680127594206466,-0.203828670772302,-0.939094986649157,0.677592222275515,0.728035337526318,0.217047980949825,"Indo-European","Latin"
"16","Czech",0.310914292841825,0.383307110623247,0.573084533905574,-0.201559504950372,-0.914566024432214,0.811136251389354,0.723870956948851,0.220388139910954,"Indo-European","Latin"
"17","Dutch",0.230165312407811,0.306412741944657,0.562119625942252,-0.265840387044549,-0.95037301305154,0.751161035102721,0.770307459707299,0.279722154768437,"Indo-European","Latin"
"18","English",0.201263410240324,0.344486332035537,0.673811617793538,-0.150116091798264,-0.826905082686752,0.584242077330261,0.696913628057547,0.181539689308127,"Indo-European","Latin"
"19","French",0.215940728814133,0.335982830880283,0.634724716061659,-0.194007679979784,-0.855632660636179,0.642713582263603,0.713355558661325,0.226741788743239,"Indo-European","Latin"
"20","German",0.260075268589693,0.389486966870855,0.767666839198809,-0.196247036485236,-0.870849688383794,0.667738052133405,0.745047582004038,0.225351216292504,"Indo-European","Latin"
"21","Irish",0.231291878322636,0.30503784357987,0.470124179215157,-0.223747446588917,-0.924374552740489,0.758239946913589,0.691222816253733,0.242052797673383,"Indo-European","Latin"
"22","Italian",0.27082747145361,0.387774602325991,0.653650991550602,-0.176346679391152,-0.897834473307938,0.698414671381529,0.694514248124694,0.196413353055412,"Indo-European","Latin"
"23","Latvian",0.329972545725113,0.395628734383487,0.591690311600924,-0.21808044797793,-0.735373450511418,0.834045955330604,0.749133619421431,0.296557412871331,"Indo-European","Latin"
"24","Polish",0.308422747637971,0.389697049601032,0.57688338805476,-0.162270749127975,-0.948209820691203,0.791442347212357,0.697258034410999,0.171133799278399,"Indo-European","Latin"
"25","Portuguese",0.273744001432789,0.35895116729318,0.617385656086099,-0.214759377188997,-0.917316536487493,0.762621844907397,0.752046456805842,0.234116979959104,"Indo-European","Latin"
"26","Romanian",0.272287706518285,0.369293362526619,0.573338428441732,-0.214679128959286,-0.773172347522756,0.737320878597319,0.677776371408266,0.277660122800716,"Indo-European","Latin"
"27","Romansh",0.339175276807068,0.415077639751553,0.659571665828496,-0.253958827124242,-0.778140070571581,0.817136950595757,0.763098569318119,0.326366468877123,"Indo-European","Latin"
"28","Slovenian",0.366769517271226,0.442430809002433,0.630014833402445,-0.247511733929761,-0.847733429216306,0.828987289782546,0.71258257186429,0.291968825811877,"Indo-European","Latin"
"29","Spanish",0.230019599549989,0.369130359505752,0.625933703793511,-0.116258549729527,-0.911757127055361,0.623139207129901,0.648633987865719,0.12751043702285,"Indo-European","Latin"
"30","Swedish",0.231751858099628,0.286556369239567,0.528486856168592,-0.272014044556355,-0.895438850059694,0.808747886897877,0.815308232946616,0.303777354018336,"Indo-European","Latin"
