"","language","family","script","Lmin","L","Lrand","eta","psi","omega"
"1","Esperanto","","Latin",0.353923407626512,0.502332485094351,0.81629819651867,0.704560063560364,0.679028612646842,0.189625882857821
"2","Interlingua","","Latin",0.334203704068761,0.42199439989818,0.69257521945681,0.791962415021144,0.755028812113155,0.278881210016652
"3","Arabic","Afro-Asiatic","Arabic",0.358869367116662,0.482209998382139,0.589677479628755,0.744218013564015,0.465613968577408,0.109697632197992
"4","Maltese","Afro-Asiatic","Latin",0.264425881162882,0.360531938923021,0.54595945105002,0.733432610583056,0.658633754409229,0.237100272187424
"5","Vietnamese","Austroasiatic","Latin",0.226503165723166,0.330192307692308,0.348350967702449,0.685973478020071,0.149027390852961,-0.0308398357083321
"6","Indonesian","Austronesian","Latin",0.278986514106147,0.393051921688921,0.530309729058977,0.709795573336364,0.5461405839322,0.209180663139973
"7","Tamil","Dravidian","Tamil",0.473845934573111,0.572663588390501,0.68090780403303,0.827442051807201,0.522762669557957,0.308966359809014
"8","Panjabi","Indo-European","Arabic",0.664954545454545,0.725818181818182,0.749684210526316,0.916144789579158,0.281672643081006,0.360824742268042
"9","Persian","Indo-European","Arabic",0.269733854905734,0.368768826992221,0.551210829272929,0.731444295619446,0.648159597035839,0.239927939224084
"10","Assamese","Indo-European","Assamese",0.373914607765825,0.451715,0.511592381315456,0.827766639951795,0.434909570162907,0.27137438204865
"11","Russian","Indo-European","Cyrillic",0.305418500678247,0.42793849858011,0.602131403146844,0.713697182402654,0.587075597715773,0.137834292363191
"12","Ukrainian","Indo-European","Cyrillic",0.372114682892621,0.435559412814918,0.59218830183653,0.85433736924139,0.711711334476365,0.199097576464773
"13","Modern Greek","Indo-European","Greek",0.296525129012577,0.39406185730106,0.630493517285192,0.75248371167787,0.707946225710246,0.238842545830408
"14","Breton","Indo-European","Latin",0.223635287389969,0.319062426934767,0.518819770197791,0.700913891799901,0.676720338965361,0.262225737878164
"15","Catalan","Indo-European","Latin",0.246775726569076,0.365090620566483,0.680241020285342,0.675930064119898,0.727048749432631,0.216913346740662
"16","Czech","Indo-European","Latin",0.312463476442837,0.385502554686253,0.573711318513957,0.810535423551579,0.72042227157026,0.219024876782707
"17","Dutch","Indo-European","Latin",0.231492504941678,0.309953425630545,0.565319334726363,0.746862224447909,0.764965204446049,0.277171660930886
"18","English","Indo-European","Latin",0.196869791132622,0.34451338703475,0.673762564525594,0.571443080418713,0.690405046711694,0.180828104845543
"19","French","Indo-European","Latin",0.191805409307943,0.336298486774885,0.635982695731549,0.570342766473213,0.674695033079335,0.227720150495473
"20","German","Indo-European","Latin",0.24392193391681,0.38974775530366,0.767668246784926,0.625845641437409,0.721571650617862,0.223070621014215
"21","Irish","Indo-European","Latin",0.231913966954381,0.306280603050415,0.470630868745014,0.757194431004195,0.688473520147905,0.237477908402528
"22","Italian","Indo-European","Latin",0.268088838914461,0.388046773089968,0.653952223889201,0.690867332254056,0.689118120955272,0.195080632037573
"23","Latvian","Indo-European","Latin",0.335620461812439,0.401167072929705,0.594942852366917,0.836610191762294,0.747238906069329,0.29781554217013
"24","Polish","Indo-European","Latin",0.307710317284487,0.389780595789548,0.576912346708658,0.789444935454476,0.695134993296257,0.171193054870788
