"","language","Lmin","L","Lrand","corr","corr_min","eta","psi","omega","family","script"
"1","Arabic",0.351399345335516,0.463149154391708,0.583880725340003,-0.121738209180733,-0.888372017517507,0.758717449882938,0.519317164006705,0.137035168578274,"Afro-Asiatic","Arabic"
"2","Maltese",0.259054112259703,0.350045339136743,0.543215438073964,-0.211728963136528,-0.809731552381471,0.740058738958112,0.679790250779884,0.261480440664341,"Afro-Asiatic","Latin"
"3","Vietnamese",0.208694029850746,0.290490405117271,0.330608108108108,-0.0702432722983578,-0.802966229120852,0.718419700528479,0.32906538411543,0.0874797342040965,"Austroasiatic","Latin"
"4","Indonesian",0.272296199954761,0.376314182311694,0.522505307855626,-0.218050526864894,-0.913736366481022,0.723587397854762,0.58427579543529,0.238636148087932,"Austronesian","Latin"
"5","Esperanto",0.351753183298421,0.493108346604769,0.81416693684931,-0.181619785533436,-0.914825906931623,0.713338530406899,0.694310209804797,0.198529342203042,"Conlang","Latin"
"6","Interlingua",0.320620082612116,0.397727838971938,0.688455911041748,-0.240500463083526,-0.786534493899325,0.806129345737697,0.790374535593743,0.30577230235793,"Conlang","Latin"
"7","Tamil",0.454470414660662,0.539600869700264,0.664785123966942,-0.312879665508138,-0.867337052289251,0.842234399868758,0.595223485221724,0.360735961506917,"Dravidian","Tamil"
"8","Persian",0.258663910188703,0.356296547144435,0.540239039268014,-0.248344349751549,-0.988711019416166,0.725979278389825,0.653262568768167,0.251179914934291,"Indo-European","Arabic"
"9","Assamese",0.360584666298952,0.427126309983453,0.498264675592173,-0.217322882992885,-0.684190612908522,0.84421085255301,0.516693498016947,0.317634996582366,"Indo-European","Assamese"
"10","Russian",0.298364281166593,0.418111390245356,0.597140635309643,-0.146047570397234,-0.943032454668747,0.713599983467341,0.599208212369344,0.154870142246096,"Indo-European","Cyrillic"
"11","Ukrainian",0.365424436899636,0.428419012918185,0.588898653832741,-0.17509198110554,-0.857390348547141,0.852960363291395,0.718112555072042,0.204215012919419,"Indo-European","Cyrillic"
"12","Panjabi",0.64530612244898,0.699285714285714,0.732678571428571,-0.177547407171744,-0.44708495646508,0.922807529549103,0.382189781021899,0.397122302158273,"Indo-European","Devanagari"
"13","Modern Greek",0.290892951425554,0.383962513199578,0.626832960605539,-0.213838819552113,-0.837285087594713,0.757607686754443,0.722957792371317,0.255395471292117,"Indo-European","Greek"
"14","Breton",0.222612391139472,0.307724455370453,0.514374408703879,-0.248943332901022,-0.878114014521424,0.723414688869889,0.708282575842169,0.283497733533722,"Indo-European","Latin"
"15","Catalan",0.23810838636078,0.354976710624654,0.676342653453332,-0.214622080917147,-0.94002049114046,0.67077185413595,0.733319977373671,0.228316385589383,"Indo-European","Latin"
"16","Czech",0.303406309712567,0.373372023688526,0.568420221678051,-0.212480860981687,-0.915808504398702,0.812611257574226,0.735992297698426,0.232014509541159,"Indo-European","Latin"
"17","Dutch",0.222314122048165,0.294957724851342,0.554314425427873,-0.276798158843521,-0.951499881300918,0.75371520498475,0.781194167403832,0.290907192195415,"Indo-European","Latin"
"18","English",0.192564301653736,0.328334120652419,0.669127514839068,-0.173533211575219,-0.827378626923817,0.586488852486912,0.715106379925546,0.209738571831875,"Indo-European","Latin"
"19","French",0.208549830132167,0.323550446858316,0.631221800640278,-0.209721481687401,-0.856335417770485,0.644566657710386,0.727919936143618,0.244905766286559,"Indo-European","Latin"
"20","German",0.248474733280307,0.373005655272995,0.761893779137137,-0.215651927864723,-0.871270541319244,0.666142000175447,0.757447794355071,0.247514311155512,"Indo-European","Latin"
"21","Irish",0.223834594785996,0.295111760279733,0.466292758773878,-0.23783518254915,-0.925489591996549,0.758473991595,0.706022827520466,0.256983098033626,"Indo-European","Latin"
"22","Italian",0.263002107706123,0.376473503386989,0.649846625209106,-0.191323455580904,-0.898673669612278,0.69859393912186,0.706674411690504,0.212895361297776,"Indo-European","Latin"
"23","Latvian",0.323626595600217,0.385629413362303,0.589914494552476,-0.22975659185094,-0.735729977335552,0.839216575256843,0.767158710530808,0.312283852675141,"Indo-European","Latin"
"24","Polish",0.299044542341341,0.377253208288056,0.569711720599842,-0.174548921086272,-0.949910068885035,0.792689195933892,0.711052272943037,0.183753101271103,"Indo-European","Latin"
"25","Portuguese",0.265339306407394,0.348143777733812,0.611932400729864,-0.222182933760699,-0.918440768554108,0.76215438384273,0.761090244777419,0.241913187401817,"Indo-European","Latin"
"26","Romanian",0.266723403617168,0.360617857892685,0.571096839483108,-0.228922989037936,-0.773623752025697,0.739628938998749,0.691515608093762,0.295909980062675,"Indo-European","Latin"
"27","Romansh",0.332671835038363,0.407634727804165,0.65788485541918,-0.260999797836596,-0.778508080295628,0.816102781110898,0.769496028547621,0.335256376192634,"Indo-European","Latin"
"28","Slovenian",0.363643172141119,0.439049194038929,0.629384369210039,-0.250992548341816,-0.848271527155571,0.828251542374716,0.71624263482845,0.295887036528794,"Indo-European","Latin"
"29","Spanish",0.222462987266035,0.355659656527039,0.620624450073324,-0.136946644127677,-0.912733497187368,0.625494017056505,0.665470715518563,0.150040120746839,"Indo-European","Latin"
"30","Swedish",0.218148242283681,0.269287223395975,0.5220384351407,-0.291980256501665,-0.896140508943517,0.810095033595054,0.831718882957323,0.325819727584782,"Indo-European","Latin"
"31","Welsh",0.222697402436154,0.31866035606472,0.579093601364085,-0.201352195533872,-0.927582801839421,0.698855060561486,0.730740804988297,0.217071937011537,"Indo-European","Latin"
"32","Western Frisian",0.258386234997543,0.32137761007087,0.609922462125731,-0.309134097828784,-0.801043023400234,0.803995757329091,0.820811142032432,0.385914475001086,"Indo-European","Latin"
"33","Oriya",0.351955882352941,0.393694117647059,0.490674083769634,-0.327810792558468,-0.723643229495969,0.893983086301697,0.699114933239791,0.45300056602035,"Indo-European","Odia"
"34","Dhivehi",0.143726635514019,0.31518691588785,0.706261261261261,-0.171722212253647,-0.823708172598795,0.456004447739066,0.695200486288159,0.208474576271186,"Indo-European","Thaana"
"35","Georgian",0.439972603796882,0.519912023460411,0.60503996925442,-0.147298844515787,-0.65085765252988,0.846244333548067,0.515716389839079,0.226314992138815,"Kartvelian","Georgian"
"36","Basque",0.325092769461503,0.443431367626416,0.625338007111686,-0.208616857818888,-0.931498559187679,0.73312984420035,0.605860199178946,0.223958325819435,"Language isolate","Latin"
