"","language","Lmin","L","Lrand","corr","corr_min","eta","psi","omega","family","script"
"1","Maltese",0.259398491145645,0.350481342609324,0.542951030927835,-0.209535203038875,-0.808145546921823,0.740120684354923,0.678779630986046,0.259279041797584,"Afro-Asiatic","Latin"
"2","Vietnamese",0.217623076923077,0.300838461538462,0.336376306620209,-0.0609186488852665,-0.780399707207976,0.723388478355366,0.299257924793988,0.0780608300113466,"Austroasiatic","Latin"
"3","Indonesian",0.272094347708409,0.377084536268495,0.52424548074404,-0.217731875888107,-0.912629602378911,0.721573868822532,0.583621983783628,0.238576389940185,"Austronesian","Latin"
"4","Esperanto",0.349433228840125,0.493324924703424,0.813651367607046,-0.178573061572703,-0.914220071157239,0.708322672020266,0.690034309634021,0.195328310115377,"Conlang","Latin"
"5","Interlingua",0.325696989945272,0.404997136311569,0.689788364553314,-0.232109559526444,-0.780831836119483,0.804195784966512,0.782197129905461,0.297259344188582,"Conlang","Latin"
"6","Tamil",0.464275725593668,0.549207124010554,0.670439344262295,-0.303688061824052,-0.86361508029608,0.845356342436566,0.588038864638872,0.351647474381684,"Dravidian","Tamil"
"7","Persian",0.256369578871017,0.35665170754905,0.540449773413897,-0.245812157144751,-0.988814558616063,0.718823360282828,0.646993593342895,0.248592777081264,"Indo-European","Arabic"
"8","Assamese",0.36999,0.43941,0.508,-0.207725510339417,-0.666427403834511,0.842015429780842,0.496992971523802,0.311700132893995,"Indo-European","Assamese"
"9","Russian",0.298201467793394,0.418353413214524,0.596985840042605,-0.14617366016095,-0.943140226719962,0.71279797982784,0.597864023085809,0.154986136758593,"Indo-European","Cyrillic"
"10","Ukrainian",0.365744354625405,0.428719252132513,0.588930134037086,-0.174589705976371,-0.857116873335288,0.853109238286217,0.717836424555764,0.203694165180756,"Indo-European","Cyrillic"
"11","Panjabi",0.6605,0.709545454545454,0.744526315789474,-0.202851284979547,-0.442722929467862,0.930877642536835,0.416308401901888,0.458190148911798,"Indo-European","Devanagari"
"12","Modern Greek",0.291305964246164,0.384390655487001,0.627425437092904,-0.21418751589741,-0.837198145135145,0.757838308730725,0.723060700850019,0.255838497901634,"Indo-European","Greek"
"13","Breton",0.218833164471462,0.308580521133713,0.515079824155484,-0.24616460283879,-0.875956640470143,0.709160654948271,0.697051920322155,0.281023730474454,"Indo-European","Latin"
"14","Catalan",0.237662250425405,0.355009773847733,0.676455316677818,-0.214479285548362,-0.939916024261583,0.669452696610377,0.732567507448204,0.228189838253754,"Indo-European","Latin"
"15","Czech",0.305108341316728,0.375606405343552,0.56908869760479,-0.21105657954137,-0.915534646557312,0.812308674655475,0.732942007435224,0.230528227779262,"Indo-European","Latin"
"16","Dutch",0.223802805054332,0.298516380470541,0.557544534033377,-0.273993421930411,-0.950625896107322,0.749716999454297,0.776133551999125,0.288224235266865,"Indo-European","Latin"
"17","English",0.189557102178509,0.328361615762905,0.669088732264497,-0.172815646835336,-0.826901705427461,0.577281548996211,0.710541484907874,0.208991764923257,"Indo-European","Latin"
"18","French",0.186683201074147,0.3238765175516,0.632527620744746,-0.209806417939329,-0.853577964114188,0.5764023970784,0.692284325149084,0.245796431913584,"Indo-European","Latin"
