"","language","family","script","Lmin","L","Lrand","eta","psi","omega"
"1","Arabic","Afro-Asiatic","Arabic",0.35522023135415,0.471034217764116,0.585321461918101,0.754128294628559,0.496682455256238,0.496682455256237
"2","Maltese","Afro-Asiatic","Latin",0.259398491145645,0.350481342609324,0.542951030927835,0.740120684354923,0.678779630986046,0.678779630986047
"3","Vietnamese","Austroasiatic","Latin",0.217623076923077,0.300838461538462,0.336376306620209,0.723388478355366,0.299257924793988,0.299257924793987
"4","Indonesian","Austronesian","Latin",0.272094347708409,0.377084536268495,0.52424548074404,0.721573868822532,0.583621983783628,0.583621983783628
"5","Esperanto","Conlang","Latin",0.349433228840125,0.493324924703424,0.813651367607046,0.708322672020266,0.690034309634021,0.690034309634021
"6","Interlingua","Conlang","Latin",0.325696989945272,0.404997136311569,0.689788364553314,0.804195784966512,0.782197129905461,0.782197129905459
"7","Tamil","Dravidian","Tamil",0.464275725593668,0.549207124010554,0.670439344262295,0.845356342436566,0.588038864638872,0.588038864638872
"8","Panjabi","Indo-European","Arabic",0.6605,0.709545454545454,0.744526315789474,0.930877642536835,0.416308401901888,0.416308401901888
"9","Persian","Indo-European","Arabic",0.256369578871017,0.35665170754905,0.540449773413897,0.718823360282828,0.646993593342895,0.646993593342893
"10","Assamese","Indo-European","Assamese",0.36999,0.43941,0.508,0.842015429780842,0.496992971523802,0.496992971523803
"11","Russian","Indo-European","Cyrillic",0.298201467793394,0.418353413214524,0.596985840042605,0.71279797982784,0.597864023085809,0.597864023085812
"12","Ukrainian","Indo-European","Cyrillic",0.365744354625405,0.428719252132513,0.588930134037086,0.853109238286217,0.717836424555764,0.717836424555765
"13","Modern Greek","Indo-European","Greek",0.291305964246164,0.384390655487001,0.627425437092904,0.757838308730725,0.723060700850019,0.723060700850019
"14","Breton","Indo-European","Latin",0.218833164471462,0.308580521133713,0.515079824155484,0.709160654948271,0.697051920322155,0.697051920322154
"15","Catalan","Indo-European","Latin",0.237662250425405,0.355009773847733,0.676455316677818,0.669452696610377,0.732567507448204,0.732567507448204
"16","Czech","Indo-European","Latin",0.305108341316728,0.375606405343552,0.56908869760479,0.812308674655475,0.732942007435224,0.732942007435227
"17","Dutch","Indo-European","Latin",0.223802805054332,0.298516380470541,0.557544534033377,0.749716999454297,0.776133551999125,0.776133551999127
"18","English","Indo-European","Latin",0.189557102178509,0.328361615762905,0.669088732264497,0.577281548996211,0.710541484907874,0.710541484907875
"19","French","Indo-European","Latin",0.186683201074147,0.3238765175516,0.632527620744746,0.5764023970784,0.692284325149084,0.692284325149085
"20","German","Indo-European","Latin",0.234885689668281,0.373274069005316,0.76194420797808,0.62925798808954,0.737432610365872,0.737432610365873
"21","Irish","Indo-European","Latin",0.224589468594787,0.296380378884445,0.466845521419299,0.757774416242149,0.70365689751553,0.70365689751553
"22","Italian","Indo-European","Latin",0.260625907576138,0.376755984464758,0.650176279740447,0.691763152604991,0.701886879883054,0.701886879883053
"23","Latvian","Indo-European","Latin",0.329393405362672,0.391281704987153,0.593210985626283,0.841831859666137,0.765412526478936,0.765412526478938
"24","Polish","Indo-European","Latin",0.298514589171156,0.377337684033089,0.569738419081411,0.791107280832783,0.709379906300955,0.709379906300954
"25","Portuguese","Indo-European","Latin",0.269942974220619,0.35650995451495,0.615583952793317,0.757182151022656,0.749546536259087,0.749546536259085
"26","Romanian","Indo-European","Latin",0.266854659874138,0.360779142942763,0.571083113661033,0.739662103794272,0.691269893070499,0.691269893070498
"27","Romansh","Indo-European","Latin",0.332461418356264,0.408394053222303,0.656207019691868,0.814070174952557,0.765455856225441,0.765455856225441
"28","Slovenian","Indo-European","Latin",0.36410215135217,0.439840542383153,0.629848181514848,0.827804888970409,0.714997093335246,0.714997093335245
"29","Spanish","Indo-European","Latin",0.206093471848717,0.355829345763775,0.620664731475726,0.579191891569103,0.638817524278516,0.638817524278516
"30","Swedish","Indo-European","Latin",0.219561012610221,0.27098906482096,0.524632914234396,0.810220931812443,0.831423176185873,0.831423176185872
"31","Welsh","Indo-European","Latin",0.221555088655236,0.320267272013081,0.577657120473538,0.691781858516553,0.722798033884253,0.722798033884254
"32","Western Frisian","Indo-European","Latin",0.258011785765204,0.321684065455352,0.610288632854258,0.802065795208045,0.819254997266249,0.819254997266252
"33","Oriya","Indo-European","Odia",0.360705028512183,0.405075168481078,0.502263843648208,0.890464428774364,0.686560388865505,0.686560388865506
"34","Dhivehi","Indo-European","Thaana",0.175306195965418,0.353414985590778,0.790129032258065,0.496034981856729,0.71030876032623,0.710308760326231
"35","Georgian","Kartvelian","Georgian",0.446190814546864,0.526586137846392,0.605465072372561,0.847327307877253,0.495239692860416,0.495239692860414
"36","Basque","Language isolate","Latin",0.32505295661773,0.444053017462428,0.625078206256501,0.732013844822557,0.603366513358546,0.603366513358544
"37","Mongolian","Mongolic","Mongolian",0.291175500438857,0.363598063365327,0.482137563998922,0.800816972851412,0.620748950988946,0.620748950988947
"38","Kinyarwanda","Niger-Congo","Latin",0.267068152395994,0.44344062686693,0.720604235634902,0.60226360918468,0.611116996003097,0.611116996003097
"39","Abkhazian","Northwest Caucasian","Cyrillic",0.689206349206349,0.754126984126984,0.816633333333333,0.913912860450432,0.490526787827452,0.490526787827452
"40","Hakha Chin","Sino-Tibetan","Latin",0.221639335055599,0.290633494327755,0.442043737574553,0.762607680743263,0.686965602848054,0.686965602848053
"41","Chuvash","Turkic","Cyrillic",0.376121696373694,0.454622618315919,0.553632524707996,0.827327284698197,0.557768263047109,0.557768263047109
"42","Kirghiz","Turkic","Cyrillic",0.344439836010656,0.443842104423565,0.570074783271411,0.776041372771503,0.559455352020295,0.559455352020296
"43","Tatar","Turkic","Cyrillic",0.304906914710776,0.384455375434833,0.521567247792767,0.793087921754025,0.632842525475329,0.632842525475328
"44","Yakut","Turkic","Cyrillic",0.346644878262777,0.431675806097829,0.537232309414252,0.803021326111148,0.553848187567675,0.553848187567675
"45","Turkish","Turkic","Latin",0.319632193494579,0.41110897970531,0.545113319191694,0.77748774479141,0.594304020223802,0.594304020223802
"46","Estonian","Uralic","Latin",0.318924613584083,0.396715121675612,0.578026547204248,0.803913428449705,0.699768708767849,0.699768708767848
