"","language","Lmin","L","Lrand","corr","corr_min","eta","psi","omega","family","script"
"1","Indonesian",2.27183542422261,3.4686366609192,4.34638816362054,-0.122359874379625,-0.267295373444369,0.654964946262363,0.423103971295556,0.457770266663787,"Austronesian","Latin"
"2","Czech",2.70031847133758,3.25331210191083,4.33763586956522,-0.190490327302139,-0.204457584438021,0.830021340329307,0.662256303407114,0.931686285083175,"Indo-European","Latin"
"3","English",2.13735869864902,2.99652605459057,4.33156237701692,-0.187552392743138,-0.186453326779076,0.713278863494167,0.60843773783999,1.00589459026046,"Indo-European","Latin"
"4","French",1.77613356099412,2.65333902485297,4.23529411764706,-0.151810704418395,-0.175335034928139,0.669395634842608,0.643290690603472,0.865832116670892,"Indo-European","Latin"
"5","German",2.62815786620406,3.52434132061151,5.36894609814964,-0.219583558181165,-0.176151487723595,0.745716043685587,0.67301981088437,1.24656090629062,"Indo-European","Latin"
"6","Icelandic",2.53524565151053,3.23643576441868,4.91125506072875,-0.244577920529328,-0.153018093895965,0.7833449621905,0.704887484793732,1.59835947698848,"Indo-European","Latin"
"7","Italian",1.86527618611047,2.58881503552601,4.2000336473755,-0.173985405097171,-0.181424547528323,0.720513501549358,0.690101065562712,0.95899594331362,"Indo-European","Latin"
"8","Polish",2.91752242298193,3.57552320291174,4.72260881429936,-0.172690834885165,-0.18153081744613,0.815970770545144,0.635474078639765,0.951303130315113,"Indo-European","Latin"
"9","Portuguese",1.76464133863668,2.44022310611256,4.27474462839028,-0.176573599208208,-0.16023481306924,0.723147540983607,0.730854993006204,1.10196776734097,"Indo-European","Latin"
"10","Spanish",1.92022008253095,2.72627235213205,4.38768430182134,-0.160946896611217,-0.163760928040979,0.704339051463168,0.673327676527398,0.982816222016901,"Indo-European","Latin"
"11","Swedish",2.57052783282291,3.43001261034048,5.07976720301267,-0.222854372951162,-0.184074742509064,0.749422268907563,0.657471986240767,1.21067328365372,"Indo-European","Latin"
"12","Japanese-romaji",0.997210317781192,1.83177003315275,2.95091771499278,-0.144985864402558,-0.187216698946835,0.544397113028892,0.572832801594205,0.774428056995762,"Japonic","Latin"
"13","Chinese-pinyin",1.82123844214066,2.66943121322499,3.57826961770624,-0.12223728216019,-0.175735018499534,0.682257116466538,0.517257984445662,0.695577257190285,"Sino-Tibetan","Latin"
"14","Turkish",3.2055776326994,3.98346579619642,4.98056823200353,-0.218357110418231,-0.198664782481585,0.804720762447671,0.561750826284948,1.09912339615841,"Turkic","Latin"
"15","Finnish",3.30732124795768,3.93425659379133,4.89330130016959,-0.225098473990874,-0.190562370987915,0.840647062313366,0.604701619696104,1.18123254252094,"Uralic","Latin"
