"","language","eta","psi","omega","t"
"1","Abkhazian",0.996230581298436,0.340961149742461,0.287878787878788,8
"2","Abkhazian",0.992914616852236,0.527327668808534,0.461853994276763,16
"3","Abkhazian",0.985154985820886,0.487773820560283,0.458411425890252,32
"4","Abkhazian",0.974089462429643,0.514360902428781,0.493603393665143,64
"5","Abkhazian",0.959284235939373,0.570422550350107,0.585284748071785,128
"6","Abkhazian",NA,NA,NA,256
"7","Abkhazian",NA,NA,NA,512
"8","Abkhazian",NA,NA,NA,1024
"9","Abkhazian",NA,NA,NA,2048
"10","Abkhazian",NA,NA,NA,4096
"11","Abkhazian",NA,NA,NA,8192
"12","Abkhazian",NA,NA,NA,16384
"13","Abkhazian",NA,NA,NA,32768
"14","Abkhazian",NA,NA,NA,65536
"15","Abkhazian",NA,NA,NA,131072
"16","Abkhazian",NA,NA,NA,262144
"17","Abkhazian",NA,NA,NA,524288
"18","Abkhazian",NA,NA,NA,1048576
"19","Abkhazian",NA,NA,NA,2097152
"20","Abkhazian",NA,NA,NA,4194304
"21","Abkhazian",NA,NA,NA,8388608
"22","Arabic",0.999226190476191,0.818181818181818,0.833333333333333,8
"23","Arabic",0.997147610414743,0.759926734798364,0.770723104056437,16
"24","Arabic",0.993832748141864,0.696030820628247,0.722484067883647,32
"25","Arabic",0.987941471416642,0.697722761976534,0.697072814326762,64
"26","Arabic",0.980946025260478,0.718808582683424,0.677859042484509,128
"27","Arabic",0.969942631520683,0.717937566920564,0.620573576413915,256
"28","Arabic",0.955901198707326,0.698193210919012,0.527471963740824,512
"29","Arabic",0.935343560627265,0.664587623894767,0.410417887544647,1024
"30","Arabic",0.911992184339589,0.631099573540202,0.329813203871043,2048
"31","Arabic",0.885651599385571,0.59983324482709,0.270121785690151,4096
"32","Arabic",0.854086115536657,0.567697461108026,0.220155059943251,8192
"33","Arabic",0.826683716090125,0.549916851396722,0.202304696480017,16384
"34","Arabic",0.801741572003516,0.534135827418833,0.163457014653415,32768
"35","Arabic",NA,NA,NA,65536
"36","Arabic",NA,NA,NA,131072
"37","Arabic",NA,NA,NA,262144
"38","Arabic",NA,NA,NA,524288
"39","Arabic",NA,NA,NA,1048576
"40","Arabic",NA,NA,NA,2097152
"41","Arabic",NA,NA,NA,4194304
"42","Arabic",NA,NA,NA,8388608
"43","Assamese",0.998046701773836,0.26969696969697,0.25,8
"44","Assamese",0.997566942404152,0.558971501590916,0.471703296703297,16
"45","Assamese",0.994534818237957,0.608987727968791,0.592432174507894,32
"46","Assamese",0.987671005004021,0.603366468762024,0.568633140871992,64
"47","Assamese",0.978663152543781,0.616399009794654,0.568731540197645,128
"48","Assamese",0.964584518366716,0.625853626218475,0.560131224885946,256
"49","Assamese",0.947518703390263,0.634000828946118,0.535010019096792,512
"50","Assamese",0.922400215143812,0.621695366115301,0.473645832994863,1024
"51","Assamese",NA,NA,NA,2048
"52","Assamese",NA,NA,NA,4096
"53","Assamese",NA,NA,NA,8192
"54","Assamese",NA,NA,NA,16384
"55","Assamese",NA,NA,NA,32768
"56","Assamese",NA,NA,NA,65536
"57","Assamese",NA,NA,NA,131072
"58","Assamese",NA,NA,NA,262144
"59","Assamese",NA,NA,NA,524288
