"","language","family","script","tau","pvalue","hb_pvalue"
"1","Kinyarwanda","Niger-Congo","Latin",-0.119693496553367,0,0
"2","Estonian","Uralic","Latin",-0.187592414708807,0,0
"3","Basque","Language isolate","Latin",-0.182534682115494,0,0
"4","Catalan","Indo-European","Latin",-0.172949757237002,0,0
"5","Italian","Indo-European","Latin",-0.128796727486778,0,0
"6","German","Indo-European","Latin",-0.158633705670352,0,0
"7","Tatar","Turkic","Cyrillic-Arabic",-0.227067397055472,0,0
"8","French","Indo-European","Latin",-0.148409296149895,0,0
"9","English","Indo-European","Latin",-0.0980519660820193,0,0
"10","Esperanto","","Latin",-0.158811041898148,1.95320874257324e-288,7.22687234752099e-287
"11","Mongolian","Mongolic","Mongolian",-0.211988877383749,7.03585268726501e-249,2.5329069674154e-247
"12","Dutch","Indo-European","Latin",-0.215253444191319,8.76931957610387e-203,3.06926185163635e-201
"13","Western Frisian","Indo-European","Latin",-0.252403708088137,1.37520119062779e-195,4.6756840481345e-194
"14","Persian","Indo-European","Cyrillic-Arabic-Persian",-0.19228697497286,2.87462240136415e-192,9.4862539245017e-191
"15","Russian","Indo-European","Cyrillic",-0.115383567114696,6.59067352164118e-185,2.10901552692518e-183
"16","Spanish","Indo-European","Latin",-0.0738419853011976,4.43805205497621e-161,1.37579613704262e-159
"17","Polish","Indo-European","Latin",-0.122063532179134,2.75570434749232e-160,8.26711304247695e-159
"18","Czech","Indo-European","Latin",-0.157729960368727,9.53417749119715e-160,2.76491147244717e-158
"19","Romansh","Indo-European","Latin",-0.199283294747694,9.43656271461266e-141,2.64223756009154e-139
"20","Yakut","Turkic","Cyrillic",-0.219614352892453,2.04716813554807e-138,5.52735396597979e-137
"21","Ukrainian","Indo-European","Cyrillic",-0.145734511356719,3.6984731204166e-121,9.61603011308315e-120
"22","Slovenian","Indo-European","Latin",-0.225052402914627,1.26908103998196e-116,3.17270259995491e-115
"23","Portuguese","Indo-European","Latin",-0.150273551664809,2.64926451119519e-115,6.35823482686846e-114
"24","Turkish","Turkic","Latin",-0.177648661935187,2.95129396255096e-113,6.7879761138672e-112
"25","Kirghiz","Turkic","Cyrillic-Arabic",-0.157390083367609,5.55584062192594e-103,1.22228493682371e-101
"26","Chuvash","Turkic","Cyrillic",-0.214836786197745,2.60678752857346e-96,5.47425381000427e-95
"27","Latvian","Indo-European","Latin",-0.171754671225919,2.67178003505578e-80,5.34356007011156e-79
"28","Welsh","Indo-European","Latin",-0.123880470781871,2.97884008961037e-72,5.6597961702597e-71
"29","Romanian","Indo-European","Latin",-0.172421738470522,3.63429547330252e-70,6.54173185194454e-69
"30","Interlingua","","Latin",-0.175756534282501,1.78916215045723e-62,3.0415756557773e-61
"31","Maltese","Afro-Asiatic","Latin",-0.131848476115301,2.73278570959058e-51,4.37245713534493e-50
"32","Swedish","Indo-European","Latin",-0.166249401122397,3.07597675036906e-44,4.61396512555359e-43
"33","Georgian","Kartvelian","Georgian",-0.115387176689588,8.34804506736082e-39,1.16872630943051e-37
"34","Modern Greek","Indo-European","Greek",-0.130342262518304,5.45420161164783e-37,7.09046209514218e-36
"35","Breton","Indo-European","Latin",-0.141856465921119,9.12575484658824e-32,1.09509058159059e-30
"36","Hakha Chin","Sino-Tibetan","Latin",-0.176719908110258,5.00498084869598e-29,5.50547893356558e-28
"37","Oriya","Indo-European","Odia",-0.247051341512102,3.72511814203814e-20,3.72511814203814e-19
"38","Tamil","Dravidian","Tamil",-0.197792595999759,6.16682381572812e-20,5.55014143415531e-19
"39","Indonesian","Austronesian","Latin",-0.109691802360389,8.56989173624769e-18,6.85591338899815e-17
"40","Irish","Indo-European","Latin",-0.132919963314396,3.7740477784899e-17,2.64183344494293e-16
"41","Arabic","Afro-Asiatic","Arabic",-0.0696599600598518,1.36363432287841e-14,8.18180593727047e-14
"42","Assamese","Indo-European","Assamese",-0.170738055027026,1.00459754059976e-11,5.02298770299882e-11
"43","Abkhazian","Northwest Caucasian","Cyrillic",-0.175643892268877,0.00586591728442061,0.0234636691376825
"44","Panjabi","Indo-European","Arabic",-0.0979131780460136,0.134666351232064,0.403999053696191
"45","Dhivehi","Indo-European","Thaana",-0.0118102218330204,0.438620968776729,0.877241937553458
"46","Vietnamese","Austroasiatic","Latin",-0.00543579913481597,0.446695413716788,0.446695413716788
