"","language","corr","pvalue","hb_pvalue"
"1","Tatar",-0.156435793157382,6.85097046211775e-120,3.15144641257416e-118
"2","Kinyarwanda",-0.0632202583939032,7.37479325850463e-119,3.31865696632708e-117
"3","Mongolian",-0.153484927078816,5.25543450168766e-78,2.31239118074257e-76
"4","Basque",-0.112255690723632,1.61695133911236e-70,6.95289075818314e-69
"5","Yakut",-0.192312771551352,5.03743955387515e-67,2.11572461262756e-65
"6","Ukrainian",-0.139022525452069,4.23737460350419e-63,1.73732358743672e-61
"7","German",-0.0425425460478398,9.91135653892436e-61,3.96454261556975e-59
"8","Czech",-0.130362832147629,4.34417917569123e-60,1.69422987851958e-58
"9","Polish",-0.102028544302854,6.49880590642069e-60,2.46954624443986e-58
"10","Kirghiz",-0.158807583826379,1.65591902431777e-58,6.12690038997576e-57
"11","Latvian",-0.181675493713688,3.78647480000264e-55,1.36313092800095e-53
"12","Russian",-0.0861443143844705,8.66881863769894e-54,3.03408652319463e-52
"13","Catalan",-0.0538950687362323,2.80348704169188e-52,9.5318559417524e-51
"14","Italian",-0.0635476446078533,1.26911033135463e-50,4.18806409347026e-49
"15","Turkish",-0.155668982894436,7.83840266115896e-50,2.50828885157087e-48
"16","Estonian",-0.0871648637594963,8.26553932340217e-50,2.56231719025467e-48
"17","Romansh",-0.149495749078862,1.80522474790581e-49,5.41567424371743e-48
"18","French",-0.0359385639341484,2.95224824465751e-47,8.56151990950678e-46
"19","Persian",-0.124631963453715,7.3689630065231e-47,2.06330964182647e-45
"20","English",-0.0343422753451507,1.27881947559231e-46,3.45281258409923e-45
"21","Chuvash",-0.210223992027358,1.4634224668599e-44,3.80489841383573e-43
"22","Esperanto",-0.0821656774013042,4.28943177374867e-43,1.07235794343717e-41
"23","Portuguese",-0.127226996537627,4.86085741149421e-43,1.16660577875861e-41
"24","Romanian",-0.16821106330853,2.8074474550371e-42,6.45712914658533e-41
"25","Welsh",-0.123500346832373,1.99514979404029e-39,4.38932954688863e-38
"26","Maltese",-0.141966496766193,7.51478198790539e-38,1.57810421746013e-36
"27","Breton",-0.191247406520854,2.04344630903261e-36,4.08689261806521e-35
"28","Modern Greek",-0.161948705189815,9.33451049303685e-36,1.773556993677e-34
"29","Western Frisian",-0.132734863305851,1.45685183380399e-34,2.62233330084718e-33
"30","Interlingua",-0.162815016542962,4.34583945312917e-32,7.38792707031959e-31
"31","Spanish",-0.041594560384381,2.17282353246676e-30,3.47651765194681e-29
"32","Slovenian",-0.146722934379826,3.14271624924687e-30,4.7140743738703e-29
"33","Arabic",-0.139743731541682,1.45510680835298e-29,2.03714953169417e-28
"34","Dutch",-0.102694038041812,1.10961867528795e-25,1.44250427787434e-24
"35","Swedish",-0.149591101143176,1.35056148409998e-23,1.62067378091998e-22
"36","Indonesian",-0.156356000370365,2.36353596600031e-22,2.59988956260034e-21
"37","Oriya",-0.305019417923512,3.24893981759682e-18,3.24893981759682e-17
"38","Assamese",-0.271667956993071,3.43422773656029e-18,3.09080496290426e-17
"39","Tamil",-0.23486171493313,6.30113187099443e-17,5.04090549679555e-16
"40","Georgian",-0.0993101199120721,4.95255171771033e-16,3.46678620239723e-15
"41","Irish",-0.166684802166469,8.62543196124867e-16,5.1752591767492e-15
"42","Hakha Chin",-0.146952486848084,7.76189283874633e-14,3.88094641937316e-13
"43","Vietnamese",-0.201124213078434,4.90003264386006e-05,0.000196001305754402
"44","Dhivehi",-0.31282044622649,0.000414738155566958,0.00124421446670087
"45","Abkhazian",-0.289020778252537,0.000716585628247357,0.00143317125649471
"46","Panjabi",-0.259379809453566,0.0085962387678025,0.0085962387678025
