"","language","corr","pvalue","hb_pvalue"
"1","Catalan",-0.203828670772302,0,0
"2","German",-0.196247036485236,0,0
"3","English",-0.150116091798264,0,0
"4","Esperanto",-0.176286025295645,0,0
"5","Estonian",-0.218898584386761,0,0
"6","Basque",-0.194025662033316,0,0
"7","Persian",-0.239374449610908,0,0
"8","French",-0.194007679979784,0,0
"9","Italian",-0.176346679391152,0,0
"10","Kinyarwanda",-0.181236923439909,0,0
"11","Mongolian",-0.235742055208968,0,0
"12","Dutch",-0.265840387044549,0,0
"13","Spanish",-0.116258549729527,0,0
"14","Tatar",-0.244835453218383,0,0
"15","Polish",-0.162270749127975,4.07068716387681e-301,1.30261989244058e-299
"16","Western Frisian",-0.299041006638473,2.12275806514256e-291,6.58055000194192e-290
"17","Czech",-0.201559504950372,4.84595005318931e-269,1.45378501595679e-267
"18","Russian",-0.129751302115928,1.11255501424866e-239,3.22640954132111e-238
"19","Romansh",-0.253958827124242,9.46461232751538e-237,2.65009145170431e-235
"20","Portuguese",-0.214759377188997,2.82208073210174e-231,7.61961797667469e-230
"21","Welsh",-0.187113153855847,1.10273907807115e-172,2.86712160298499e-171
"22","Ukrainian",-0.170800398649811,1.22902241768879e-170,3.07255604422199e-169
"23","Yakut",-0.239330458406503,4.73274297828323e-168,1.13585831478798e-166
"24","Turkish",-0.19998079901242,1.90314525379259e-150,4.37723408372295e-149
"25","Slovenian",-0.247511733929761,5.38823801873959e-144,1.18541236412271e-142
"26","Swedish",-0.272014044556355,4.25661751666477e-138,8.93889678499602e-137
"27","Kirghiz",-0.178141024291979,1.73533756917806e-134,3.47067513835612e-133
"28","Latvian",-0.21808044797793,3.28793245291687e-129,6.24707166054206e-128
"29","Maltese",-0.193612421797956,1.13054705050002e-118,2.03498469090004e-117
"30","Romanian",-0.214679128959286,1.11836551493026e-113,1.90122137538145e-112
"31","Chuvash",-0.248820320822133,7.01771541979117e-105,1.12283446716659e-103
"32","Interlingua",-0.226702272110132,1.18350500367985e-102,1.77525750551977e-101
"33","Breton",-0.232330657361398,2.59037415665123e-95,3.62652381931172e-94
"34","Modern Greek",-0.199468463018922,3.9071013953782e-93,5.07923181399166e-92
"35","Indonesian",-0.190856036060869,1.89404547462686e-60,2.27285456955223e-59
"36","Hakha Chin",-0.231294627524185,8.94199461386475e-55,9.83619407525122e-54
"37","Irish",-0.223747446588917,1.28019173911674e-50,1.28019173911674e-49
"38","Georgian",-0.138528134768305,3.43119089268586e-46,3.08807180341727e-45
"39","Tamil",-0.275476990783036,6.23128932683938e-39,4.9850314614715e-38
"40","Arabic",-0.104050331864574,6.95849937744053e-31,4.87094956420837e-30
"41","Oriya",-0.304982186254364,4.56099424546031e-28,2.73659654727619e-27
"42","Assamese",-0.188032255373541,3.39178720306212e-14,1.69589360153106e-13
"43","Abkhazian",-0.201738865692672,0.00303994850128998,0.0121597940051599
"44","Panjabi",-0.130568629853197,0.0713833618449341,0.214150085534802
"45","Dhivehi",-0.0841105688469861,0.118794644836895,0.237589289673789
"46","Vietnamese",0.00316740057381679,0.532180359998594,0.532180359998594
