"","language","corr","pvalue","hb_pvalue"
"1","Korean",-0.189122038548471,1.8321270825403e-51,4.39710499809671e-50
"2","Czech",-0.151101595598545,1.07402614169865e-37,2.4702601259069e-36
"3","Polish",-0.12729689669566,1.17842044937089e-27,2.59252498861597e-26
"4","Italian",-0.136296199945246,5.88500872239082e-25,1.23585183170207e-23
"5","Finnish",-0.121905230073873,1.0960019181597e-24,2.1920038363194e-23
"6","Turkish",-0.123702324786612,3.50768279658142e-24,6.66459731350469e-23
"7","German",-0.122922823429192,2.51097471772974e-22,4.51975449191352e-21
"8","Swedish",-0.127540819627072,3.92725517819608e-22,6.67633380293333e-21
"9","Russian",-0.137851266068634,1.55408708154792e-21,2.48653933047666e-20
"10","Thai",-0.157131304737324,1.72822470509911e-21,2.59233705764866e-20
"11","French",-0.126559997210955,2.29240686853124e-20,3.20936961594373e-19
"12","Japanese-romaji",-0.128296387743138,1.50057517999457e-19,1.95074773399294e-18
"13","Portuguese",-0.118096528177291,2.4437877739412e-19,2.93254532872944e-18
"14","Hindi",-0.134660182479861,2.49776889794133e-19,2.74754578773546e-18
"15","Spanish",-0.114032685696135,2.09738414308952e-18,2.09738414308952e-17
"16","Icelandic",-0.110978719919085,2.65877246391786e-18,2.39289521752607e-17
"17","Arabic",-0.149499518406653,2.6862055402607e-18,2.14896443220856e-17
"18","English",-0.119392223156174,1.21278056063959e-17,8.48946392447713e-17
"19","Chinese-pinyin",-0.117130878479162,5.95675820210503e-17,3.57405492126302e-16
"20","Japanese-strokes",-0.113053014195843,1.41528421328452e-15,7.07642106642258e-15
"21","Indonesian",-0.117024103170941,1.69040185030807e-15,6.76160740123228e-15
"22","Chinese",-0.11035519796334,3.05328033717167e-15,9.15984101151502e-15
"23","Japanese",-0.0803337503323005,1.05113394130717e-08,2.10226788261434e-08
"24","Chinese-strokes",-0.0313587799060674,0.0135274100560097,0.0135274100560097
