"","language","corr","pvalue","hb_pvalue"
"1","Icelandic",-0.317513806691155,9.85979133435858e-142,2.36634992024606e-140
"2","Turkish",-0.288171988324784,1.84109214317342e-126,4.23451192929888e-125
"3","Finnish",-0.280864456152748,2.96360552908489e-126,6.51993216398675e-125
"4","Korean",-0.286287798938919,6.59761162535485e-118,1.38549844132452e-116
"5","Czech",-0.267249409958574,2.95088573786004e-116,5.90177147572009e-115
"6","German",-0.278350277805053,1.5664029030002e-109,2.97616551570039e-108
"7","Swedish",-0.282018874392917,1.25808688122869e-103,2.26455638621164e-102
"8","Polish",-0.225487235404832,7.79085748296887e-84,1.32444577210471e-82
"9","Chinese",-0.266906428619645,3.9693628291186e-82,6.35098052658976e-81
"10","Thai",-0.288895488111208,6.07121296347118e-70,9.10681944520677e-69
"11","English",-0.243204687510628,1.5136475154707e-68,2.11910652165898e-67
"12","Japanese",-0.246557710006273,2.05827387894374e-68,2.67575604262686e-67
"13","Portuguese",-0.222619070748298,8.21151121203119e-65,9.85381345443742e-64
"14","Russian",-0.24080407099705,7.66400705077599e-63,8.43040775585359e-62
"15","Italian",-0.217272467036591,3.48041586610414e-61,3.48041586610414e-60
"16","Hindi",-0.229301053117441,3.21013842395169e-53,2.88912458155652e-52
"17","Spanish",-0.197738627664891,4.36112567299413e-52,3.4889005383953e-51
"18","French",-0.206119568773307,1.9565050322003e-51,1.36955352254021e-50
"19","Chinese-pinyin",-0.208324822152132,3.69209739483444e-50,2.21525843690066e-49
"20","Japanese-romaji",-0.19173185897278,1.12853578451269e-41,5.64267892256346e-41
"21","Arabic",-0.174044397479963,3.21854161746973e-24,1.28741664698789e-23
"22","Indonesian",-0.136654961078002,1.64902487423989e-20,4.94707462271968e-20
"23","Japanese-strokes",-0.117835692985455,9.00902886587557e-17,1.80180577317511e-16
"24","Chinese-strokes",-0.0628414579896652,4.63622433435959e-06,4.63622433435959e-06
