"","language","Lmin","L","Lrand","eta","psi","omega"
"1","Abkhazian",5.58974358974359,6.41938525641026,6.42016806722689,0.871260766038748,0.000942663466528693,0.00146901054746359
"2","Arabic",3.789,4.62381,4.62442040185471,0.819725450607309,0.000730652319907968,0.000541382208055636
"3","Assamese",4.214,5.2428099,5.24154589371981,0.804023372490425,-0.00123012148451819,-0.000439282409480314
"4","Breton",3.438,5.0823298,5.07922912205567,0.677391106747082,-0.00188924136347383,0.000306028480020074
"5","Catalan",4.586,6.5239984,6.52256944444444,0.703855580596536,-0.000737879841931222,0.000347389200785066
"6","Czech",4.564,5.9675247,5.96716417910448,0.765296825728112,-0.000256934221163518,0.000361113207208178
"7","Chuvash",5.533,6.6275814,6.62816901408451,0.834987975503779,0.000536551050065731,0.000233061502289321
"8","Hakha Chin",3.006,4.574053,4.57553956834532,0.659021152569722,0.000947136584068913,0.000388540839436454
"9","Welsh",3.663,5.1800598,5.18058252427184,0.707942160799124,0.000344445368528166,5.23597410326234e-05
"10","German",5.511,7.2867286,7.28571428571429,0.756998594534149,-0.000571536665861868,2.22857245556331e-06
"11","Dhivehi",1.954,7.3273932,7.32291666666667,0.276845171685222,-0.000833787076846587,-0.00018669228082431
"12","Modern Greek",4.126,6.1998948,6.20283975659229,0.666479772728525,0.00141799894909751,-4.24627069215115e-05
"13","English",4.266,5.7964221,5.79831932773109,0.736709670561248,0.00123814122602068,-0.000156952188871752
"14","Esperanto",4.649,6.2108072,6.21186440677966,0.749458346354617,0.000676454576017339,0.000566463229651837
"15","Estonian",5.725,7.0740602,7.07162921348315,0.809936418941181,-0.00180523821443457,-0.000669068510763992
"16","Basque",6.064,7.2669401,7.26446280991736,0.834684948156464,-0.00206361251858804,-0.00119136621522694
"17","Persian",3.594,4.502254,4.5024154589372,0.79861638969538,0.000177736888566857,0.00061496138996139
"18","French",4.693,6.5467679,6.54778156996587,0.717601531671157,0.000546517165301064,-1.28663830779092e-05
"19","Western Frisian",4.146,5.8778686,5.87524366471735,0.706420291262077,-0.00151796726870197,0.000377124000558292
"20","Irish",3.647,5.637818,5.64537444933921,0.648172147772453,0.00378129801534723,0.000894288323881136
"21","Interlingua",3.892,6.1058514,6.1025641025641,0.638488244401744,-0.00148708532454902,-0.000310458531960283
"22","Indonesian",4.742,6.2661835,6.26708074534162,0.757256482276321,0.000588326450488322,0.000188846244793277
"23","Italian",4.981,6.717912,6.71875,0.741950185769255,0.000482232772262913,0.0011329375794155
"24","Georgian",6.679,7.703046,7.70328282828283,0.867283382440452,0.000231213758825451,-0.00177600741379861
"25","Kinyarwanda",5.943,7.0930526,7.0935441370224,0.838105164614297,0.000427221352558829,0.000545781166650977
"26","Kirghiz",5.551,6.7060644,6.70629370629371,0.827939084027381,0.000198483115122426,0.000963709484637559
"27","Latvian",4.537,5.8975531,5.8989898989899,0.769639911200447,0.00105492631844352,1.42446690667405e-05
"28","Maltese",4.545,6.1897682,6.1912013536379,0.734749188841157,0.000870582225396876,0.00149112051709121
"29","Mongolian",5.11,6.1984149,6.20027816411683,0.824596126829138,0.00170898049520938,0.000560011978737741
"30","Dutch",4.318,6.3431547,6.34246575342466,0.682274876568433,-0.000340310313561529,-0.000227716035382173
"31","Oriya",3.763,5.1679391,5.16666666666667,0.728584841858738,-0.000906506767988486,-0.000178257441673371
"32","Panjabi",3.55102040816327,3.88115816326531,3.88095238095238,0.915365624719929,-0.000623711340205528,0.000944545454545455
"33","Polish",4.896,6.4899732,6.49096385542169,0.754978808005695,0.000621114653049622,0.000690007760595105
"34","Portuguese",4.064,5.9591221,5.96062992125984,0.6827089241933,0.000795000249094914,0.000409314635175032
"35","Romansh",4.498,6.0953669,6.09624796084829,0.738534166293457,0.000551266680684113,0.000610868663116398
"36","Romanian",4.257,6.3553826,6.35576923076923,0.670498972329902,0.000184217856619223,-0.000421181229105617
"37","Russian",5.795,7.4324977,7.43377001455604,0.780039284146967,0.000776383839550127,8.28233600088608e-06
"38","Yakut",5.817,6.879414,6.87891156462585,0.845699628968175,-0.000473142388581764,-9.91857736563851e-05
"39","Slovenian",4.185,5.5538098,5.55448717948718,0.754183023345677,0.000494622729825955,0.000390505131015244
"40","Spanish",4.712,6.6690234,6.67058823529412,0.707483699287633,0.000798960836136532,0.000827033760186263
"41","Swedish",3.624,5.4198932,5.42009132420091,0.669922373700992,0.000110308534005915,-0.000282310931612776
"42","Tamil",4.98,6.8126437,6.81474103585657,0.73145403185954,0.00114312364283831,0.000509653664340612
"43","Tatar",4.986,5.9186324,5.91891891891892,0.842588194375219,0.000307120922417557,0.000260298369529342
"44","Turkish",5.419,6.828251,6.82758620689655,0.793929794646984,-0.000471957697863103,-0.000607450027641188
"45","Ukrainian",5.243,6.5699636,6.56984785615491,0.798353466577461,-8.72321906037659e-05,0.000361002042295276
"46","Vietnamese",2.75159914712154,3.46978646055437,3.47027027027027,0.793264041475954,0.00067320043941613,0.00107307089934341
