"","language","Lmin","L","Lrand","eta","psi","omega"
"1","Abkhazian",0.665961538461538,0.809718121794872,0.809579831932773,0.823619907841134,-0.000962898658354601,-0.000236191378493605
"2","Arabic",0.431875,0.5353855955,0.535418569254186,0.806892733667055,0.000318452941337825,-3.09316449894001e-05
"3","Assamese",0.370285,0.477352867,0.477291666666667,0.776031246774189,-0.000571930097813865,-0.00072950509573811
"4","Breton",0.262405,0.4013332035,0.401145610278373,0.654793023743447,-0.00135211472150102,-1.95816896457446e-05
"5","Catalan",0.342205,0.495540384,0.495059523809524,0.691604855026985,-0.00314586823138705,-0.000571484582208999
"6","Czech",0.337,0.448583865,0.44843653250774,0.751757217523062,-0.00132212021448005,-0.00069425155328147
"7","Chuvash",0.41035,0.4839427245,0.483985915492958,0.848059264936744,0.000586547918479149,-0.00017620065990468
"8","Hakha Chin",0.262925,0.386459272,0.386159420289855,0.682072943272662,-0.00243318148809141,8.23483406762429e-05
"9","Welsh",0.27698,0.4187016425,0.418835341365462,0.662512233295989,0.000942501453768964,0.00143849465401037
"10","German",0.36402,0.49074364,0.490795454545455,0.742509825101714,0.000408711178676537,7.2436573681753e-05
"11","Dhivehi",0.15109,0.7159286625,0.715923913043478,0.221705279548422,-8.40858951998734e-06,0.00118933197000682
"12","Modern Greek",0.353355,0.5248772435,0.524725897920605,0.673928690771224,-0.000883146328994873,0.000344642576590731
"13","English",0.32186,0.440128391,0.440235294117647,0.732029428126614,0.000903086395213598,-0.000312420572624654
"14","Esperanto",0.46995,0.638511163,0.638517587939698,0.73671654081984,3.81149174465493e-05,0.000804058263264975
"15","Estonian",0.389025,0.4691467315,0.469071618037135,0.829775134968538,-0.000938371472857166,0.000182664477793044
"16","Basque",0.41878,0.496426242,0.496260330578512,0.843788993431786,-0.00214133600423244,-0.00140344101438237
"17","Persian",0.33358,0.434351305,0.434301164725458,0.76835466396998,-0.000497812695863237,-8.2535907773718e-05
"18","French",0.319175,0.443902226,0.443940886699507,0.719844302571368,0.000309865945974025,0.000739062685152269
"19","Western Frisian",0.301995,0.444770637,0.444717348927875,0.679943230906615,-0.0003733687998065,0.000331530211678969
"20","Irish",0.248515,0.392397517,0.392626146788991,0.634527503537387,0.00158648233731414,0.000674795264376001
"21","Interlingua",0.367485,0.5676829135,0.567610993657505,0.648355456795456,-0.000359372818993928,-0.000152562972584311
"22","Indonesian",0.338765,0.4436988085,0.443840579710145,0.763931622670228,0.00134923081591333,0.000142743449582136
"23","Italian",0.360865,0.498376259,0.498335974643423,0.724642698362403,-0.00029303899736945,0.000368196256868132
"24","Georgian",0.492585,0.5679413075,0.568151476251605,0.867550388503475,0.00278124324475287,0.000360087279506263
"25","Kinyarwanda",0.42999,0.5123117925,0.512305665349144,0.839571817581397,-7.44348093458685e-05,0.000299147202855879
"26","Kirghiz",0.415775,0.4920753005,0.492,0.845111287530063,-0.000987871433256287,-0.000706678014570709
"27","Latvian",0.364165,0.497224235,0.497334494773519,0.7328143110127,0.000827965696698886,0.00114539131330826
"28","Maltese",0.31595,0.438038486,0.438155668358714,0.721826047217423,0.000958894626475369,0.0011733058181334
"29","Mongolian",0.342055,0.4029394455,0.40307371349096,0.849058762824715,0.00220043955826012,0.0010966325079107
"30","Dutch",0.272645,0.4132041455,0.413410931174089,0.661177532591868,0.00146900370256012,0.000610912536583025
"31","Oriya",0.355435,0.4704921065,0.470473484848485,0.75581967256503,-0.000161873233463591,0.000571087939660742
"32","Panjabi",0.64530612244898,0.732969714285714,0.732678571428571,0.881351756294176,-0.0033322043795615,-0.00349654676258993
"33","Polish",0.37026,0.4699893405,0.469992846924177,0.788218707920731,3.51581679005586e-05,0.000201723481571206
"34","Portuguese",0.32149,0.479530267,0.479724409448819,0.671114437935786,0.00122692939857486,0.000746259480230559
"35","Romansh",0.384325,0.524861675,0.525016313213703,0.732817762150684,0.00109913121265788,0.000509665521422797
"36","Romanian",0.314385,0.4663461915,0.46632183908046,0.674762136702536,-0.000160279887929582,-0.00066200438482405
"37","Russian",0.386535,0.4902761795,0.490334788937409,0.788669505401183,0.000564639273441992,0.000192465809853353
"38","Yakut",0.400125,0.4641162425,0.464054421768707,0.862237377177211,-0.000967015336321996,-0.000395963053069976
"39","Slovenian",0.40693,0.535563357,0.535533751962323,0.760271225976154,-0.000230203530028776,0.000190926466150287
"40","Spanish",0.337675,0.4791201915,0.479109243697479,0.705584056504876,-7.74056001914417e-05,0.000255274700429573
"41","Swedish",0.250895,0.3973781865,0.397488584474886,0.632737359844114,0.000753088719955145,-0.000359728858508036
"42","Tamil",0.47318,0.615008391,0.615104761904762,0.769800280193789,0.000679028123553215,-0.000571660296862501
"43","Tatar",0.361375,0.420154554,0.420162162162162,0.860226776803743,0.000129418769036483,3.87916237555784e-05
"44","Turkish",0.37529,0.466254458,0.466169415292354,0.805177100184119,-0.000935775250892631,-0.000638590584714549
"45","Ukrainian",0.404665,0.4955098765,0.495458276333789,0.816847811778872,-0.000568325852907355,-0.000174329595319356
"46","Vietnamese",0.208694029850746,0.330676014925373,0.330608108108108,0.632362116611146,-0.000557005542228596,-0.000357961318018862
