"","language","Lmin","L","Lrand","corr","corr_min","eta","psi","omega","family","script"
"1","Arabic",3.25699945444626,4.09531914893617,5.05846490542442,-0.137030957110257,-0.86720873201494,0.795298079587357,0.534645699680381,0.158013811498264,"Afro-Asiatic","Arabic"
"2","Maltese",3.7166077257889,5.07193054044251,7.35021097046414,-0.195051438816701,-0.812522168063136,0.732779697228393,0.627003081131731,0.240056759659442,"Afro-Asiatic","Latin"
"3","Vietnamese",2.75159914712154,3.23560767590618,3.47027027027027,-0.19186132732636,-0.730776619237099,0.850411861614497,0.326522920993337,0.262544425034637,"Austroasiatic","Latin"
"4","Indonesian",3.69895951142275,5.37430445600543,7.23911889596603,-0.202323907569665,-0.910645316198797,0.688267578009916,0.526760023320584,0.222176410475818,"Austronesian","Latin"
"5","Esperanto",3.23415489057527,4.82878002072559,7.7299254295904,-0.176119453388572,-0.918399084953573,0.66976645792394,0.645305489612544,0.191767888572619,"Conlang","Latin"
"6","Interlingua",3.35952661945974,4.43292682926829,7.42684354272337,-0.238282099503252,-0.793128750764478,0.757857449231634,0.736091327511491,0.300433062442356,"Conlang","Latin"
"7","Tamil",4.65134337630067,5.67696847336543,7.07768595041322,-0.281620444965843,-0.878717307894462,0.819335777206325,0.577295841070634,0.320490381190565,"Dravidian","Tamil"
"8","Persian",2.68989983807597,3.7998788577258,5.49279451010294,-0.205835147657087,-0.920675397791639,0.707890945682899,0.603988322955023,0.223569727344523,"Indo-European","Arabic"
"9","Assamese",4.10148924434639,4.57473800330943,5.36251287332647,-0.312954010437923,-0.676515518235052,0.896551724137931,0.624710633419447,0.462596942719633,"Indo-European","Assamese"
"10","Russian",4.05315782375652,6.31422361475711,9.00430452131838,-0.131669085757558,-0.936973481348447,0.641909135793639,0.543324823699119,0.140525946975646,"Indo-European","Cyrillic"
"11","Ukrainian",4.52033786021862,5.51930274925472,7.67133988979563,-0.161137323519785,-0.860744427336505,0.819005237723008,0.682969138179133,0.187206932048819,"Indo-European","Cyrillic"
"12","Panjabi",3.55102040816327,3.68367346938776,3.88095238095238,-0.323788286062625,-0.479148584756351,0.96398891966759,0.597938144329897,0.675757575757576,"Indo-European","Devanagari"
"13","Modern Greek",3.61222280887012,4.84852164730729,7.6389127816962,-0.244319384974949,-0.846111408428046,0.745015299844279,0.6929739198249,0.288755573487491,"Indo-European","Greek"
"14","Breton",2.89701074875121,3.96806757852342,6.31385998107852,-0.235382364772545,-0.898220950024397,0.730081000744759,0.686536701813243,0.262053968754739,"Indo-European","Latin"
"15","Catalan",2.98830977783417,4.89553506975581,8.5757786429366,-0.154863699460219,-0.919503454540009,0.610415355064188,0.658660238120777,0.168421008856015,"Indo-European","Latin"
"16","Czech",3.80578254800721,4.83407190578797,7.16812733599691,-0.224624879322532,-0.91867588827942,0.787282982582539,0.694174921782617,0.244509388118621,"Indo-European","Latin"
"17","Dutch",3.24100942186049,4.72196348792093,8.26327628361858,-0.276222878057102,-0.948140000265363,0.686369013684918,0.705122386598544,0.291331320247847,"Indo-European","Latin"
"18","English",2.39012747650684,4.60759328306768,7.79128786346324,-0.0740436914758706,-0.828591468224886,0.518736643985106,0.589446406384092,0.0893609146549582,"Indo-European","Latin"
"19","French",2.66726390784503,5.03715560537034,8.12708823474348,-0.0378605709275793,-0.846289154987729,0.529517870164927,0.565939935860249,0.0447371571577427,"Indo-European","Latin"
"20","German",2.99674889760588,5.72722957808236,10.3030396938748,-0.117044775241893,-0.868436725321885,0.523245813136981,0.626283601814638,0.134776399741168,"Indo-European","Latin"
"21","Irish",3.00531137963086,4.20377993183729,6.5766326077299,-0.214588223078247,-0.931405149112216,0.714906923854447,0.664418719106832,0.230391922658775,"Indo-European","Latin"
"22","Italian",3.16365703642476,5.2897350646663,8.16386646301549,-0.0562355482440451,-0.896290743062072,0.598074761353731,0.574802203896657,0.0627425293403376,"Indo-European","Latin"
"23","Latvian",3.94951792504074,4.79087452471483,7.08798786374293,-0.258059606048768,-0.73402154444113,0.824383503401361,0.731921408805335,0.351569525449351,"Indo-European","Latin"
"24","Polish",3.81700035773608,5.26801318752929,7.87154696132597,-0.169053510322281,-0.93719246435431,0.724561655762724,0.642126981964277,0.180382916799008,"Indo-European","Latin"
"25","Portuguese",3.14150250134253,4.52982179700969,7.48866104787558,-0.194302758813034,-0.907191682689587,0.69351569269598,0.680637528903936,0.214180489659007,"Indo-European","Latin"
"26","Romanian",3.60685042440239,5.02990312228188,7.67460688151954,-0.209594492329517,-0.779299725805779,0.717081489785453,0.65016275854233,0.268952349640315,"Indo-European","Latin"
"27","Romansh",3.82878151260504,4.93686061381074,7.56084876222176,-0.235578176545751,-0.790711363872664,0.775549850829113,0.703092407748146,0.297931947495937,"Indo-European","Latin"
"28","Slovenian",3.65199209245742,4.55717761557178,6.42715176014822,-0.206922083582794,-0.866140066281443,0.801371462893753,0.673825786078984,0.238901410566495,"Indo-European","Latin"
"29","Spanish",2.74375594988043,5.01019661607165,7.91737101719771,-0.0325683915025093,-0.906193211013817,0.547634386458815,0.561923212936973,0.0359397875714307,"Indo-European","Latin"
"30","Swedish",3.07856904576575,4.03850613969595,6.87348432852894,-0.278444270479301,-0.896119420748034,0.762303916169737,0.747046502384306,0.310722281017936,"Indo-European","Latin"
"31","Welsh",2.79373671521308,4.17214118798194,7.05061473570852,-0.205462279567555,-0.905191355137237,0.669617011826106,0.67619357046824,0.226982149576986,"Indo-European","Latin"
"32","Western Frisian",3.44034689962424,4.38223962709876,7.98986043182632,-0.286731403446673,-0.79576300205493,0.785065900629882,0.79296847436376,0.360322612016687,"Indo-European","Latin"
"33","Oriya",3.68352941176471,4.21,5.34816753926702,-0.33013750512015,-0.725226059496994,0.874947603744586,0.683732710709185,0.455220135565907,"Indo-European","Odia"
"34","Dhivehi",1.97429906542056,3.32320872274143,7.61261261261261,-0.161794947908429,-0.843321063597472,0.594094211389735,0.760760084370858,0.191854508196721,"Indo-European","Thaana"
"35","Georgian",5.91410711529557,7.17340638987498,8.22229054573405,-0.119567157750104,-0.673938626240031,0.824448915043086,0.454419757991164,0.177415499119231,"Kartvelian","Georgian"
"36","Basque",4.44446384949058,6.40539348703585,8.89356715694197,-0.162898835295361,-0.911551696214194,0.693862735909343,0.559252842193821,0.178704988397151,"Language isolate","Latin"
"37","Mongolian",4.17591181622684,5.47004286711195,7.31380065717415,-0.226384206087584,-0.861578714009752,0.763414824650473,0.587579064625367,0.262755105722147,"Mongolic","Mongolian"
"38","Kinyarwanda",3.72344507967275,6.12798418401802,9.20003736501887,-0.190140954008969,-0.899566448066931,0.607613363197577,0.560942465850678,0.211369548539256,"Niger-Congo","Latin"
"39","Abkhazian",5.58974358974359,5.93589743589744,6.42016806722689,-0.322538328694188,-0.54839779029046,0.941684665226782,0.583160352880124,0.588146659969865,"Northwest Caucasian","Cyrillic"
"40","Hakha Chin",2.55816831683168,3.29241674167417,5.2921168467387,-0.286836423996373,-0.812190874589515,0.776988005330964,0.731432974392002,0.353163810343648,"Sino-Tibetan","Latin"
"41","Chuvash",4.79246116469116,6.00139880733269,7.35073068893528,-0.220761156287047,-0.82781408853505,0.798557356134303,0.527439297859464,0.266679631748862,"Turkic","Cyrillic"
"42","Kirghiz",4.485722139577,6.01057499514908,7.78400789733465,-0.193523449302584,-0.892983827297558,0.746304994646479,0.53768321862786,0.216715514197211,"Turkic","Cyrillic"
"43","Tatar",4.04064257807088,5.40747873313198,7.45355817257022,-0.239913150693811,-0.885402556909161,0.747232264329325,0.599510706545438,0.270965052926118,"Turkic","Cyrillic"
"44","Yakut",5.02214643220977,6.31842140231209,7.98861336032389,-0.264211275957099,-0.740329692059643,0.79484195694387,0.563023960315511,0.356883262674562,"Turkic","Cyrillic"
"45","Turkish",4.59523986404918,6.00253514848727,8.08570468294869,-0.216687642118965,-0.893532763114559,0.765549846918806,0.596817227087312,0.242506655675013,"Turkic","Latin"
"46","Estonian",4.68035113411052,6.15889065315223,8.84939528075006,-0.239396248587449,-0.83794638386954,0.759934117634487,0.645352875374687,0.285693993310103,"Uralic","Latin"
